Region,S1_population_density,S2_social_development_level,S3_traffic_accident_rate,S4_crime_rate
Region_1,0.39043092330343393,0.8079223810178159,0.8932433232440736,0.797925725326048
Region_2,0.27087471384187595,0.859234167903865,0.22028257220730155,0.6090112864029579
Region_3,0.8388474659883524,0.012731433895359806,0.16639105221830125,0.2042252730500799
Region_4,0.3579007547439897,0.3580474784311072,0.39255264719982536,0.821959544062875
Region_5,0.28064221082489804,0.06351050844717504,0.15484861390548393,1.0
Region_6,0.547374386541561,0.970728843400333,0.46904961952613144,0.7504783441496921
Region_7,0.1379732645432837,0.6795808797729934,0.43624644541917235,0.9012083679918856
Region_8,0.8118029583076753,0.3245774891374582,0.5441556414594173,0.0
Region_9,0.07033931233948439,0.0,1.0,0.14257622037950207
Region_10,1.0,0.3003978048871162,0.9065096091796168,0.347470072522106
Region_11,0.7812819829650424,0.3176392600945567,0.9931870123944281,0.06829582551334594
Region_12,0.19686212566041006,0.8086496402938954,0.3073818263224565,0.14779283831006013
Region_13,0.0,0.6968931707789392,0.6724619132447265,0.8714813312853382
Region_14,0.8253192852001195,1.0,0.45230060945710965,0.043553279122716504
Region_15,0.7146529127647341,0.49615054408875386,0.0,0.45777798556902216
