Profile_Type,Cell_Number,time_s,profile_time_s,capacity_Ah
BMP,2,0.0,0,17.26168775
BMP,2,2307241.934,2613600,17.26418925
BMP,2,5007671.588,5227200,17.16804925
BMP,2,7673769.412,7840800,17.1598595
BMP,2,10332069.412,10454400,17.0976785
BMP,2,12991253.908,13068000,17.09690925
BMP,2,15645513.769,15681600,17.05380875
BMP,2,18300326.006,18295200,17.031732
BMP,2,20960086.071,20908800,17.001184
BMP,2,23618163.357,23522400,16.99599075
BMP,2,26256216.687,26136000,16.90788625
BMP,2,28912478.717,28749600,16.8703115
BMP,2,31970532.713,31363200,16.8402385
