Profile_Type,Cell_Number,time_s,profile_time_s,capacity_Ah
BMR,1,0.0,0,17.22561025
BMR,1,2304815.103,2613600,17.146382
BMR,1,5004044.729,5227200,17.03246525
BMR,1,7662321.041,7840800,16.893893
BMR,1,10324821.042,10454400,16.75997825
BMR,1,12979135.013,13068000,16.58992475
BMR,1,15633948.732,15681600,16.38472875
BMR,1,18297687.297,18295200,16.1390225
BMR,1,20955097.917,20908800,15.88184125
BMR,1,23621591.326,23522400,15.67446525
BMR,1,26265963.2,26136000,15.30154975
BMR,1,28935204.61,28749600,15.04733725
BMR,1,32000975.093,31363200,14.808196
