Profile_Type,Cell_Number,time_s,profile_time_s,capacity_Ah
SPM,2,0.0,0,17.15275525
SPM,2,2307375.375,2613600,17.2050345
SPM,2,5007203.968,5227200,17.1096215
SPM,2,7670388.746,7840800,17.05887925
SPM,2,10331128.687,10454400,17.10969975
SPM,2,12985625.275,13068000,17.080504
SPM,2,15638695.572,15681600,17.069646
SPM,2,18296690.434,18295200,17.047572
SPM,2,20950352.696,20908800,17.0297595
SPM,2,23607178.533,23522400,16.9656045
SPM,2,26260291.937,26136000,16.94396075
SPM,2,28914262.891,28749600,16.888478
SPM,2,31940493.593,31363200,16.84971675
