Profile_Type,Cell_Number,time_s,profile_time_s,capacity_Ah
BMP,1,0.0,0,17.22558
BMP,1,2307838.658,2613600,17.2363965
BMP,1,5008268.304,5227200,17.137673
BMP,1,7673769.945,7840800,17.122631
BMP,1,10332069.945,10454400,17.0689525
BMP,1,12991474.584,13068000,17.0606355
BMP,1,15645554.496,15681600,17.0231775
BMP,1,18300204.528,18295200,17.00302775
BMP,1,20960094.187,20908800,16.97789125
BMP,1,23618421.508,23522400,16.96187225
BMP,1,26270380.616,26136000,16.856701
BMP,1,28926498.584,28749600,16.8273295
BMP,1,31965957.896,31363200,16.79938875
BMP,2,0.0,0,17.26168775
BMP,2,2307241.934,2613600,17.26418925
BMP,2,5007671.588,5227200,17.16804925
BMP,2,7673769.412,7840800,17.1598595
BMP,2,10332069.412,10454400,17.0976785
BMP,2,12991253.908,13068000,17.09690925
BMP,2,15645513.769,15681600,17.05380875
BMP,2,18300326.006,18295200,17.031732
BMP,2,20960086.071,20908800,17.001184
BMP,2,23618163.357,23522400,16.99599075
BMP,2,26256216.687,26136000,16.90788625
BMP,2,28912478.717,28749600,16.8703115
BMP,2,31970532.713,31363200,16.8402385
BMR,1,0.0,0,17.22561025
BMR,1,2304815.103,2613600,17.146382
BMR,1,5004044.729,5227200,17.03246525
BMR,1,7662321.041,7840800,16.893893
BMR,1,10324821.042,10454400,16.75997825
BMR,1,12979135.013,13068000,16.58992475
BMR,1,15633948.732,15681600,16.38472875
BMR,1,18297687.297,18295200,16.1390225
BMR,1,20955097.917,20908800,15.88184125
BMR,1,23621591.326,23522400,15.67446525
BMR,1,26265963.2,26136000,15.30154975
BMR,1,28935204.61,28749600,15.04733725
BMR,1,32000975.093,31363200,14.808196
SPM,1,0.0,0,17.181936
SPM,1,2307388.836,2613600,17.24068125
SPM,1,5007217.415,5227200,17.146169
SPM,1,7670418.702,7840800,17.1164135
SPM,1,10331118.702,10454400,17.13530225
SPM,1,12986463.589,13068000,17.13602725
SPM,1,15639574.58,15681600,17.115454
SPM,1,18794104.682,18295200,17.09197075
SPM,1,21447760.961,20908800,17.078273
SPM,1,24104896.289,23522400,17.012404
SPM,1,26758313.398,26136000,16.9769105
SPM,1,29412238.366,28749600,16.933497
SPM,1,32480219.398,31363200,16.89880525
SPM,2,0.0,0,17.15275525
SPM,2,2307375.375,2613600,17.2050345
SPM,2,5007203.968,5227200,17.1096215
SPM,2,7670388.746,7840800,17.05887925
SPM,2,10331128.687,10454400,17.10969975
SPM,2,12985625.275,13068000,17.080504
SPM,2,15638695.572,15681600,17.069646
SPM,2,18296690.434,18295200,17.047572
SPM,2,20950352.696,20908800,17.0297595
SPM,2,23607178.533,23522400,16.9656045
SPM,2,26260291.937,26136000,16.94396075
SPM,2,28914262.891,28749600,16.888478
SPM,2,31940493.593,31363200,16.84971675
