Cycle,Capacity_Ah
0,37.20271
1,36.22303
2,35.5893
3,35.10808
4,34.76728
5,34.51914
6,34.31969
7,34.17658
8,34.04663
9,34.18753
10,34.07005
11,33.97044
12,33.77004
13,33.70503
14,33.71014
15,33.74975
16,33.67808
17,33.54328
18,33.57989
19,33.41692
20,33.54879
21,33.48888
22,33.46614
23,33.30558
24,33.28812
25,33.2665
26,33.38786
27,33.38368
28,33.28306
29,33.095
30,33.05934
31,33.00589
32,32.9773
33,32.93551
34,32.89801
35,32.86387
36,32.81979
37,32.77469
38,32.79736
39,32.75672
40,32.69147
41,32.68127
42,32.66245
43,32.82705
44,32.82064
45,32.79373
46,32.57228
47,32.5068
48,32.48595
49,32.62446
50,32.59867
51,32.49097
52,32.36157
53,32.37905
54,32.41867
55,32.45003
56,32.40339
57,32.22724
58,32.19196
59,32.14438
60,32.30145
61,32.26452
62,32.24551
63,32.05442
64,32.00996
65,32.00484
66,32.09426
67,32.08527
68,32.07209
69,31.86251
70,31.83152
71,31.79246
72,31.81887
73,31.75775
74,31.71534
75,31.67409
76,31.63687
77,31.60067
78,31.61796
79,31.5975
80,31.51869
81,31.49502
82,31.43062
83,31.58672
84,31.55741
85,31.52708
86,31.33172
87,31.27287
88,31.28581
89,31.39977
90,31.36125
91,31.28096
92,31.09326
93,31.00122
94,31.0076
95,31.11822
96,31.14519
97,31.11905
98,30.86233
99,30.82642
100,30.71305
101,30.80377
102,30.85673
103,30.78594
104,30.50536
105,30.47258
106,30.34655
107,30.50999
108,30.49051
109,30.39563
110,30.19904
111,30.21263
112,30.10972
113,30.07405
114,29.95982
115,29.83496
116,29.85543
117,29.72024
118,29.60307
119,29.59823
120,29.49157
121,29.43612
122,29.26907
123,29.15116
124,29.08011
125,29.22588
126,29.21082
127,29.1352
128,28.8959
129,28.75198
130,28.74296
131,28.78606
132,28.82256
133,28.63813
134,28.41624
135,28.2444
136,28.20996
137,28.31554
138,28.41683
139,28.21726
140,27.89986
141,27.69998
142,27.82582
143,27.89721
144,27.91052
145,27.84268
146,27.46271
147,27.43227
148,27.35127
149,27.5592
150,27.61069
151,27.59251
152,27.09533
153,27.22589
154,27.10729
155,26.99298
156,27.52707
157,27.17517
158,26.84469
159,26.86718
160,26.79925
161,26.7404
162,26.75407
163,26.68851
164,26.56393
165,26.46313
166,26.22058
167,26.44036
168,26.16873
169,26.23725
170,26.05509
171,25.72758
172,25.63926
173,25.54457
174,25.71047
175,25.62528
176,25.54471
177,25.22396
178,25.13619
179,25.01646
180,25.14023
181,25.14129
182,25.01977
183,24.68764
184,24.58035
185,24.43739
186,24.47442
187,24.60285
188,24.44618
189,24.13171
190,24.00634
191,23.87776
192,23.75884
193,23.85814
194,23.94127
195,23.70942
196,23.36921
197,23.16277
198,22.97566
199,22.63581
200,36.7717
201,35.63747
202,34.56488
203,33.85038
204,33.37832
205,32.96715
206,32.73627
207,32.58206
208,32.4143
209,32.23382
210,32.1315
211,32.00968
212,31.87217
213,31.7529
214,31.70604
215,31.68117
216,31.56552
217,31.45425
218,31.36233
219,31.29419
220,31.24853
221,31.21282
222,31.13388
223,31.04638
224,31.02255
225,31.01906
226,30.96767
227,30.89023
228,30.82419
229,30.81132
230,30.76906
231,30.72574
232,30.73504
233,30.63349
234,30.57564
235,30.56924
236,30.54765
237,30.5222
238,30.48589
239,30.39266
240,30.38649
241,30.36581
242,30.35001
243,30.28889
244,30.30049
245,30.23085
246,30.24341
247,30.19888
248,30.21163
249,30.1623
250,30.1589
251,30.10592
252,30.06532
253,30.02151
254,30.00904
255,29.99051
256,29.9641
257,29.91042
258,29.85402
259,29.85047
260,29.83163
261,29.80071
262,29.8063
263,29.75602
264,29.70373
265,29.66263
266,29.62052
267,29.68505
268,29.66755
269,29.67856
270,29.62393
271,29.60211
272,29.58326
273,29.58806
274,29.5581
275,29.51865
276,29.50513
277,29.51701
278,29.55075
279,29.51203
280,29.44575
281,29.42559
282,29.38393
283,29.37071
284,29.33961
285,29.39301
286,29.34808
287,29.30225
288,29.11517
289,29.0934
290,29.08581
291,29.10207
292,29.1189
293,29.14333
294,29.02919
295,28.99254
296,28.99989
297,28.97438
298,29.03469
299,28.98304
300,28.91847
301,28.87474
302,28.93277
303,28.91105
304,28.91841
305,28.96362
306,28.91335
307,28.92133
308,28.92249
309,28.98839
310,28.87152
311,28.75883
312,28.69938
313,28.64556
314,28.62264
315,28.66045
316,28.74053
317,28.65482
318,28.61656
319,28.57191
320,28.55213
321,28.61814
322,28.62662
323,28.58612
324,28.50506
325,28.5034
326,28.48674
327,28.51954
328,28.5824
329,28.58159
330,28.5133
331,28.50286
332,28.50801
333,28.4818
334,28.4844
335,28.47226
336,28.42864
337,28.41686
338,28.40305
339,28.37069
340,28.41211
341,28.36728
342,28.3488
343,28.32844
344,28.32331
345,28.31351
346,28.33866
347,28.30913
348,28.25137
349,28.23495
350,28.24336
351,28.23469
352,28.22613
353,28.19258
354,28.17204
355,28.1111
356,28.11518
357,28.13132
358,28.19676
359,28.18437
360,28.11749
361,28.13266
362,28.02905
363,28.02667
364,28.03148
365,28.06431
366,27.99707
367,27.95772
368,27.92223
369,27.91638
370,27.95226
371,27.94183
372,27.87029
373,27.82689
374,27.78528
375,27.75411
376,27.89999
377,27.86396
378,27.78066
379,27.77488
380,27.73809
381,27.72748
382,27.80459
383,27.79958
384,27.72833
385,27.67734
386,27.66824
387,27.70283
388,27.82278
389,27.85994
390,27.80012
391,27.7526
392,27.75206
393,27.71557
394,27.79909
395,27.78768
396,27.55869
397,27.50134
398,27.38704
399,27.29572
400,27.46615
401,27.49224
402,27.42757
403,27.28525
404,27.26945
405,27.23247
406,27.37144
407,27.41615
408,27.42029
409,27.31475
410,27.32331
411,27.29773
412,27.40099
413,27.71508
414,27.7033
415,27.70159
416,27.70892
417,27.70584
418,27.70579
419,27.71022
420,27.67093
421,27.67447
422,27.65562
423,27.66178
424,27.65471
425,27.63007
426,27.57366
427,27.53385
428,27.52197
429,27.47997
430,27.56011
431,27.23649
432,27.17878
433,26.93252
434,26.83302
435,26.77427
436,26.97453
437,27.13267
438,26.97162
439,26.6948
440,26.67924
441,26.66395
442,26.89733
443,27.01507
444,26.99532
445,26.77299
446,26.69946
447,26.67002
448,26.8918
449,26.95715
450,35.06084
451,32.24272
452,30.33672
453,29.34777
454,28.71545
455,28.31015
456,28.02312
457,27.85251
458,27.7517
459,27.62321
460,27.48992
461,27.28971
462,27.24092
463,27.278
464,27.19134
465,27.12985
466,27.05306
467,26.99834
468,27.08141
469,27.0975
470,27.09483
471,27.11561
472,27.05905
473,26.98226
474,27.02987
475,27.11537
476,27.16479
477,27.15139
478,27.14475
479,27.0496
480,27.07044
481,27.0953
482,27.11337
483,27.12285
484,27.10392
485,27.03669
486,27.00227
487,27.01755
488,26.99768
489,26.95756
490,26.89334
491,26.82548
492,26.79521
493,26.83681
494,26.83496
495,26.86529
496,26.83125
497,26.77455
498,26.72594
499,26.7361
500,26.72864
501,26.71335
502,26.68182
503,26.57213
504,26.58548
505,26.63318
506,26.63158
507,26.62627
508,26.5805
509,26.55402
510,26.54711
511,26.62792
512,26.68697
513,26.74264
514,26.71812
515,26.62249
516,26.43493
517,26.46448
518,26.46582
519,26.45897
520,26.4655
521,26.43157
522,26.4012
523,26.39195
524,26.4035
525,26.39674
526,26.38838
527,26.30511
528,26.27105
529,26.31109
530,26.31483
531,26.34609
532,26.35589
533,26.2245
534,26.26808
535,26.29715
536,26.3322
537,26.36925
538,26.41739
539,26.26232
540,26.10639
541,26.08845
542,26.06862
543,26.06329
544,26.07528
545,26.0019
546,25.98325
547,25.99094
548,26.00102
549,25.99529
550,25.99972
551,25.96697
552,25.95308
553,25.98957
554,25.95147
555,25.95035
556,25.9384
557,25.92519
558,25.91555
559,25.93561
560,25.922
561,25.89044
562,25.8861
563,25.87748
564,25.88837
565,25.90986
566,25.91668
567,25.88339
568,25.88194
569,25.85596
570,25.79543
571,25.80607
572,25.78009
573,25.75764
574,25.76143
575,25.73736
576,25.68431
577,25.69929
578,25.65542
579,25.66742
580,25.71058
581,25.66771
582,25.62362
583,25.58318
584,25.56345
585,25.59598
586,25.57832
587,25.57806
588,25.51196
589,25.48442
590,25.50365
591,25.52119
592,25.50448
593,25.50206
594,25.46226
595,25.45988
596,25.41924
597,25.4096
598,25.40132
599,25.38833
600,25.3439
601,25.3231
602,25.34166
603,25.33254
604,25.33725
605,25.36581
606,25.32221
607,25.26481
608,25.25717
609,25.26214
610,25.27105
611,25.29344
612,25.22456
613,25.19564
614,25.20426
615,25.19944
616,25.18178
617,25.20204
618,25.19856
619,25.27735
620,25.29547
621,25.24571
622,25.25712
623,25.23447
624,25.16738
625,24.96707
626,25.01174
627,24.86202
628,24.86302
629,24.88396
630,24.88258
631,24.84425
632,24.79593
633,24.80965
634,24.74997
635,24.80646
636,24.82059
637,24.79292
638,24.75869
639,24.73981
640,24.72546
641,24.75951
642,25.01754
643,24.98576
644,25.04214
645,25.03909
646,25.03535
647,25.00492
648,25.02373
649,25.00364
650,25.06197
651,24.98723
652,24.99068
653,25.05539
654,24.91688
655,24.88461
656,24.90194
657,24.92312
658,24.90174
659,24.90727
660,24.53826
661,24.47486
662,24.36505
663,24.35956
664,24.32273
665,24.46796
666,24.45476
667,24.24471
668,24.0761
669,24.06106
670,24.01542
671,24.2312
672,24.26296
673,24.21593
674,24.01588
675,24.01242
676,23.93849
677,24.36731
678,24.2864
679,35.53422
680,34.23352
681,33.32804
682,32.72731
683,32.31167
684,32.22121
685,32.0696
686,31.78917
687,31.60871
688,31.4352
689,31.36526
690,31.49226
691,31.44771
692,31.30954
693,31.22809
694,31.18708
695,31.18109
696,31.3458
697,31.27713
698,31.13203
699,31.04367
700,31.07727
701,31.21932
702,31.28701
703,31.1691
704,31.10153
705,31.01463
706,31.02465
707,31.10935
708,31.01863
709,30.83509
710,30.66349
711,30.51057
712,30.68431
713,30.78902
714,30.77976
715,30.52542
716,30.46921
717,30.41993
718,30.6302
719,30.73903
720,30.73209
721,30.49013
722,30.45768
723,30.39828
724,30.72657
725,30.87375
726,30.81118
727,30.73003
728,30.70912
729,30.70334
730,30.75604
731,30.73836
732,30.6083
733,30.56287
734,30.49829
735,30.46833
736,30.55284
737,30.52327
738,30.38991
739,30.2964
740,30.25681
741,30.39797
742,30.2713
743,30.1253
744,29.75064
745,29.58415
746,29.51296
747,29.88076
748,30.06074
749,29.76088
750,29.41446
751,29.35419
752,29.42057
753,29.91537
754,30.06126
755,29.85303
756,29.45362
757,29.43887
758,29.50583
759,29.83483
760,40.11331
761,39.53193
762,39.11414
763,38.77584
764,38.47334
765,38.30385
766,38.1218
767,38.01528
768,37.8136
769,37.78578
770,37.69489
771,37.56736
