Cycle,RUL_cycles
0,234.0
1,232.0
2,230.0
3,228.0
4,226.0
5,224.0
6,222.0
7,220.0
8,218.0
9,216.0
10,214.0
11,212.0
12,210.0
13,208.0
14,206.0
15,204.0
16,202.0
17,200.0
18,198.0
19,196.0
20,194.0
21,192.0
22,190.0
23,188.0
24,186.0
25,184.0
26,182.0
27,180.0
28,178.0
29,176.0
30,174.0
31,172.0
32,170.0
33,168.0
34,166.0
35,164.0
36,162.0
37,160.0
38,158.0
39,156.0
40,154.0
41,152.0
42,150.0
43,148.0
44,146.0
45,144.0
46,142.0
47,140.0
48,138.0
49,136.0
50,134.0
51,132.0
52,130.0
53,128.0
54,126.0
55,124.0
56,122.0
57,120.0
58,118.0
59,116.0
60,114.0
61,112.0
62,110.0
63,108.0
64,106.0
65,104.0
66,102.0
67,100.0
68,98.0
69,96.0
70,94.0
71,92.0
72,90.0
73,88.0
74,86.0
75,84.0
76,82.0
77,80.0
78,78.0
79,76.0
80,74.0
81,72.0
82,70.0
83,68.0
84,66.0
85,64.0
86,62.0
87,60.0
88,58.0
89,56.0
90,54.0
91,52.0
92,50.0
93,48.0
94,46.0
95,44.0
96,42.0
97,40.0
98,38.0
99,36.0
100,34.0
101,32.0
102,30.0
103,28.0
104,26.0
105,24.0
106,22.0
107,20.0
108,18.0
109,16.0
110,14.0
111,12.0
112,10.0
113,8.0
114,6.0
115,4.0
116,2.0
117,0.0
118,162.0
119,160.0
120,158.0
121,156.0
122,154.0
123,152.0
124,150.0
125,148.0
126,146.0
127,144.0
128,142.0
129,140.0
130,138.0
131,136.0
132,134.0
133,132.0
134,130.0
135,128.0
136,126.0
137,124.0
138,122.0
139,120.0
140,118.0
141,116.0
142,114.0
143,112.0
144,110.0
145,108.0
146,106.0
147,104.0
148,102.0
149,100.0
150,98.0
151,96.0
152,94.0
153,92.0
154,90.0
155,88.0
156,86.0
157,84.0
158,82.0
159,80.0
160,78.0
161,76.0
162,74.0
163,72.0
164,70.0
165,68.0
166,66.0
167,64.0
168,62.0
169,60.0
170,58.0
171,56.0
172,54.0
173,52.0
174,50.0
175,48.0
176,46.0
177,44.0
178,42.0
179,40.0
180,38.0
181,36.0
182,34.0
183,32.0
184,30.0
185,28.0
186,26.0
187,24.0
188,22.0
189,20.0
190,18.0
191,16.0
192,14.0
193,12.0
194,10.0
195,8.0
196,6.0
197,4.0
198,2.0
199,0.0
200,12.0
201,10.0
202,8.0
203,6.0
204,4.0
205,2.0
206,0.0
207,218.0
208,216.0
209,214.0
210,212.0
211,210.0
212,208.0
213,206.0
214,204.0
215,202.0
216,200.0
217,198.0
218,196.0
219,194.0
220,192.0
221,190.0
222,188.0
223,186.0
224,184.0
225,182.0
226,180.0
227,178.0
228,176.0
229,174.0
230,172.0
231,170.0
232,168.0
233,166.0
234,164.0
235,162.0
236,160.0
237,158.0
238,156.0
239,154.0
240,152.0
241,150.0
242,148.0
243,146.0
244,144.0
245,142.0
246,140.0
247,138.0
248,136.0
249,134.0
250,132.0
251,130.0
252,128.0
253,126.0
254,124.0
255,122.0
256,120.0
257,118.0
258,116.0
259,114.0
260,112.0
261,110.0
262,108.0
263,106.0
264,104.0
265,102.0
266,100.0
267,98.0
268,96.0
269,94.0
270,92.0
271,90.0
272,88.0
273,86.0
274,84.0
275,82.0
276,80.0
277,78.0
278,76.0
279,74.0
280,72.0
281,70.0
282,68.0
283,66.0
284,64.0
285,62.0
286,60.0
287,58.0
288,56.0
289,54.0
290,52.0
291,50.0
292,48.0
293,46.0
294,44.0
295,42.0
296,40.0
297,38.0
298,36.0
299,34.0
300,32.0
301,30.0
302,28.0
303,26.0
304,24.0
305,22.0
306,20.0
307,18.0
308,16.0
309,14.0
310,12.0
311,10.0
312,8.0
313,6.0
314,4.0
315,2.0
316,0.0
317,414.0
318,412.0
319,410.0
320,408.0
321,406.0
322,404.0
323,402.0
324,400.0
325,398.0
326,396.0
327,394.0
328,392.0
329,390.0
330,388.0
331,386.0
332,384.0
333,382.0
334,380.0
335,378.0
336,376.0
337,374.0
338,372.0
339,370.0
340,368.0
341,366.0
342,364.0
343,362.0
344,360.0
345,358.0
346,356.0
347,354.0
348,352.0
349,350.0
350,348.0
351,346.0
352,344.0
353,342.0
354,340.0
355,338.0
356,336.0
357,334.0
358,332.0
359,330.0
360,328.0
361,326.0
362,324.0
363,322.0
364,320.0
365,318.0
366,316.0
367,314.0
368,312.0
369,310.0
370,308.0
371,306.0
372,304.0
373,302.0
374,300.0
375,298.0
376,296.0
377,294.0
378,292.0
379,290.0
380,288.0
381,286.0
382,284.0
383,282.0
384,280.0
385,278.0
386,276.0
387,274.0
388,272.0
389,270.0
390,268.0
391,266.0
392,264.0
393,262.0
394,260.0
395,258.0
396,256.0
397,254.0
398,252.0
399,250.0
400,248.0
401,246.0
402,244.0
403,242.0
404,240.0
405,238.0
406,236.0
407,234.0
408,232.0
409,230.0
410,228.0
411,226.0
412,224.0
413,222.0
414,220.0
415,218.0
416,216.0
417,214.0
418,212.0
419,210.0
420,208.0
421,206.0
422,204.0
423,202.0
424,200.0
425,198.0
426,196.0
427,194.0
428,192.0
429,190.0
430,188.0
431,186.0
432,184.0
433,182.0
434,180.0
435,178.0
436,176.0
437,174.0
438,172.0
439,170.0
440,168.0
441,166.0
442,164.0
443,162.0
444,160.0
445,158.0
446,156.0
447,154.0
448,152.0
449,150.0
450,148.0
451,146.0
452,144.0
453,142.0
454,140.0
455,138.0
456,136.0
457,134.0
458,132.0
459,130.0
460,128.0
461,126.0
462,124.0
463,122.0
464,120.0
465,118.0
466,116.0
467,114.0
468,112.0
469,110.0
470,108.0
471,106.0
472,104.0
473,102.0
474,100.0
475,98.0
476,96.0
477,94.0
478,92.0
479,90.0
480,88.0
481,86.0
482,84.0
483,82.0
484,80.0
485,78.0
486,76.0
487,74.0
488,72.0
489,70.0
490,68.0
491,66.0
492,64.0
493,62.0
494,60.0
495,58.0
496,56.0
497,54.0
498,52.0
499,50.0
500,48.0
501,46.0
502,44.0
503,42.0
504,40.0
505,38.0
506,36.0
507,34.0
508,32.0
509,30.0
510,28.0
511,26.0
512,24.0
513,22.0
514,20.0
