Cycle,RUL_cycles
0,252.0
1,250.0
2,248.0
3,246.0
4,244.0
5,242.0
6,240.0
7,238.0
8,236.0
9,234.0
10,232.0
11,230.0
12,228.0
13,226.0
14,224.0
15,222.0
16,220.0
17,218.0
18,216.0
19,214.0
20,212.0
21,210.0
22,208.0
23,206.0
24,204.0
25,202.0
26,200.0
27,198.0
28,196.0
29,194.0
30,192.0
31,190.0
32,188.0
33,186.0
34,184.0
35,182.0
36,180.0
37,178.0
38,176.0
39,174.0
40,172.0
41,170.0
42,168.0
43,166.0
44,164.0
45,162.0
46,160.0
47,158.0
48,156.0
49,154.0
50,152.0
51,150.0
52,148.0
53,146.0
54,144.0
55,142.0
56,140.0
57,138.0
58,136.0
59,134.0
60,132.0
61,130.0
62,128.0
63,126.0
64,124.0
65,122.0
66,120.0
67,118.0
68,116.0
69,114.0
70,112.0
71,110.0
72,108.0
73,106.0
74,104.0
75,102.0
76,100.0
77,98.0
78,96.0
79,94.0
80,92.0
81,90.0
82,88.0
83,86.0
84,84.0
85,82.0
86,80.0
87,78.0
88,76.0
89,74.0
90,72.0
91,70.0
92,68.0
93,66.0
94,64.0
95,62.0
96,60.0
97,58.0
98,56.0
99,54.0
100,52.0
101,50.0
102,48.0
103,46.0
104,44.0
105,42.0
106,40.0
107,38.0
108,36.0
109,34.0
110,32.0
111,30.0
112,28.0
113,26.0
114,24.0
115,22.0
116,20.0
117,18.0
118,16.0
119,14.0
120,12.0
121,10.0
122,8.0
123,6.0
124,4.0
125,2.0
126,0.0
