Cell_ID,Degradation_State,0,1,2,3,4,5,6
35C02,II,7950.25372,1.0,20004.453,0.49429,-0.01973,0.49468,2.28585
35C02,II,7950.39672,1.0,15829.126,0.50135,-0.00556,0.50138,0.63582
35C02,II,7950.53872,1.0,12516.703,0.50666,0.00683,0.50671,-0.77242
35C02,II,7950.68072,1.0,9909.4424,0.51288,0.01621,0.51314,-1.80993
35C02,II,7950.84472,1.0,7835.48,0.5194,0.02612,0.52006,-2.8789
35C02,II,7951.04572,1.0,6217.2461,0.52939,0.0329,0.53041,-3.55576
35C02,II,7951.28372,1.0,4905.291,0.5365,0.03946,0.53795,-4.20696
35C02,II,7951.52272,1.0,3881.2737,0.54467,0.04537,0.54656,-4.76184
35C02,II,7951.76072,1.0,3070.9827,0.55239,0.05113,0.55476,-5.28833
35C02,II,7951.99872,1.0,2430.7778,0.56087,0.05447,0.56351,-5.54696
35C02,II,7952.23672,1.0,1923.1537,0.57049,0.05988,0.57363,-5.99217
35C02,II,7952.47472,1.0,1522.4358,0.58095,0.06569,0.58465,-6.45078
35C02,II,7952.71272,1.0,1203.8446,0.59091,0.07041,0.59509,-6.79525
35C02,II,7952.95172,1.0,952.86591,0.60378,0.07468,0.60838,-7.05137
35C02,II,7953.18972,1.0,754.27557,0.61345,0.07876,0.61849,-7.31629
35C02,II,7953.42672,1.0,596.71857,0.62676,0.08212,0.63212,-7.46477
35C02,II,7953.66472,1.0,471.96338,0.63804,0.08901,0.64422,-7.94154
35C02,II,7953.90372,1.0,373.20856,0.65109,0.09143,0.65748,-7.99367
35C02,II,7954.14072,1.0,295.47278,0.6668,0.09558,0.67362,-8.15739
35C02,II,7954.38072,1.0,233.87738,0.68111,0.0996,0.68835,-8.31958
35C02,II,7954.61772,1.0,185.05922,0.69587,0.1021,0.70332,-8.347
35C02,II,7954.85472,1.0,146.35823,0.71013,0.10705,0.71815,-8.57226
35C02,II,7955.09072,1.0,115.77804,0.72621,0.11254,0.73488,-8.80922
35C02,II,7955.32472,1.0,91.6721,0.74281,0.11627,0.75186,-8.89651
35C02,II,7955.57072,1.0,72.51701,0.75953,0.12201,0.76927,-9.12589
35C02,II,7955.79972,1.0,57.36816,0.77727,0.12677,0.78754,-9.26321
35C02,II,7956.03572,1.0,45.3629,0.79482,0.13549,0.80629,-9.67397
35C02,II,7956.26872,1.0,35.93134,0.81853,0.14571,0.8314,-10.09394
35C02,II,7956.51872,1.0,28.40909,0.83995,0.15217,0.85363,-10.26877
35C02,II,7956.73372,1.0,22.48202,0.86732,0.16243,0.8824,-10.60732
35C02,II,7956.99872,1.0,17.79613,0.90071,0.16528,0.91575,-10.39824
35C02,II,7957.25072,1.0,14.06813,0.93198,0.15899,0.94545,-9.68119
35C02,II,7957.46672,1.0,11.1448,0.96152,0.16398,0.97541,-9.67819
35C02,II,7957.73372,1.0,8.81772,0.98725,0.14497,0.99784,-8.35389
35C02,II,7957.91172,1.0,6.97545,1.02438,0.13071,1.03268,-7.27163
35C02,II,7958.13072,1.0,5.5173,1.04447,0.13316,1.05292,-7.26535
35C02,II,7958.39972,1.0,4.36941,1.04879,0.11922,1.05555,-6.48511
35C02,II,7958.73472,1.0,3.45686,1.05613,0.09088,1.06003,-4.91814
35C02,II,7959.15372,1.0,2.73547,1.07736,0.06394,1.07926,-3.39652
35C02,II,7959.67872,1.0,2.16054,1.10564,0.05285,1.10691,-2.73666
35C02,II,7960.33772,1.0,1.70952,1.12625,0.06038,1.12787,-3.06868
35C02,II,7961.16672,1.0,1.35352,1.12811,0.07914,1.13088,-4.01291
35C02,II,7962.20872,1.0,1.07079,1.10788,0.09138,1.11165,-4.71502
35C02,II,7963.52272,1.0,0.84734,1.07856,0.0831,1.08176,-4.40568
35C02,II,7965.17872,1.0,0.67072,1.05787,0.05744,1.05943,-3.10823
