Cell_ID,Degradation_State,0,1,2,3,4,5,6
45C01,I,8228.2599,1.0,20004.453,1.44873,-0.02765,1.44899,1.09357
45C01,I,8228.4029,1.0,15829.126,1.4535,-0.01191,1.45355,0.46936
45C01,I,8228.5449,1.0,12516.703,1.46012,8e-05,1.46012,-0.00298
45C01,I,8228.6869,1.0,9909.4424,1.4654,0.00855,1.46543,-0.3343
45C01,I,8228.8509,1.0,7835.48,1.47245,0.01753,1.47256,-0.68215
45C01,I,8229.0519,1.0,6217.2461,1.47984,0.02405,1.48003,-0.93121
45C01,I,8229.2899,1.0,4905.291,1.48421,0.02967,1.4845,-1.14521
45C01,I,8229.5289,1.0,3881.2737,1.49229,0.03473,1.4927,-1.33301
45C01,I,8229.7669,1.0,3070.9827,1.49732,0.03754,1.49779,-1.4361
45C01,I,8230.0049,1.0,2430.7778,1.50659,0.04253,1.50719,-1.61694
45C01,I,8230.2429,1.0,1923.1537,1.51274,0.04543,1.51342,-1.72024
45C01,I,8230.4809,1.0,1522.4358,1.51971,0.04935,1.52051,-1.86004
45C01,I,8230.7189,1.0,1203.8446,1.52779,0.05206,1.52868,-1.95145
45C01,I,8230.9579,1.0,952.86591,1.53748,0.05522,1.53847,-2.05687
45C01,I,8231.1959,1.0,754.27557,1.54559,0.05784,1.54667,-2.143
45C01,I,8231.4329,1.0,596.71857,1.55566,0.06241,1.55691,-2.29741
45C01,I,8231.6709,1.0,471.96338,1.56393,0.0642,1.56525,-2.35073
45C01,I,8231.9099,1.0,373.20856,1.57289,0.06765,1.57434,-2.46289
45C01,I,8232.1479,1.0,295.47278,1.58322,0.07039,1.58479,-2.5457
45C01,I,8232.3869,1.0,233.87738,1.59254,0.07326,1.59422,-2.63369
45C01,I,8232.6249,1.0,185.05922,1.60347,0.07766,1.60535,-2.77272
45C01,I,8232.8609,1.0,146.35823,1.6149,0.08071,1.61692,-2.861
45C01,I,8233.0969,1.0,115.77804,1.6264,0.08443,1.62859,-2.97152
45C01,I,8233.3319,1.0,91.6721,1.63711,0.09173,1.63967,-3.20692
45C01,I,8233.5769,1.0,72.51701,1.65059,0.09867,1.65354,-3.421
45C01,I,8233.8059,1.0,57.36816,1.66368,0.10427,1.66695,-3.58629
45C01,I,8234.0429,1.0,45.3629,1.68118,0.11173,1.68489,-3.80236
45C01,I,8234.2749,1.0,35.93134,1.6996,0.12001,1.70383,-4.03912
45C01,I,8234.5259,1.0,28.40909,1.72071,0.12671,1.72537,-4.21148
45C01,I,8234.7399,1.0,22.48202,1.7453,0.13321,1.75038,-4.36458
45C01,I,8235.0049,1.0,17.79613,1.77057,0.13624,1.77581,-4.40015
45C01,I,8235.2569,1.0,14.06813,1.79785,0.13372,1.80281,-4.25366
45C01,I,8235.4729,1.0,11.1448,1.823,0.13022,1.82765,-4.0859
45C01,I,8235.7409,1.0,8.81772,1.84527,0.12253,1.84934,-3.79897
45C01,I,8235.9189,1.0,6.97545,1.86876,0.11205,1.87211,-3.43121
45C01,I,8236.1369,1.0,5.5173,1.88247,0.10028,1.88514,-3.0494
45C01,I,8236.4059,1.0,4.36941,1.89722,0.08969,1.89934,-2.70667
45C01,I,8236.7409,1.0,3.45686,1.90817,0.08111,1.9099,-2.43387
45C01,I,8237.1599,1.0,2.73547,1.91801,0.07071,1.91931,-2.11129
45C01,I,8237.6849,1.0,2.16054,1.92593,0.06544,1.92704,-1.9462
45C01,I,8238.3439,1.0,1.70952,1.9315,0.06131,1.93247,-1.81804
45C01,I,8239.1729,1.0,1.35352,1.93522,0.05882,1.93612,-1.74095
45C01,I,8240.2159,1.0,1.07079,1.93866,0.05619,1.93947,-1.66016
45C01,I,8241.5289,1.0,0.84734,1.94354,0.0551,1.94433,-1.62399
45C01,I,8243.1849,1.0,0.67072,1.94664,0.05634,1.94745,-1.6577
45C01,I,8245.2739,1.0,0.53067,1.95155,0.05854,1.95242,-1.7183
45C01,I,8247.9109,1.0,0.41976,1.95843,0.06373,1.95947,-1.86395
45C01,I,8251.2419,1.0,0.33183,1.96756,0.07216,1.96888,-2.1003
45C01,I,8255.4479,1.0,0.26261,1.9758,0.08701,1.97771,-2.52143
45C01,I,8260.7559,1.0,0.20791,1.98101,0.10478,1.98378,-3.02776
45C01,I,8267.4599,1.0,0.16452,1.98342,0.12235,1.98719,-3.52983
45C01,I,8275.9369,1.0,0.13007,1.98768,0.13847,1.9925,-3.985
45C01,I,8286.6269,1.0,0.10309,1.99664,0.15455,2.00262,-4.42619
45C01,I,8300.1399,1.0,0.08153,2.01009,0.17251,2.01748,-4.90533
45C01,I,8317.2379,1.0,0.06443,2.03071,0.19472,2.04003,-5.47714
45C01,I,8338.82391,1.0,0.05102,2.06018,0.21936,2.07183,-6.0776
45C01,I,8366.06691,1.0,0.04042,2.10276,0.25775,2.1185,-6.98833
45C01,I,8400.56191,1.0,0.03192,2.15045,0.32193,2.17441,-8.51408
45C01,I,8444.10891,1.0,0.02528,2.18337,0.40751,2.22108,-10.57216
45C01,I,8499.17391,1.0,0.01999,2.19915,0.49843,2.25492,-12.77013
45C01,I,25615.397,2.0,20004.453,1.54704,-0.02493,1.54724,0.92313
45C01,I,25615.54,2.0,15829.126,1.55374,-0.01102,1.55378,0.40636
45C01,I,25615.682,2.0,12516.703,1.56061,0.00154,1.56062,-0.05641
45C01,I,25615.824,2.0,9909.4424,1.5663,0.01047,1.56633,-0.38302
45C01,I,25615.988,2.0,7835.48,1.57343,0.01859,1.57354,-0.67685
45C01,I,25616.189,2.0,6217.2461,1.57949,0.0242,1.57968,-0.87782
45C01,I,25616.427,2.0,4905.291,1.58543,0.03078,1.58573,-1.1123
45C01,I,25616.666,2.0,3881.2737,1.59135,0.03504,1.59173,-1.26145
45C01,I,25616.904,2.0,3070.9827,1.60058,0.03883,1.60105,-1.3896
45C01,I,25617.142,2.0,2430.7778,1.60799,0.04443,1.60861,-1.58277
45C01,I,25617.38,2.0,1923.1537,1.61361,0.04767,1.61432,-1.69213
45C01,I,25617.618,2.0,1522.4358,1.62203,0.04848,1.62275,-1.71212
45C01,I,25617.856,2.0,1203.8446,1.62927,0.05309,1.63013,-1.86622
45C01,I,25618.095,2.0,952.86591,1.6381,0.05546,1.63904,-1.93902
45C01,I,25618.333,2.0,754.27557,1.64625,0.05877,1.6473,-2.04463
45C01,I,25618.57,2.0,596.71857,1.65499,0.06181,1.65614,-2.13896
45C01,I,25618.808,2.0,471.96338,1.66415,0.06422,1.66539,-2.20983
45C01,I,25619.047,2.0,373.20856,1.67323,0.06941,1.67466,-2.37526
45C01,I,25619.285,2.0,295.47278,1.6862,0.06985,1.68765,-2.37198
45C01,I,25619.524,2.0,233.87738,1.69578,0.07463,1.69742,-2.52
45C01,I,25619.762,2.0,185.05922,1.70482,0.07669,1.70655,-2.57575
45C01,I,25619.998,2.0,146.35823,1.71684,0.0837,1.71888,-2.79115
45C01,I,25620.234,2.0,115.77804,1.72813,0.08849,1.7304,-2.93134
45C01,I,25620.469,2.0,91.6721,1.74012,0.09242,1.74257,-3.0402
45C01,I,25620.714,2.0,72.51701,1.75295,0.09963,1.75578,-3.2528
45C01,I,25620.943,2.0,57.36816,1.76852,0.10628,1.77171,-3.4391
45C01,I,25621.18,2.0,45.3629,1.78503,0.1154,1.78876,-3.69902
45C01,I,25621.412,2.0,35.93134,1.80327,0.12268,1.80744,-3.89181
45C01,I,25621.663,2.0,28.40909,1.82444,0.12882,1.82898,-4.03891
