Cell_ID,Degradation_State,0,1,2,3,4,5,6
35C01,V,12989.59956,1.0,20004.453,0.275,-0.03318,0.277,6.88024
35C01,V,12989.74256,1.0,15829.126,0.28167,-0.01672,0.28217,3.39773
35C01,V,12989.88456,1.0,12516.703,0.28649,-0.00237,0.2865,0.47309
35C01,V,12990.02656,1.0,9909.4424,0.29203,0.00752,0.29212,-1.47605
35C01,V,12990.19056,1.0,7835.48,0.29889,0.01895,0.29949,-3.62792
35C01,V,12990.39156,1.0,6217.2461,0.30467,0.02681,0.30584,-5.02973
35C01,V,12990.62956,1.0,4905.291,0.31213,0.034,0.31398,-6.21708
35C01,V,12990.86856,1.0,3881.2737,0.32075,0.03913,0.32313,-6.95462
35C01,V,12991.10656,1.0,3070.9827,0.32799,0.04602,0.33121,-7.98717
35C01,V,12991.34456,1.0,2430.7778,0.33641,0.0522,0.34044,-8.8206
35C01,V,12991.58256,1.0,1923.1537,0.34642,0.05492,0.35075,-9.00921
35C01,V,12991.82056,1.0,1522.4358,0.35435,0.05956,0.35932,-9.54193
35C01,V,12992.05856,1.0,1203.8446,0.36493,0.0628,0.3703,-9.76486
35C01,V,12992.29756,1.0,952.86591,0.37575,0.06984,0.38219,-10.52891
35C01,V,12992.53556,1.0,754.27557,0.3867,0.07113,0.39319,-10.42191
35C01,V,12992.77256,1.0,596.71857,0.39726,0.07565,0.4044,-10.78221
35C01,V,12993.01056,1.0,471.96338,0.40825,0.07815,0.41566,-10.83708
35C01,V,12993.24956,1.0,373.20856,0.42066,0.08132,0.42845,-10.94112
35C01,V,12993.48756,1.0,295.47278,0.43465,0.08592,0.44306,-11.1825
35C01,V,12993.72656,1.0,233.87738,0.44783,0.08877,0.45654,-11.21219
35C01,V,12993.96456,1.0,185.05922,0.46055,0.09272,0.46979,-11.38245
35C01,V,12994.20056,1.0,146.35823,0.47415,0.09659,0.48389,-11.51427
35C01,V,12994.43756,1.0,115.77804,0.48987,0.1028,0.50054,-11.85218
