battery_state_id,battery_dataset,battery_cell,battery_state_label,battery_sample,Q_full_Ah,SOH,Q_eff_C,ocv_c0,ocv_c1,ocv_c2,ocv_c3,ocv_c4,ocv_c5,_k
D3_Cell01_new,3,Cell01,new,1,2.77844864801031,1.0,10002.415132837115,3.348702527950995,2.4406927638006404,-9.555064783058578,20.921922901008205,-20.325184501415578,7.381044900802154,1
D3_Cell01_slight,3,Cell01,slight,88,2.63958242087563,0.9500202290101263,9502.496715152269,3.3501555096602313,2.500250029869602,-9.883869265932963,21.67622989500657,-20.987718962335148,7.55883153837308,1
D3_Cell01_moderate,3,Cell01,moderate,252,2.5006481700358,0.9000159753992765,9002.33341212888,3.355527802859603,2.66019797990326,-10.957446788075037,24.408559733022834,-23.99002780615626,8.735662696997302,1
D3_Cell01_aged,3,Cell01,aged,383,2.36046708269256,0.849562969026952,8497.681497693215,3.3875476215511022,2.5878930608572874,-10.852507234714995,24.59326110454595,-24.593025889407922,9.091388316041451,1
D3_Cell01_old,3,Cell01,old,533,2.22176986250828,0.7996440258484978,7998.371505029808,3.414508858239886,2.5969194370095985,-10.973401402372234,25.011442730539756,-25.19708841970389,9.361431648919165,1
D3_Cell01_eol,3,Cell01,eol,920,1.75909388516163,0.6331208915526815,6332.737986581868,3.4851740794721544,2.808286570407081,-12.203469564610344,27.79567512695239,-28.16842885550565,10.498154391257973,1
D3_Cell02_new,3,Cell02,new,1,2.77820243066558,1.0,10001.528750396088,3.3487841202832906,2.4292468507980396,-9.533476237960382,21.00305701082634,-20.528239461153433,7.494574475243245,1
D3_Cell02_slight,3,Cell02,slight,87,2.63933819635598,0.9500165168755065,9501.617506881528,3.351064738595934,2.5466264168108608,-10.252647145332022,22.696945450085234,-22.144177126758045,8.017546529167896,1
D3_Cell02_moderate,3,Cell02,moderate,250,2.5007637148231,0.9001373288065213,9002.74937336316,3.3696064977789533,2.535320055133958,-10.48917463811161,23.59931403146513,-23.35970966117293,8.560309541886127,1
D3_Cell02_aged,3,Cell02,aged,386,2.3618184352593,0.8501246738501608,8502.54636693348,3.3849329916731246,2.7216909989085085,-11.66283855798987,26.412962986737426,-26.345810333369275,9.704608069612286,1
D3_Cell02_old,3,Cell02,old,512,2.22211627495046,0.7998395834741613,7999.618589821655,3.4147861846271574,2.709658906904233,-11.793987907816604,26.98762638060368,-27.206066370495375,10.104678707377525,1
D3_Cell02_eol,3,Cell02,eol,926,1.7794236092239,0.6404945836857538,6405.92499320604,3.4851257809399816,2.749183150846929,-11.862059444787265,26.883465715777703,-27.099883362026574,10.059275055429833,1
D3_Cell03_new,3,Cell03,new,1,2.7481795829127,1.0,9893.446498485719,3.339270544355083,2.7495086457320554,-11.289389618486297,24.88087408330716,-24.288619190390648,8.823666122739684,1
D3_Cell03_slight,3,Cell03,slight,94,2.61076125183109,0.9499965970433544,9398.740506591923,3.348689441178767,2.6863047073137882,-10.978207236549213,24.266956786947272,-23.685948361825446,8.57987158552054,1
D3_Cell03_moderate,3,Cell03,moderate,252,2.47360083505584,0.9000870432325083,8904.963006201024,3.3688216235165904,2.6949325635873764,-11.430945803450399,25.792702071243397,-25.602062639336477,9.393301355002693,1
D3_Cell03_aged,3,Cell03,aged,411,2.33533175909791,0.8497740735788355,8407.194332752475,3.394506979221276,2.6594189942473667,-11.384610546724955,25.879995516177953,-25.91960540994688,9.58531575192253,1
D3_Cell03_old,3,Cell03,old,548,2.19992851851429,0.8005039161897355,7919.742666651444,3.4196807450309707,2.728241715496962,-11.838117993931451,26.929511868814757,-27.019732387721678,9.99456371383647,1
D3_Cell03_eol,3,Cell03,eol,924,1.71409512927435,0.6237202037057711,6170.742465387661,3.491592880634444,2.924240202443404,-13.0856669295375,29.780753685282416,-29.967567929300664,11.07296560826564,1
D5_Cell01_new,5,Cell01,new,1,28.0597044469082,1.0,101014.93600886952,2.712178358891645,13.594149619800383,-84.83854684315706,211.02718769853172,-224.60837054298554,85.76669177669494,1
D5_Cell01_slight,5,Cell01,slight,149,26.6452087002525,0.9495897845491541,95922.751320909,2.813987443463249,10.611914025584973,-64.63852748613164,160.0759822302047,-170.89237407695074,65.65795047685485,1
D5_Cell01_moderate,5,Cell01,moderate,472,25.2540722072052,0.9000120530488288,90914.65994593872,2.7961538842319418,10.704216740659875,-64.22886862004279,157.797992914931,-167.80117630036494,64.3535725734674,1
D5_Cell01_aged,5,Cell01,aged,910,23.8511690882843,0.8500149790748198,85864.20871782348,2.788788285964136,10.596767678022529,-62.614948993227415,152.58299117051996,-161.56715409251765,61.83619286368555,1
D5_Cell01_old,5,Cell01,old,1125,22.4483649294311,0.8000214318688096,80814.11374595197,2.7983317942814168,10.140743301948302,-59.26514836406595,144.29141883108616,-153.26414840051018,58.93435438598276,1
D5_Cell01_eol,5,Cell01,eol,1411,21.3334011779417,0.7602860257600593,76800.24424059011,2.8227894807685465,9.421874754485103,-54.347234755875675,131.7429417621313,-139.78112376703658,53.770482987422234,1
D5_Cell02_new,5,Cell02,new,1,28.0923157698386,1.0,101132.33677141895,2.7114171137094973,13.539744734948796,-84.19265818593844,208.78949637314653,-221.64455746875376,84.41318074117014,1
D5_Cell02_slight,5,Cell02,slight,173,26.6874353672492,0.9499905805523604,96074.76732209712,2.8127111102997406,10.57868936318483,-64.2835950093942,159.0563742381447,-169.81395157904595,65.262269895226,1
D5_Cell02_moderate,5,Cell02,moderate,511,25.2818467212326,0.8999559498180115,91014.64819643737,2.8023693422890683,10.514506325560268,-62.93985531853953,154.55573311672748,-164.38581654870737,63.05929767442317,1
D5_Cell02_aged,5,Cell02,aged,972,23.9286297486492,0.8517855895077274,86143.06709513711,2.808086602300899,10.16820610672476,-60.143334669150086,147.13991322333194,-156.54817065469794,60.20051278862197,1
D5_Cell02_old,5,Cell02,old,1272,22.4727203126243,0.7999596934885733,80901.79312544748,2.822396794710209,9.582371951793537,-56.02541459108144,137.23407687152266,-146.91566652411515,56.9602621412949,1
D5_Cell02_eol,5,Cell02,eol,1403,21.7019549093639,0.7725228168147059,78127.03767371003,2.8277254493400905,9.343975117752068,-54.075831920595235,131.51233948820146,-139.88501976107244,53.88569271908315,1
D5_Cell03_new,5,Cell03,new,1,27.8939800451219,1.0,100418.32816243883,2.7309260798170913,13.30473536202371,-82.75118366023916,205.21773806778037,-217.94933765375234,83.08032642929399,1
D5_Cell03_slight,5,Cell03,slight,171,26.4965028537846,0.9499004018402283,95387.41027362457,2.841770109611368,10.084522297809325,-61.06061765812886,150.69429625728543,-160.55321615545765,61.605856129313615,1
D5_Cell03_moderate,5,Cell03,moderate,536,25.1035345432618,0.8999624471894576,90372.72435574248,2.8322486575430883,10.015571451323659,-59.82223718206884,146.78452090892588,-156.16037992214257,59.977394881834186,1
D5_Cell03_aged,5,Cell03,aged,971,23.7490224970242,0.8514031507374449,85496.48098928711,2.7161633102461207,12.587453001215502,-75.34244828879243,183.9991548319218,-194.6525332546797,74.37454439355574,1
D5_Cell03_old,5,Cell03,old,1273,22.3187964613669,0.8001295055515039,80347.66726092085,2.8320911032738834,9.463602109348432,-55.051601644389166,134.07737621604602,-142.66598074594754,54.9876151830591,1
D5_Cell03_eol,5,Cell03,eol,1420,21.8101703707176,0.7818952453338319,78516.61333458337,2.843824276690259,9.143331560550246,-52.964591525556756,128.91981124933645,-137.2374346826001,52.933893789137805,1
