Battery_ID,Dataset,Step_Number,Cycle_Duration_s,Step_Type
RW3,Battery_Uniform_Distribution_Discharge_Room_Temp_DataSet_2Post,1,191183.08000000002,D
RW3,Battery_Uniform_Distribution_Discharge_Room_Temp_DataSet_2Post,2,11155.89,C
RW3,Battery_Uniform_Distribution_Discharge_Room_Temp_DataSet_2Post,3,7232.95,D
RW3,Battery_Uniform_Distribution_Discharge_Room_Temp_DataSet_2Post,4,10815.57,C
RW3,Battery_Uniform_Distribution_Discharge_Room_Temp_DataSet_2Post,5,7211.44,D
RW3,Battery_Uniform_Distribution_Discharge_Room_Temp_DataSet_2Post,6,1199.99,R
RW3,Battery_Uniform_Distribution_Discharge_Room_Temp_DataSet_2Post,7,599.96,D
RW3,Battery_Uniform_Distribution_Discharge_Room_Temp_DataSet_2Post,8,1199.99,R
RW3,Battery_Uniform_Distribution_Discharge_Room_Temp_DataSet_2Post,9,599.96,D
RW3,Battery_Uniform_Distribution_Discharge_Room_Temp_DataSet_2Post,10,1199.99,R
RW3,Battery_Uniform_Distribution_Discharge_Room_Temp_DataSet_2Post,11,599.96,D
RW3,Battery_Uniform_Distribution_Discharge_Room_Temp_DataSet_2Post,12,1199.99,R
RW3,Battery_Uniform_Distribution_Discharge_Room_Temp_DataSet_2Post,13,599.96,D
RW3,Battery_Uniform_Distribution_Discharge_Room_Temp_DataSet_2Post,14,1199.99,R
RW3,Battery_Uniform_Distribution_Discharge_Room_Temp_DataSet_2Post,15,599.96,D
RW3,Battery_Uniform_Distribution_Discharge_Room_Temp_DataSet_2Post,16,1199.99,R
RW3,Battery_Uniform_Distribution_Discharge_Room_Temp_DataSet_2Post,17,599.96,D
RW3,Battery_Uniform_Distribution_Discharge_Room_Temp_DataSet_2Post,18,1199.99,R
RW3,Battery_Uniform_Distribution_Discharge_Room_Temp_DataSet_2Post,19,599.96,D
RW3,Battery_Uniform_Distribution_Discharge_Room_Temp_DataSet_2Post,20,1199.99,R
RW3,Battery_Uniform_Distribution_Discharge_Room_Temp_DataSet_2Post,21,599.96,D
RW3,Battery_Uniform_Distribution_Discharge_Room_Temp_DataSet_2Post,22,1199.99,R
RW3,Battery_Uniform_Distribution_Discharge_Room_Temp_DataSet_2Post,23,599.96,D
RW3,Battery_Uniform_Distribution_Discharge_Room_Temp_DataSet_2Post,24,1199.99,R
RW3,Battery_Uniform_Distribution_Discharge_Room_Temp_DataSet_2Post,25,599.96,D
RW3,Battery_Uniform_Distribution_Discharge_Room_Temp_DataSet_2Post,26,1199.99,R
RW3,Battery_Uniform_Distribution_Discharge_Room_Temp_DataSet_2Post,27,599.96,D
RW3,Battery_Uniform_Distribution_Discharge_Room_Temp_DataSet_2Post,28,1199.99,R
RW3,Battery_Uniform_Distribution_Discharge_Room_Temp_DataSet_2Post,29,599.96,D
RW3,Battery_Uniform_Distribution_Discharge_Room_Temp_DataSet_2Post,30,1199.99,R
RW3,Battery_Uniform_Distribution_Discharge_Room_Temp_DataSet_2Post,31,125.14999999999999,D
RW3,Battery_Uniform_Distribution_Discharge_Room_Temp_DataSet_2Post,32,11025.019999999999,C
RW3,Battery_Uniform_Distribution_Discharge_Room_Temp_DataSet_2Post,33,0.21,R
RW3,Battery_Uniform_Distribution_Discharge_Room_Temp_DataSet_2Post,34,299.96,D
RW3,Battery_Uniform_Distribution_Discharge_Room_Temp_DataSet_2Post,35,0.19,R
RW3,Battery_Uniform_Distribution_Discharge_Room_Temp_DataSet_2Post,36,299.96,D
RW3,Battery_Uniform_Distribution_Discharge_Room_Temp_DataSet_2Post,37,0.13999999999999999,R
RW3,Battery_Uniform_Distribution_Discharge_Room_Temp_DataSet_2Post,38,299.96,D
RW3,Battery_Uniform_Distribution_Discharge_Room_Temp_DataSet_2Post,39,0.45999999999999996,R
RW3,Battery_Uniform_Distribution_Discharge_Room_Temp_DataSet_2Post,40,299.96,D
RW3,Battery_Uniform_Distribution_Discharge_Room_Temp_DataSet_2Post,41,0.22,R
RW3,Battery_Uniform_Distribution_Discharge_Room_Temp_DataSet_2Post,42,299.96,D
RW3,Battery_Uniform_Distribution_Discharge_Room_Temp_DataSet_2Post,43,0.31,R
RW3,Battery_Uniform_Distribution_Discharge_Room_Temp_DataSet_2Post,44,299.96,D
RW3,Battery_Uniform_Distribution_Discharge_Room_Temp_DataSet_2Post,45,0.47,R
RW3,Battery_Uniform_Distribution_Discharge_Room_Temp_DataSet_2Post,46,299.96,D
RW3,Battery_Uniform_Distribution_Discharge_Room_Temp_DataSet_2Post,47,0.49,R
RW3,Battery_Uniform_Distribution_Discharge_Room_Temp_DataSet_2Post,48,299.96,D
RW3,Battery_Uniform_Distribution_Discharge_Room_Temp_DataSet_2Post,49,0.57,R
RW3,Battery_Uniform_Distribution_Discharge_Room_Temp_DataSet_2Post,50,185.74,D
RW3,Battery_Uniform_Distribution_Discharge_Room_Temp_DataSet_2Post,51,10296.949999999999,C
RW3,Battery_Uniform_Distribution_Discharge_Room_Temp_DataSet_2Post,52,0.16999999999999998,R
RW3,Battery_Uniform_Distribution_Discharge_Room_Temp_DataSet_2Post,53,299.96,D
RW3,Battery_Uniform_Distribution_Discharge_Room_Temp_DataSet_2Post,54,0.89,R
RW3,Battery_Uniform_Distribution_Discharge_Room_Temp_DataSet_2Post,55,299.96,D
RW3,Battery_Uniform_Distribution_Discharge_Room_Temp_DataSet_2Post,56,1.06,R
RW3,Battery_Uniform_Distribution_Discharge_Room_Temp_DataSet_2Post,57,299.96,D
RW3,Battery_Uniform_Distribution_Discharge_Room_Temp_DataSet_2Post,58,0.52,R
RW3,Battery_Uniform_Distribution_Discharge_Room_Temp_DataSet_2Post,59,299.96,D
RW3,Battery_Uniform_Distribution_Discharge_Room_Temp_DataSet_2Post,60,0.22999999999999998,R
RW3,Battery_Uniform_Distribution_Discharge_Room_Temp_DataSet_2Post,61,299.96,D
RW3,Battery_Uniform_Distribution_Discharge_Room_Temp_DataSet_2Post,62,0.25,R
RW3,Battery_Uniform_Distribution_Discharge_Room_Temp_DataSet_2Post,63,299.96,D
RW3,Battery_Uniform_Distribution_Discharge_Room_Temp_DataSet_2Post,64,0.32,R
RW3,Battery_Uniform_Distribution_Discharge_Room_Temp_DataSet_2Post,65,299.96,D
RW3,Battery_Uniform_Distribution_Discharge_Room_Temp_DataSet_2Post,66,0.45999999999999996,R
RW3,Battery_Uniform_Distribution_Discharge_Room_Temp_DataSet_2Post,67,299.96,D
RW3,Battery_Uniform_Distribution_Discharge_Room_Temp_DataSet_2Post,68,0.84,R
RW3,Battery_Uniform_Distribution_Discharge_Room_Temp_DataSet_2Post,69,299.96,D
RW3,Battery_Uniform_Distribution_Discharge_Room_Temp_DataSet_2Post,70,0.19999999999999998,R
RW3,Battery_Uniform_Distribution_Discharge_Room_Temp_DataSet_2Post,71,84.99999999999999,D
RW3,Battery_Uniform_Distribution_Discharge_Room_Temp_DataSet_2Post,72,10131.91,C
RW3,Battery_Uniform_Distribution_Discharge_Room_Temp_DataSet_2Post,73,0.76,R
RW3,Battery_Uniform_Distribution_Discharge_Room_Temp_DataSet_2Post,74,299.96,D
RW3,Battery_Uniform_Distribution_Discharge_Room_Temp_DataSet_2Post,75,0.22999999999999998,R
RW3,Battery_Uniform_Distribution_Discharge_Room_Temp_DataSet_2Post,76,299.96,D
RW3,Battery_Uniform_Distribution_Discharge_Room_Temp_DataSet_2Post,77,0.22,R
RW3,Battery_Uniform_Distribution_Discharge_Room_Temp_DataSet_2Post,78,299.95,D
RW3,Battery_Uniform_Distribution_Discharge_Room_Temp_DataSet_2Post,79,0.21,R
RW3,Battery_Uniform_Distribution_Discharge_Room_Temp_DataSet_2Post,80,299.96,D
RW3,Battery_Uniform_Distribution_Discharge_Room_Temp_DataSet_2Post,81,0.57,R
RW3,Battery_Uniform_Distribution_Discharge_Room_Temp_DataSet_2Post,82,299.96,D
RW3,Battery_Uniform_Distribution_Discharge_Room_Temp_DataSet_2Post,83,1.1,R
RW3,Battery_Uniform_Distribution_Discharge_Room_Temp_DataSet_2Post,84,299.96,D
RW3,Battery_Uniform_Distribution_Discharge_Room_Temp_DataSet_2Post,85,0.15,R
RW3,Battery_Uniform_Distribution_Discharge_Room_Temp_DataSet_2Post,86,299.96,D
RW3,Battery_Uniform_Distribution_Discharge_Room_Temp_DataSet_2Post,87,0.9299999999999999,R
RW3,Battery_Uniform_Distribution_Discharge_Room_Temp_DataSet_2Post,88,299.96,D
RW3,Battery_Uniform_Distribution_Discharge_Room_Temp_DataSet_2Post,89,0.71,R
RW3,Battery_Uniform_Distribution_Discharge_Room_Temp_DataSet_2Post,90,299.96,D
RW3,Battery_Uniform_Distribution_Discharge_Room_Temp_DataSet_2Post,91,0.19999999999999998,R
RW3,Battery_Uniform_Distribution_Discharge_Room_Temp_DataSet_2Post,92,299.96,D
RW3,Battery_Uniform_Distribution_Discharge_Room_Temp_DataSet_2Post,93,1.1,R
RW3,Battery_Uniform_Distribution_Discharge_Room_Temp_DataSet_2Post,94,166.34,D
RW3,Battery_Uniform_Distribution_Discharge_Room_Temp_DataSet_2Post,95,10293.679999999998,C
RW3,Battery_Uniform_Distribution_Discharge_Room_Temp_DataSet_2Post,96,0.88,R
RW3,Battery_Uniform_Distribution_Discharge_Room_Temp_DataSet_2Post,97,299.96,D
RW3,Battery_Uniform_Distribution_Discharge_Room_Temp_DataSet_2Post,98,1.17,R
RW3,Battery_Uniform_Distribution_Discharge_Room_Temp_DataSet_2Post,99,299.96,D
RW3,Battery_Uniform_Distribution_Discharge_Room_Temp_DataSet_2Post,100,0.39,R
RW3,Battery_Uniform_Distribution_Discharge_Room_Temp_DataSet_2Post,101,299.96,D
RW3,Battery_Uniform_Distribution_Discharge_Room_Temp_DataSet_2Post,102,1.09,R
RW3,Battery_Uniform_Distribution_Discharge_Room_Temp_DataSet_2Post,103,299.96,D
RW3,Battery_Uniform_Distribution_Discharge_Room_Temp_DataSet_2Post,104,1.01,R
RW3,Battery_Uniform_Distribution_Discharge_Room_Temp_DataSet_2Post,105,299.96,D
RW3,Battery_Uniform_Distribution_Discharge_Room_Temp_DataSet_2Post,106,0.95,R
RW3,Battery_Uniform_Distribution_Discharge_Room_Temp_DataSet_2Post,107,299.96,D
RW3,Battery_Uniform_Distribution_Discharge_Room_Temp_DataSet_2Post,108,0.57,R
RW3,Battery_Uniform_Distribution_Discharge_Room_Temp_DataSet_2Post,109,299.96,D
RW3,Battery_Uniform_Distribution_Discharge_Room_Temp_DataSet_2Post,110,0.18,R
RW3,Battery_Uniform_Distribution_Discharge_Room_Temp_DataSet_2Post,111,299.96,D
RW3,Battery_Uniform_Distribution_Discharge_Room_Temp_DataSet_2Post,112,0.21,R
RW3,Battery_Uniform_Distribution_Discharge_Room_Temp_DataSet_2Post,113,299.96,D
RW3,Battery_Uniform_Distribution_Discharge_Room_Temp_DataSet_2Post,114,0.16999999999999998,R
RW3,Battery_Uniform_Distribution_Discharge_Room_Temp_DataSet_2Post,115,299.96,D
RW3,Battery_Uniform_Distribution_Discharge_Room_Temp_DataSet_2Post,116,0.5,R
RW3,Battery_Uniform_Distribution_Discharge_Room_Temp_DataSet_2Post,117,299.96,D
RW3,Battery_Uniform_Distribution_Discharge_Room_Temp_DataSet_2Post,118,0.39999999999999997,R
RW3,Battery_Uniform_Distribution_Discharge_Room_Temp_DataSet_2Post,119,299.96,D
RW3,Battery_Uniform_Distribution_Discharge_Room_Temp_DataSet_2Post,120,0.96,R
RW3,Battery_Uniform_Distribution_Discharge_Room_Temp_DataSet_2Post,121,299.96,D
RW3,Battery_Uniform_Distribution_Discharge_Room_Temp_DataSet_2Post,122,0.95,R
RW3,Battery_Uniform_Distribution_Discharge_Room_Temp_DataSet_2Post,123,1.9699999999999998,D
RW3,Battery_Uniform_Distribution_Discharge_Room_Temp_DataSet_2Post,124,10865.31,C
RW3,Battery_Uniform_Distribution_Discharge_Room_Temp_DataSet_2Post,125,0.63,R
RW3,Battery_Uniform_Distribution_Discharge_Room_Temp_DataSet_2Post,126,299.96,D
RW3,Battery_Uniform_Distribution_Discharge_Room_Temp_DataSet_2Post,127,0.15,R
RW3,Battery_Uniform_Distribution_Discharge_Room_Temp_DataSet_2Post,128,299.96,D
RW3,Battery_Uniform_Distribution_Discharge_Room_Temp_DataSet_2Post,129,0.16999999999999998,R
RW3,Battery_Uniform_Distribution_Discharge_Room_Temp_DataSet_2Post,130,299.96,D
RW3,Battery_Uniform_Distribution_Discharge_Room_Temp_DataSet_2Post,131,0.16,R
RW3,Battery_Uniform_Distribution_Discharge_Room_Temp_DataSet_2Post,132,299.96,D
