Battery_ID,Dataset,Step_Number,Cycle_Duration_s,Step_Type
RW4,Battery_Uniform_Distribution_Discharge_Room_Temp_DataSet_2Post,1,189678.71,D
RW4,Battery_Uniform_Distribution_Discharge_Room_Temp_DataSet_2Post,2,12701.589999999998,C
RW4,Battery_Uniform_Distribution_Discharge_Room_Temp_DataSet_2Post,3,7122.6,D
RW4,Battery_Uniform_Distribution_Discharge_Room_Temp_DataSet_2Post,4,12032.24,C
RW4,Battery_Uniform_Distribution_Discharge_Room_Temp_DataSet_2Post,5,7094.26,D
RW4,Battery_Uniform_Distribution_Discharge_Room_Temp_DataSet_2Post,6,1199.99,R
RW4,Battery_Uniform_Distribution_Discharge_Room_Temp_DataSet_2Post,7,599.96,D
RW4,Battery_Uniform_Distribution_Discharge_Room_Temp_DataSet_2Post,8,1199.99,R
RW4,Battery_Uniform_Distribution_Discharge_Room_Temp_DataSet_2Post,9,599.96,D
RW4,Battery_Uniform_Distribution_Discharge_Room_Temp_DataSet_2Post,10,1199.99,R
RW4,Battery_Uniform_Distribution_Discharge_Room_Temp_DataSet_2Post,11,599.96,D
RW4,Battery_Uniform_Distribution_Discharge_Room_Temp_DataSet_2Post,12,1199.99,R
RW4,Battery_Uniform_Distribution_Discharge_Room_Temp_DataSet_2Post,13,599.96,D
RW4,Battery_Uniform_Distribution_Discharge_Room_Temp_DataSet_2Post,14,1199.99,R
RW4,Battery_Uniform_Distribution_Discharge_Room_Temp_DataSet_2Post,15,599.96,D
RW4,Battery_Uniform_Distribution_Discharge_Room_Temp_DataSet_2Post,16,1199.99,R
RW4,Battery_Uniform_Distribution_Discharge_Room_Temp_DataSet_2Post,17,599.96,D
RW4,Battery_Uniform_Distribution_Discharge_Room_Temp_DataSet_2Post,18,1199.99,R
RW4,Battery_Uniform_Distribution_Discharge_Room_Temp_DataSet_2Post,19,599.96,D
RW4,Battery_Uniform_Distribution_Discharge_Room_Temp_DataSet_2Post,20,1199.99,R
RW4,Battery_Uniform_Distribution_Discharge_Room_Temp_DataSet_2Post,21,599.96,D
RW4,Battery_Uniform_Distribution_Discharge_Room_Temp_DataSet_2Post,22,1199.99,R
RW4,Battery_Uniform_Distribution_Discharge_Room_Temp_DataSet_2Post,23,599.96,D
RW4,Battery_Uniform_Distribution_Discharge_Room_Temp_DataSet_2Post,24,1199.99,R
RW4,Battery_Uniform_Distribution_Discharge_Room_Temp_DataSet_2Post,25,599.96,D
RW4,Battery_Uniform_Distribution_Discharge_Room_Temp_DataSet_2Post,26,1199.99,R
RW4,Battery_Uniform_Distribution_Discharge_Room_Temp_DataSet_2Post,27,599.96,D
RW4,Battery_Uniform_Distribution_Discharge_Room_Temp_DataSet_2Post,28,1199.99,R
RW4,Battery_Uniform_Distribution_Discharge_Room_Temp_DataSet_2Post,29,565.9000000000001,D
RW4,Battery_Uniform_Distribution_Discharge_Room_Temp_DataSet_2Post,30,11921.41,C
RW4,Battery_Uniform_Distribution_Discharge_Room_Temp_DataSet_2Post,31,0.16,R
RW4,Battery_Uniform_Distribution_Discharge_Room_Temp_DataSet_2Post,32,299.96,D
RW4,Battery_Uniform_Distribution_Discharge_Room_Temp_DataSet_2Post,33,0.16999999999999998,R
RW4,Battery_Uniform_Distribution_Discharge_Room_Temp_DataSet_2Post,34,299.95,D
RW4,Battery_Uniform_Distribution_Discharge_Room_Temp_DataSet_2Post,35,0.18,R
RW4,Battery_Uniform_Distribution_Discharge_Room_Temp_DataSet_2Post,36,299.96,D
RW4,Battery_Uniform_Distribution_Discharge_Room_Temp_DataSet_2Post,37,0.16999999999999998,R
RW4,Battery_Uniform_Distribution_Discharge_Room_Temp_DataSet_2Post,38,299.96,D
RW4,Battery_Uniform_Distribution_Discharge_Room_Temp_DataSet_2Post,39,0.16999999999999998,R
RW4,Battery_Uniform_Distribution_Discharge_Room_Temp_DataSet_2Post,40,299.96,D
RW4,Battery_Uniform_Distribution_Discharge_Room_Temp_DataSet_2Post,41,0.33,R
RW4,Battery_Uniform_Distribution_Discharge_Room_Temp_DataSet_2Post,42,299.96,D
RW4,Battery_Uniform_Distribution_Discharge_Room_Temp_DataSet_2Post,43,0.19999999999999998,R
RW4,Battery_Uniform_Distribution_Discharge_Room_Temp_DataSet_2Post,44,299.96,D
RW4,Battery_Uniform_Distribution_Discharge_Room_Temp_DataSet_2Post,45,0.77,R
RW4,Battery_Uniform_Distribution_Discharge_Room_Temp_DataSet_2Post,46,299.96,D
RW4,Battery_Uniform_Distribution_Discharge_Room_Temp_DataSet_2Post,47,1.18,R
RW4,Battery_Uniform_Distribution_Discharge_Room_Temp_DataSet_2Post,48,299.96,D
RW4,Battery_Uniform_Distribution_Discharge_Room_Temp_DataSet_2Post,49,0.82,R
RW4,Battery_Uniform_Distribution_Discharge_Room_Temp_DataSet_2Post,50,299.96,D
RW4,Battery_Uniform_Distribution_Discharge_Room_Temp_DataSet_2Post,51,0.18,R
RW4,Battery_Uniform_Distribution_Discharge_Room_Temp_DataSet_2Post,52,299.96,D
RW4,Battery_Uniform_Distribution_Discharge_Room_Temp_DataSet_2Post,53,0.82,R
RW4,Battery_Uniform_Distribution_Discharge_Room_Temp_DataSet_2Post,54,17.68,D
RW4,Battery_Uniform_Distribution_Discharge_Room_Temp_DataSet_2Post,55,11240.8,C
RW4,Battery_Uniform_Distribution_Discharge_Room_Temp_DataSet_2Post,56,0.22,R
RW4,Battery_Uniform_Distribution_Discharge_Room_Temp_DataSet_2Post,57,299.96,D
RW4,Battery_Uniform_Distribution_Discharge_Room_Temp_DataSet_2Post,58,1.08,R
RW4,Battery_Uniform_Distribution_Discharge_Room_Temp_DataSet_2Post,59,299.96,D
RW4,Battery_Uniform_Distribution_Discharge_Room_Temp_DataSet_2Post,60,0.52,R
RW4,Battery_Uniform_Distribution_Discharge_Room_Temp_DataSet_2Post,61,299.96,D
RW4,Battery_Uniform_Distribution_Discharge_Room_Temp_DataSet_2Post,62,0.87,R
RW4,Battery_Uniform_Distribution_Discharge_Room_Temp_DataSet_2Post,63,299.96,D
RW4,Battery_Uniform_Distribution_Discharge_Room_Temp_DataSet_2Post,64,1.02,R
RW4,Battery_Uniform_Distribution_Discharge_Room_Temp_DataSet_2Post,65,299.96,D
RW4,Battery_Uniform_Distribution_Discharge_Room_Temp_DataSet_2Post,66,0.52,R
