Battery_ID,Dataset,Step_Number,Cycle_Duration_s,Step_Type
RW2,Battery_Uniform_Distribution_Variable_Charge_Room_Temp_DataSet_2Post,1,186451.41,D
RW2,Battery_Uniform_Distribution_Variable_Charge_Room_Temp_DataSet_2Post,2,153777.58000000002,C
RW2,Battery_Uniform_Distribution_Variable_Charge_Room_Temp_DataSet_2Post,3,1548.51,C
RW2,Battery_Uniform_Distribution_Variable_Charge_Room_Temp_DataSet_2Post,4,7153.67,D
RW2,Battery_Uniform_Distribution_Variable_Charge_Room_Temp_DataSet_2Post,5,9957.550000000001,C
RW2,Battery_Uniform_Distribution_Variable_Charge_Room_Temp_DataSet_2Post,6,7159.11,D
RW2,Battery_Uniform_Distribution_Variable_Charge_Room_Temp_DataSet_2Post,7,1199.99,R
RW2,Battery_Uniform_Distribution_Variable_Charge_Room_Temp_DataSet_2Post,8,599.96,D
RW2,Battery_Uniform_Distribution_Variable_Charge_Room_Temp_DataSet_2Post,9,1199.99,R
RW2,Battery_Uniform_Distribution_Variable_Charge_Room_Temp_DataSet_2Post,10,599.96,D
RW2,Battery_Uniform_Distribution_Variable_Charge_Room_Temp_DataSet_2Post,11,1199.99,R
RW2,Battery_Uniform_Distribution_Variable_Charge_Room_Temp_DataSet_2Post,12,599.96,D
RW2,Battery_Uniform_Distribution_Variable_Charge_Room_Temp_DataSet_2Post,13,1199.99,R
RW2,Battery_Uniform_Distribution_Variable_Charge_Room_Temp_DataSet_2Post,14,599.96,D
RW2,Battery_Uniform_Distribution_Variable_Charge_Room_Temp_DataSet_2Post,15,1199.99,R
RW2,Battery_Uniform_Distribution_Variable_Charge_Room_Temp_DataSet_2Post,16,599.96,D
RW2,Battery_Uniform_Distribution_Variable_Charge_Room_Temp_DataSet_2Post,17,1199.99,R
RW2,Battery_Uniform_Distribution_Variable_Charge_Room_Temp_DataSet_2Post,18,599.96,D
RW2,Battery_Uniform_Distribution_Variable_Charge_Room_Temp_DataSet_2Post,19,1199.99,R
RW2,Battery_Uniform_Distribution_Variable_Charge_Room_Temp_DataSet_2Post,20,599.96,D
RW2,Battery_Uniform_Distribution_Variable_Charge_Room_Temp_DataSet_2Post,21,1199.99,R
RW2,Battery_Uniform_Distribution_Variable_Charge_Room_Temp_DataSet_2Post,22,599.96,D
RW2,Battery_Uniform_Distribution_Variable_Charge_Room_Temp_DataSet_2Post,23,1199.99,R
RW2,Battery_Uniform_Distribution_Variable_Charge_Room_Temp_DataSet_2Post,24,599.96,D
RW2,Battery_Uniform_Distribution_Variable_Charge_Room_Temp_DataSet_2Post,25,1199.99,R
RW2,Battery_Uniform_Distribution_Variable_Charge_Room_Temp_DataSet_2Post,26,599.96,D
RW2,Battery_Uniform_Distribution_Variable_Charge_Room_Temp_DataSet_2Post,27,1199.99,R
RW2,Battery_Uniform_Distribution_Variable_Charge_Room_Temp_DataSet_2Post,28,599.96,D
RW2,Battery_Uniform_Distribution_Variable_Charge_Room_Temp_DataSet_2Post,29,1199.99,R
RW2,Battery_Uniform_Distribution_Variable_Charge_Room_Temp_DataSet_2Post,30,599.96,D
RW2,Battery_Uniform_Distribution_Variable_Charge_Room_Temp_DataSet_2Post,31,1199.99,R
RW2,Battery_Uniform_Distribution_Variable_Charge_Room_Temp_DataSet_2Post,32,97.93999999999998,D
RW2,Battery_Uniform_Distribution_Variable_Charge_Room_Temp_DataSet_2Post,33,4.99,R
RW2,Battery_Uniform_Distribution_Variable_Charge_Room_Temp_DataSet_2Post,34,1.2,R
RW2,Battery_Uniform_Distribution_Variable_Charge_Room_Temp_DataSet_2Post,35,44.99,C
RW2,Battery_Uniform_Distribution_Variable_Charge_Room_Temp_DataSet_2Post,36,0.18,R
