Battery_ID,Dataset,Step_Number,Cycle_Duration_s,Step_Type
RW28,RW_Skewed_High_40C_DataSet_2Post,1,13648.179999999998,C
RW28,RW_Skewed_High_40C_DataSet_2Post,2,299.99,R
RW28,RW_Skewed_High_40C_DataSet_2Post,3,7661.03,D
RW28,RW_Skewed_High_40C_DataSet_2Post,4,5399.99,R
RW28,RW_Skewed_High_40C_DataSet_2Post,5,13602.33,C
RW28,RW_Skewed_High_40C_DataSet_2Post,6,299.99,R
RW28,RW_Skewed_High_40C_DataSet_2Post,7,287.64,D
RW28,RW_Skewed_High_40C_DataSet_2Post,8,5399.99,R
RW28,RW_Skewed_High_40C_DataSet_2Post,9,1199.99,R
RW28,RW_Skewed_High_40C_DataSet_2Post,10,599.99,D
RW28,RW_Skewed_High_40C_DataSet_2Post,11,1199.99,R
RW28,RW_Skewed_High_40C_DataSet_2Post,12,599.96,D
RW28,RW_Skewed_High_40C_DataSet_2Post,13,1199.99,R
RW28,RW_Skewed_High_40C_DataSet_2Post,14,599.96,D
RW28,RW_Skewed_High_40C_DataSet_2Post,15,1199.99,R
RW28,RW_Skewed_High_40C_DataSet_2Post,16,599.96,D
RW28,RW_Skewed_High_40C_DataSet_2Post,17,1199.99,R
RW28,RW_Skewed_High_40C_DataSet_2Post,18,599.96,D
RW28,RW_Skewed_High_40C_DataSet_2Post,19,1199.99,R
RW28,RW_Skewed_High_40C_DataSet_2Post,20,599.96,D
RW28,RW_Skewed_High_40C_DataSet_2Post,21,1199.99,R
RW28,RW_Skewed_High_40C_DataSet_2Post,22,599.96,D
RW28,RW_Skewed_High_40C_DataSet_2Post,23,1199.99,R
RW28,RW_Skewed_High_40C_DataSet_2Post,24,599.96,D
RW28,RW_Skewed_High_40C_DataSet_2Post,25,1199.99,R
RW28,RW_Skewed_High_40C_DataSet_2Post,26,599.96,D
RW28,RW_Skewed_High_40C_DataSet_2Post,27,1199.99,R
RW28,RW_Skewed_High_40C_DataSet_2Post,28,599.96,D
RW28,RW_Skewed_High_40C_DataSet_2Post,29,1199.99,R
RW28,RW_Skewed_High_40C_DataSet_2Post,30,599.96,D
RW28,RW_Skewed_High_40C_DataSet_2Post,31,1199.99,R
RW28,RW_Skewed_High_40C_DataSet_2Post,32,599.96,D
RW28,RW_Skewed_High_40C_DataSet_2Post,33,1199.99,R
RW28,RW_Skewed_High_40C_DataSet_2Post,34,469.75,D
RW28,RW_Skewed_High_40C_DataSet_2Post,35,7199.99,R
RW28,RW_Skewed_High_40C_DataSet_2Post,36,3599.99,R
RW28,RW_Skewed_High_40C_DataSet_2Post,37,13003.119999999999,C
RW28,RW_Skewed_High_40C_DataSet_2Post,38,0.18,R
RW28,RW_Skewed_High_40C_DataSet_2Post,39,59.96,D
RW28,RW_Skewed_High_40C_DataSet_2Post,40,0.13,R
RW28,RW_Skewed_High_40C_DataSet_2Post,41,59.96,D
RW28,RW_Skewed_High_40C_DataSet_2Post,42,0.8,R
RW28,RW_Skewed_High_40C_DataSet_2Post,43,59.96,D
RW28,RW_Skewed_High_40C_DataSet_2Post,44,0.86,R
RW28,RW_Skewed_High_40C_DataSet_2Post,45,59.96,D
RW28,RW_Skewed_High_40C_DataSet_2Post,46,0.79,R
RW28,RW_Skewed_High_40C_DataSet_2Post,47,59.96,D
RW28,RW_Skewed_High_40C_DataSet_2Post,48,0.84,R
RW28,RW_Skewed_High_40C_DataSet_2Post,49,59.96,D
RW28,RW_Skewed_High_40C_DataSet_2Post,50,0.86,R
RW28,RW_Skewed_High_40C_DataSet_2Post,51,59.96,D
RW28,RW_Skewed_High_40C_DataSet_2Post,52,0.86,R
RW28,RW_Skewed_High_40C_DataSet_2Post,53,59.96,D
RW28,RW_Skewed_High_40C_DataSet_2Post,54,0.89,R
RW28,RW_Skewed_High_40C_DataSet_2Post,55,59.96,D
RW28,RW_Skewed_High_40C_DataSet_2Post,56,0.75,R
RW28,RW_Skewed_High_40C_DataSet_2Post,57,59.96,D
RW28,RW_Skewed_High_40C_DataSet_2Post,58,0.9,R
RW28,RW_Skewed_High_40C_DataSet_2Post,59,59.95,D
RW28,RW_Skewed_High_40C_DataSet_2Post,60,0.8099999999999999,R
RW28,RW_Skewed_High_40C_DataSet_2Post,61,59.95,D
RW28,RW_Skewed_High_40C_DataSet_2Post,62,0.79,R
RW28,RW_Skewed_High_40C_DataSet_2Post,63,59.96,D
RW28,RW_Skewed_High_40C_DataSet_2Post,64,0.84,R
RW28,RW_Skewed_High_40C_DataSet_2Post,65,59.96,D
RW28,RW_Skewed_High_40C_DataSet_2Post,66,0.85,R
RW28,RW_Skewed_High_40C_DataSet_2Post,67,59.96,D
RW28,RW_Skewed_High_40C_DataSet_2Post,68,0.8,R
RW28,RW_Skewed_High_40C_DataSet_2Post,69,59.96,D
RW28,RW_Skewed_High_40C_DataSet_2Post,70,0.85,R
RW28,RW_Skewed_High_40C_DataSet_2Post,71,,D
RW28,RW_Skewed_High_40C_DataSet_2Post,72,3599.99,R
RW28,RW_Skewed_High_40C_DataSet_2Post,73,9071.59,C
RW28,RW_Skewed_High_40C_DataSet_2Post,74,0.15,R
RW28,RW_Skewed_High_40C_DataSet_2Post,75,59.96,D
RW28,RW_Skewed_High_40C_DataSet_2Post,76,0.15,R
RW28,RW_Skewed_High_40C_DataSet_2Post,77,59.96,D
RW28,RW_Skewed_High_40C_DataSet_2Post,78,0.13999999999999999,R
RW28,RW_Skewed_High_40C_DataSet_2Post,79,59.96,D
