Battery_ID,Dataset,Step_Number,Cycle_Duration_s,Step_Type
RW18,RW_Skewed_High_Room_Temp_DataSet_2Post,1,9918.97,C
RW18,RW_Skewed_High_Room_Temp_DataSet_2Post,2,299.99,R
RW18,RW_Skewed_High_Room_Temp_DataSet_2Post,3,7634.94,D
RW18,RW_Skewed_High_Room_Temp_DataSet_2Post,4,5399.99,R
RW18,RW_Skewed_High_Room_Temp_DataSet_2Post,5,9546.869999999999,C
RW18,RW_Skewed_High_Room_Temp_DataSet_2Post,6,299.99,R
RW18,RW_Skewed_High_Room_Temp_DataSet_2Post,7,1441.57,D
RW18,RW_Skewed_High_Room_Temp_DataSet_2Post,8,5399.99,R
RW18,RW_Skewed_High_Room_Temp_DataSet_2Post,9,1199.99,R
RW18,RW_Skewed_High_Room_Temp_DataSet_2Post,10,599.96,D
RW18,RW_Skewed_High_Room_Temp_DataSet_2Post,11,1199.99,R
RW18,RW_Skewed_High_Room_Temp_DataSet_2Post,12,599.96,D
RW18,RW_Skewed_High_Room_Temp_DataSet_2Post,13,1199.99,R
RW18,RW_Skewed_High_Room_Temp_DataSet_2Post,14,599.96,D
RW18,RW_Skewed_High_Room_Temp_DataSet_2Post,15,1199.99,R
RW18,RW_Skewed_High_Room_Temp_DataSet_2Post,16,599.96,D
RW18,RW_Skewed_High_Room_Temp_DataSet_2Post,17,1199.99,R
RW18,RW_Skewed_High_Room_Temp_DataSet_2Post,18,599.96,D
RW18,RW_Skewed_High_Room_Temp_DataSet_2Post,19,1199.99,R
RW18,RW_Skewed_High_Room_Temp_DataSet_2Post,20,599.96,D
RW18,RW_Skewed_High_Room_Temp_DataSet_2Post,21,1199.99,R
RW18,RW_Skewed_High_Room_Temp_DataSet_2Post,22,599.96,D
RW18,RW_Skewed_High_Room_Temp_DataSet_2Post,23,1199.99,R
RW18,RW_Skewed_High_Room_Temp_DataSet_2Post,24,599.96,D
RW18,RW_Skewed_High_Room_Temp_DataSet_2Post,25,1199.99,R
RW18,RW_Skewed_High_Room_Temp_DataSet_2Post,26,599.96,D
RW18,RW_Skewed_High_Room_Temp_DataSet_2Post,27,1199.99,R
RW18,RW_Skewed_High_Room_Temp_DataSet_2Post,28,599.96,D
RW18,RW_Skewed_High_Room_Temp_DataSet_2Post,29,1199.99,R
RW18,RW_Skewed_High_Room_Temp_DataSet_2Post,30,599.96,D
RW18,RW_Skewed_High_Room_Temp_DataSet_2Post,31,1199.99,R
RW18,RW_Skewed_High_Room_Temp_DataSet_2Post,32,599.96,D
RW18,RW_Skewed_High_Room_Temp_DataSet_2Post,33,1199.99,R
RW18,RW_Skewed_High_Room_Temp_DataSet_2Post,34,419.34,D
RW18,RW_Skewed_High_Room_Temp_DataSet_2Post,35,7199.99,R
RW18,RW_Skewed_High_Room_Temp_DataSet_2Post,36,3599.99,R
RW18,RW_Skewed_High_Room_Temp_DataSet_2Post,37,9419.47,C
RW18,RW_Skewed_High_Room_Temp_DataSet_2Post,38,0.19,R
RW18,RW_Skewed_High_Room_Temp_DataSet_2Post,39,23.650000000000002,C
RW18,RW_Skewed_High_Room_Temp_DataSet_2Post,40,299.99,R
RW18,RW_Skewed_High_Room_Temp_DataSet_2Post,41,7618.0,D
RW18,RW_Skewed_High_Room_Temp_DataSet_2Post,42,5399.99,R
RW18,RW_Skewed_High_Room_Temp_DataSet_2Post,43,9346.31,C
RW18,RW_Skewed_High_Room_Temp_DataSet_2Post,44,299.99,R
RW18,RW_Skewed_High_Room_Temp_DataSet_2Post,45,1470.94,D
RW18,RW_Skewed_High_Room_Temp_DataSet_2Post,46,5399.99,R
RW18,RW_Skewed_High_Room_Temp_DataSet_2Post,47,1199.99,R
RW18,RW_Skewed_High_Room_Temp_DataSet_2Post,48,599.96,D
RW18,RW_Skewed_High_Room_Temp_DataSet_2Post,49,1199.99,R
RW18,RW_Skewed_High_Room_Temp_DataSet_2Post,50,599.96,D
RW18,RW_Skewed_High_Room_Temp_DataSet_2Post,51,1199.99,R
RW18,RW_Skewed_High_Room_Temp_DataSet_2Post,52,599.96,D
RW18,RW_Skewed_High_Room_Temp_DataSet_2Post,53,1199.99,R
RW18,RW_Skewed_High_Room_Temp_DataSet_2Post,54,599.96,D
RW18,RW_Skewed_High_Room_Temp_DataSet_2Post,55,1199.99,R
RW18,RW_Skewed_High_Room_Temp_DataSet_2Post,56,599.96,D
RW18,RW_Skewed_High_Room_Temp_DataSet_2Post,57,1199.99,R
RW18,RW_Skewed_High_Room_Temp_DataSet_2Post,58,599.96,D
RW18,RW_Skewed_High_Room_Temp_DataSet_2Post,59,1199.99,R
RW18,RW_Skewed_High_Room_Temp_DataSet_2Post,60,599.96,D
RW18,RW_Skewed_High_Room_Temp_DataSet_2Post,61,1199.99,R
RW18,RW_Skewed_High_Room_Temp_DataSet_2Post,62,599.96,D
RW18,RW_Skewed_High_Room_Temp_DataSet_2Post,63,1199.99,R
RW18,RW_Skewed_High_Room_Temp_DataSet_2Post,64,599.96,D
RW18,RW_Skewed_High_Room_Temp_DataSet_2Post,65,1199.99,R
RW18,RW_Skewed_High_Room_Temp_DataSet_2Post,66,599.96,D
RW18,RW_Skewed_High_Room_Temp_DataSet_2Post,67,1199.99,R
RW18,RW_Skewed_High_Room_Temp_DataSet_2Post,68,599.96,D
RW18,RW_Skewed_High_Room_Temp_DataSet_2Post,69,1199.99,R
RW18,RW_Skewed_High_Room_Temp_DataSet_2Post,70,599.96,D
RW18,RW_Skewed_High_Room_Temp_DataSet_2Post,71,1199.99,R
RW18,RW_Skewed_High_Room_Temp_DataSet_2Post,72,412.53,D
RW18,RW_Skewed_High_Room_Temp_DataSet_2Post,73,7199.99,R
RW18,RW_Skewed_High_Room_Temp_DataSet_2Post,74,3599.99,R
RW18,RW_Skewed_High_Room_Temp_DataSet_2Post,75,9468.14,C
RW18,RW_Skewed_High_Room_Temp_DataSet_2Post,76,0.38,R
RW18,RW_Skewed_High_Room_Temp_DataSet_2Post,77,28.95,C
RW18,RW_Skewed_High_Room_Temp_DataSet_2Post,78,299.99,R
RW18,RW_Skewed_High_Room_Temp_DataSet_2Post,79,0.22,R
RW18,RW_Skewed_High_Room_Temp_DataSet_2Post,80,3599.99,R
RW18,RW_Skewed_High_Room_Temp_DataSet_2Post,81,2.0500000000000003,R
RW18,RW_Skewed_High_Room_Temp_DataSet_2Post,82,59.96,D
RW18,RW_Skewed_High_Room_Temp_DataSet_2Post,83,0.82,R
RW18,RW_Skewed_High_Room_Temp_DataSet_2Post,84,59.96,D
RW18,RW_Skewed_High_Room_Temp_DataSet_2Post,85,0.15,R
RW18,RW_Skewed_High_Room_Temp_DataSet_2Post,86,59.96,D
RW18,RW_Skewed_High_Room_Temp_DataSet_2Post,87,0.13,R
RW18,RW_Skewed_High_Room_Temp_DataSet_2Post,88,59.96,D
RW18,RW_Skewed_High_Room_Temp_DataSet_2Post,89,0.24,R
RW18,RW_Skewed_High_Room_Temp_DataSet_2Post,90,59.96,D
RW18,RW_Skewed_High_Room_Temp_DataSet_2Post,91,0.94,R
RW18,RW_Skewed_High_Room_Temp_DataSet_2Post,92,59.96,D
RW18,RW_Skewed_High_Room_Temp_DataSet_2Post,93,0.19,R
RW18,RW_Skewed_High_Room_Temp_DataSet_2Post,94,59.96,D
RW18,RW_Skewed_High_Room_Temp_DataSet_2Post,95,0.15,R
