Battery_ID,Dataset,Step_Number,Cycle_Duration_s,Step_Type
RW21,RW_Skewed_Low_40C_DataSet_2Post,1,9394.699999999999,C
RW21,RW_Skewed_Low_40C_DataSet_2Post,2,299.99,R
RW21,RW_Skewed_Low_40C_DataSet_2Post,3,7700.62,D
RW21,RW_Skewed_Low_40C_DataSet_2Post,4,5399.99,R
RW21,RW_Skewed_Low_40C_DataSet_2Post,5,10358.689999999999,C
RW21,RW_Skewed_Low_40C_DataSet_2Post,6,299.99,R
RW21,RW_Skewed_Low_40C_DataSet_2Post,7,908.4300000000001,D
RW21,RW_Skewed_Low_40C_DataSet_2Post,8,5399.99,R
RW21,RW_Skewed_Low_40C_DataSet_2Post,9,1199.99,R
RW21,RW_Skewed_Low_40C_DataSet_2Post,10,599.96,D
RW21,RW_Skewed_Low_40C_DataSet_2Post,11,1199.99,R
RW21,RW_Skewed_Low_40C_DataSet_2Post,12,599.96,D
RW21,RW_Skewed_Low_40C_DataSet_2Post,13,1199.99,R
RW21,RW_Skewed_Low_40C_DataSet_2Post,14,599.96,D
RW21,RW_Skewed_Low_40C_DataSet_2Post,15,1199.99,R
RW21,RW_Skewed_Low_40C_DataSet_2Post,16,599.96,D
RW21,RW_Skewed_Low_40C_DataSet_2Post,17,1199.99,R
RW21,RW_Skewed_Low_40C_DataSet_2Post,18,599.96,D
RW21,RW_Skewed_Low_40C_DataSet_2Post,19,1199.99,R
RW21,RW_Skewed_Low_40C_DataSet_2Post,20,599.96,D
RW21,RW_Skewed_Low_40C_DataSet_2Post,21,1199.99,R
RW21,RW_Skewed_Low_40C_DataSet_2Post,22,599.96,D
RW21,RW_Skewed_Low_40C_DataSet_2Post,23,1199.99,R
RW21,RW_Skewed_Low_40C_DataSet_2Post,24,599.96,D
RW21,RW_Skewed_Low_40C_DataSet_2Post,25,1199.99,R
RW21,RW_Skewed_Low_40C_DataSet_2Post,26,599.96,D
RW21,RW_Skewed_Low_40C_DataSet_2Post,27,1199.99,R
RW21,RW_Skewed_Low_40C_DataSet_2Post,28,599.96,D
RW21,RW_Skewed_Low_40C_DataSet_2Post,29,1199.99,R
RW21,RW_Skewed_Low_40C_DataSet_2Post,30,599.96,D
RW21,RW_Skewed_Low_40C_DataSet_2Post,31,1199.99,R
RW21,RW_Skewed_Low_40C_DataSet_2Post,32,599.96,D
RW21,RW_Skewed_Low_40C_DataSet_2Post,33,1199.99,R
RW21,RW_Skewed_Low_40C_DataSet_2Post,34,499.15,D
RW21,RW_Skewed_Low_40C_DataSet_2Post,35,7199.99,R
RW21,RW_Skewed_Low_40C_DataSet_2Post,36,3599.99,R
RW21,RW_Skewed_Low_40C_DataSet_2Post,37,10222.23,C
RW21,RW_Skewed_Low_40C_DataSet_2Post,38,0.19999999999999998,R
RW21,RW_Skewed_Low_40C_DataSet_2Post,39,59.96,D
RW21,RW_Skewed_Low_40C_DataSet_2Post,40,0.16999999999999998,R
RW21,RW_Skewed_Low_40C_DataSet_2Post,41,59.96,D
RW21,RW_Skewed_Low_40C_DataSet_2Post,42,0.16999999999999998,R
RW21,RW_Skewed_Low_40C_DataSet_2Post,43,59.96,D
RW21,RW_Skewed_Low_40C_DataSet_2Post,44,0.22,R
RW21,RW_Skewed_Low_40C_DataSet_2Post,45,59.96,D
RW21,RW_Skewed_Low_40C_DataSet_2Post,46,0.16999999999999998,R
RW21,RW_Skewed_Low_40C_DataSet_2Post,47,59.95,D
RW21,RW_Skewed_Low_40C_DataSet_2Post,48,0.16,R
RW21,RW_Skewed_Low_40C_DataSet_2Post,49,59.96,D
RW21,RW_Skewed_Low_40C_DataSet_2Post,50,0.16,R
RW21,RW_Skewed_Low_40C_DataSet_2Post,51,59.96,D
RW21,RW_Skewed_Low_40C_DataSet_2Post,52,0.15,R
RW21,RW_Skewed_Low_40C_DataSet_2Post,53,59.96,D
RW21,RW_Skewed_Low_40C_DataSet_2Post,54,0.22,R
RW21,RW_Skewed_Low_40C_DataSet_2Post,55,59.96,D
RW21,RW_Skewed_Low_40C_DataSet_2Post,56,0.16,R
RW21,RW_Skewed_Low_40C_DataSet_2Post,57,59.97,D
RW21,RW_Skewed_Low_40C_DataSet_2Post,58,0.15,R
RW21,RW_Skewed_Low_40C_DataSet_2Post,59,59.96,D
RW21,RW_Skewed_Low_40C_DataSet_2Post,60,0.18,R
RW21,RW_Skewed_Low_40C_DataSet_2Post,61,59.96,D
RW21,RW_Skewed_Low_40C_DataSet_2Post,62,0.84,R
RW21,RW_Skewed_Low_40C_DataSet_2Post,63,59.96,D
RW21,RW_Skewed_Low_40C_DataSet_2Post,64,0.87,R
RW21,RW_Skewed_Low_40C_DataSet_2Post,65,59.96,D
RW21,RW_Skewed_Low_40C_DataSet_2Post,66,0.82,R
RW21,RW_Skewed_Low_40C_DataSet_2Post,67,59.95,D
RW21,RW_Skewed_Low_40C_DataSet_2Post,68,0.85,R
RW21,RW_Skewed_Low_40C_DataSet_2Post,69,59.95,D
RW21,RW_Skewed_Low_40C_DataSet_2Post,70,0.79,R
RW21,RW_Skewed_Low_40C_DataSet_2Post,71,59.96,D
RW21,RW_Skewed_Low_40C_DataSet_2Post,72,0.85,R
RW21,RW_Skewed_Low_40C_DataSet_2Post,73,59.96,D
RW21,RW_Skewed_Low_40C_DataSet_2Post,74,0.85,R
RW21,RW_Skewed_Low_40C_DataSet_2Post,75,59.95,D
RW21,RW_Skewed_Low_40C_DataSet_2Post,76,0.79,R
RW21,RW_Skewed_Low_40C_DataSet_2Post,77,59.96,D
RW21,RW_Skewed_Low_40C_DataSet_2Post,78,0.85,R
RW21,RW_Skewed_Low_40C_DataSet_2Post,79,59.96,D
RW21,RW_Skewed_Low_40C_DataSet_2Post,80,0.85,R
RW21,RW_Skewed_Low_40C_DataSet_2Post,81,59.96,D
RW21,RW_Skewed_Low_40C_DataSet_2Post,82,0.86,R
RW21,RW_Skewed_Low_40C_DataSet_2Post,83,59.96,D
RW21,RW_Skewed_Low_40C_DataSet_2Post,84,0.91,R
