Battery_ID,Dataset,Step_Number,Cycle_Duration_s,Step_Type
RW14,RW_Skewed_Low_Room_Temp_DataSet_2Post,1,9489.539999999999,C
RW14,RW_Skewed_Low_Room_Temp_DataSet_2Post,2,299.99,R
RW14,RW_Skewed_Low_Room_Temp_DataSet_2Post,3,7616.29,D
RW14,RW_Skewed_Low_Room_Temp_DataSet_2Post,4,5399.99,R
RW14,RW_Skewed_Low_Room_Temp_DataSet_2Post,5,10545.839999999998,C
RW14,RW_Skewed_Low_Room_Temp_DataSet_2Post,6,299.99,R
RW14,RW_Skewed_Low_Room_Temp_DataSet_2Post,7,1484.41,D
RW14,RW_Skewed_Low_Room_Temp_DataSet_2Post,8,5399.99,R
RW14,RW_Skewed_Low_Room_Temp_DataSet_2Post,9,1199.99,R
RW14,RW_Skewed_Low_Room_Temp_DataSet_2Post,10,599.96,D
RW14,RW_Skewed_Low_Room_Temp_DataSet_2Post,11,1199.99,R
RW14,RW_Skewed_Low_Room_Temp_DataSet_2Post,12,599.96,D
RW14,RW_Skewed_Low_Room_Temp_DataSet_2Post,13,1199.99,R
RW14,RW_Skewed_Low_Room_Temp_DataSet_2Post,14,599.96,D
RW14,RW_Skewed_Low_Room_Temp_DataSet_2Post,15,1199.99,R
RW14,RW_Skewed_Low_Room_Temp_DataSet_2Post,16,599.96,D
RW14,RW_Skewed_Low_Room_Temp_DataSet_2Post,17,1199.99,R
RW14,RW_Skewed_Low_Room_Temp_DataSet_2Post,18,599.96,D
RW14,RW_Skewed_Low_Room_Temp_DataSet_2Post,19,1199.99,R
RW14,RW_Skewed_Low_Room_Temp_DataSet_2Post,20,599.96,D
RW14,RW_Skewed_Low_Room_Temp_DataSet_2Post,21,1199.99,R
RW14,RW_Skewed_Low_Room_Temp_DataSet_2Post,22,599.96,D
RW14,RW_Skewed_Low_Room_Temp_DataSet_2Post,23,1199.99,R
RW14,RW_Skewed_Low_Room_Temp_DataSet_2Post,24,599.96,D
RW14,RW_Skewed_Low_Room_Temp_DataSet_2Post,25,1199.99,R
RW14,RW_Skewed_Low_Room_Temp_DataSet_2Post,26,599.96,D
RW14,RW_Skewed_Low_Room_Temp_DataSet_2Post,27,1199.99,R
RW14,RW_Skewed_Low_Room_Temp_DataSet_2Post,28,599.96,D
RW14,RW_Skewed_Low_Room_Temp_DataSet_2Post,29,1199.99,R
RW14,RW_Skewed_Low_Room_Temp_DataSet_2Post,30,599.96,D
RW14,RW_Skewed_Low_Room_Temp_DataSet_2Post,31,1199.99,R
RW14,RW_Skewed_Low_Room_Temp_DataSet_2Post,32,599.96,D
RW14,RW_Skewed_Low_Room_Temp_DataSet_2Post,33,1199.99,R
RW14,RW_Skewed_Low_Room_Temp_DataSet_2Post,34,427.16999999999996,D
RW14,RW_Skewed_Low_Room_Temp_DataSet_2Post,35,7199.99,R
RW14,RW_Skewed_Low_Room_Temp_DataSet_2Post,36,3599.99,R
RW14,RW_Skewed_Low_Room_Temp_DataSet_2Post,37,10525.179999999998,C
RW14,RW_Skewed_Low_Room_Temp_DataSet_2Post,38,0.19,R
RW14,RW_Skewed_Low_Room_Temp_DataSet_2Post,39,59.96,D
RW14,RW_Skewed_Low_Room_Temp_DataSet_2Post,40,0.21,R
RW14,RW_Skewed_Low_Room_Temp_DataSet_2Post,41,59.96,D
RW14,RW_Skewed_Low_Room_Temp_DataSet_2Post,42,0.79,R
RW14,RW_Skewed_Low_Room_Temp_DataSet_2Post,43,59.96,D
RW14,RW_Skewed_Low_Room_Temp_DataSet_2Post,44,1.05,R
RW14,RW_Skewed_Low_Room_Temp_DataSet_2Post,45,59.96,D
RW14,RW_Skewed_Low_Room_Temp_DataSet_2Post,46,1.06,R
RW14,RW_Skewed_Low_Room_Temp_DataSet_2Post,47,59.96,D
RW14,RW_Skewed_Low_Room_Temp_DataSet_2Post,48,1.0,R
RW14,RW_Skewed_Low_Room_Temp_DataSet_2Post,49,59.96,D
RW14,RW_Skewed_Low_Room_Temp_DataSet_2Post,50,1.02,R
RW14,RW_Skewed_Low_Room_Temp_DataSet_2Post,51,59.95,D
RW14,RW_Skewed_Low_Room_Temp_DataSet_2Post,52,0.85,R
RW14,RW_Skewed_Low_Room_Temp_DataSet_2Post,53,59.96,D
RW14,RW_Skewed_Low_Room_Temp_DataSet_2Post,54,0.88,R
RW14,RW_Skewed_Low_Room_Temp_DataSet_2Post,55,59.96,D
RW14,RW_Skewed_Low_Room_Temp_DataSet_2Post,56,0.86,R
RW14,RW_Skewed_Low_Room_Temp_DataSet_2Post,57,59.96,D
RW14,RW_Skewed_Low_Room_Temp_DataSet_2Post,58,0.84,R
RW14,RW_Skewed_Low_Room_Temp_DataSet_2Post,59,59.96,D
RW14,RW_Skewed_Low_Room_Temp_DataSet_2Post,60,0.99,R
RW14,RW_Skewed_Low_Room_Temp_DataSet_2Post,61,59.96,D
RW14,RW_Skewed_Low_Room_Temp_DataSet_2Post,62,0.8099999999999999,R
RW14,RW_Skewed_Low_Room_Temp_DataSet_2Post,63,59.96,D
RW14,RW_Skewed_Low_Room_Temp_DataSet_2Post,64,1.07,R
RW14,RW_Skewed_Low_Room_Temp_DataSet_2Post,65,59.96,D
RW14,RW_Skewed_Low_Room_Temp_DataSet_2Post,66,0.19,R
RW14,RW_Skewed_Low_Room_Temp_DataSet_2Post,67,59.96,D
RW14,RW_Skewed_Low_Room_Temp_DataSet_2Post,68,0.27,R
RW14,RW_Skewed_Low_Room_Temp_DataSet_2Post,69,59.96,D
RW14,RW_Skewed_Low_Room_Temp_DataSet_2Post,70,0.99,R
RW14,RW_Skewed_Low_Room_Temp_DataSet_2Post,71,59.96,D
RW14,RW_Skewed_Low_Room_Temp_DataSet_2Post,72,1.05,R
RW14,RW_Skewed_Low_Room_Temp_DataSet_2Post,73,59.96,D
RW14,RW_Skewed_Low_Room_Temp_DataSet_2Post,74,0.95,R
RW14,RW_Skewed_Low_Room_Temp_DataSet_2Post,75,59.96,D
RW14,RW_Skewed_Low_Room_Temp_DataSet_2Post,76,1.18,R
RW14,RW_Skewed_Low_Room_Temp_DataSet_2Post,77,59.96,D
RW14,RW_Skewed_Low_Room_Temp_DataSet_2Post,78,0.13,R
RW14,RW_Skewed_Low_Room_Temp_DataSet_2Post,79,59.96,D
RW14,RW_Skewed_Low_Room_Temp_DataSet_2Post,80,0.33999999999999997,R
RW14,RW_Skewed_Low_Room_Temp_DataSet_2Post,81,59.96,D
RW14,RW_Skewed_Low_Room_Temp_DataSet_2Post,82,0.92,R
RW14,RW_Skewed_Low_Room_Temp_DataSet_2Post,83,59.96,D
RW14,RW_Skewed_Low_Room_Temp_DataSet_2Post,84,0.92,R
RW14,RW_Skewed_Low_Room_Temp_DataSet_2Post,85,59.96,D
RW14,RW_Skewed_Low_Room_Temp_DataSet_2Post,86,1.14,R
RW14,RW_Skewed_Low_Room_Temp_DataSet_2Post,87,59.96,D
RW14,RW_Skewed_Low_Room_Temp_DataSet_2Post,88,0.19,R
RW14,RW_Skewed_Low_Room_Temp_DataSet_2Post,89,59.96,D
RW14,RW_Skewed_Low_Room_Temp_DataSet_2Post,90,0.33999999999999997,R
RW14,RW_Skewed_Low_Room_Temp_DataSet_2Post,91,59.96,D
RW14,RW_Skewed_Low_Room_Temp_DataSet_2Post,92,1.14,R
RW14,RW_Skewed_Low_Room_Temp_DataSet_2Post,93,59.96,D
RW14,RW_Skewed_Low_Room_Temp_DataSet_2Post,94,1.1199999999999999,R
RW14,RW_Skewed_Low_Room_Temp_DataSet_2Post,95,59.96,D
RW14,RW_Skewed_Low_Room_Temp_DataSet_2Post,96,1.05,R
RW14,RW_Skewed_Low_Room_Temp_DataSet_2Post,97,59.96,D
RW14,RW_Skewed_Low_Room_Temp_DataSet_2Post,98,1.06,R
RW14,RW_Skewed_Low_Room_Temp_DataSet_2Post,99,59.96,D
RW14,RW_Skewed_Low_Room_Temp_DataSet_2Post,100,1.01,R
RW14,RW_Skewed_Low_Room_Temp_DataSet_2Post,101,59.96,D
RW14,RW_Skewed_Low_Room_Temp_DataSet_2Post,102,0.96,R
RW14,RW_Skewed_Low_Room_Temp_DataSet_2Post,103,59.96,D
RW14,RW_Skewed_Low_Room_Temp_DataSet_2Post,104,0.97,R
RW14,RW_Skewed_Low_Room_Temp_DataSet_2Post,105,59.96,D
RW14,RW_Skewed_Low_Room_Temp_DataSet_2Post,106,1.0,R
RW14,RW_Skewed_Low_Room_Temp_DataSet_2Post,107,59.96,D
RW14,RW_Skewed_Low_Room_Temp_DataSet_2Post,108,0.85,R
RW14,RW_Skewed_Low_Room_Temp_DataSet_2Post,109,59.96,D
RW14,RW_Skewed_Low_Room_Temp_DataSet_2Post,110,0.85,R
RW14,RW_Skewed_Low_Room_Temp_DataSet_2Post,111,59.96,D
RW14,RW_Skewed_Low_Room_Temp_DataSet_2Post,112,0.92,R
RW14,RW_Skewed_Low_Room_Temp_DataSet_2Post,113,59.96,D
RW14,RW_Skewed_Low_Room_Temp_DataSet_2Post,114,1.05,R
RW14,RW_Skewed_Low_Room_Temp_DataSet_2Post,115,59.96,D
RW14,RW_Skewed_Low_Room_Temp_DataSet_2Post,116,0.13999999999999999,R
RW14,RW_Skewed_Low_Room_Temp_DataSet_2Post,117,59.96,D
RW14,RW_Skewed_Low_Room_Temp_DataSet_2Post,118,0.13999999999999999,R
RW14,RW_Skewed_Low_Room_Temp_DataSet_2Post,119,59.96,D
RW14,RW_Skewed_Low_Room_Temp_DataSet_2Post,120,0.87,R
RW14,RW_Skewed_Low_Room_Temp_DataSet_2Post,121,59.96,D
RW14,RW_Skewed_Low_Room_Temp_DataSet_2Post,122,1.01,R
RW14,RW_Skewed_Low_Room_Temp_DataSet_2Post,123,59.96,D
RW14,RW_Skewed_Low_Room_Temp_DataSet_2Post,124,1.25,R
RW14,RW_Skewed_Low_Room_Temp_DataSet_2Post,125,59.96,D
RW14,RW_Skewed_Low_Room_Temp_DataSet_2Post,126,1.1199999999999999,R
RW14,RW_Skewed_Low_Room_Temp_DataSet_2Post,127,59.96,D
RW14,RW_Skewed_Low_Room_Temp_DataSet_2Post,128,1.25,R
RW14,RW_Skewed_Low_Room_Temp_DataSet_2Post,129,59.96,D
RW14,RW_Skewed_Low_Room_Temp_DataSet_2Post,130,0.15,R
RW14,RW_Skewed_Low_Room_Temp_DataSet_2Post,131,59.96,D
RW14,RW_Skewed_Low_Room_Temp_DataSet_2Post,132,0.51,R
RW14,RW_Skewed_Low_Room_Temp_DataSet_2Post,133,59.96,D
RW14,RW_Skewed_Low_Room_Temp_DataSet_2Post,134,0.18,R
RW14,RW_Skewed_Low_Room_Temp_DataSet_2Post,135,59.96,D
