Battery_ID,Dataset_Group,Cycle_Number,Cycle_Type,Ambient_Temperature_C,Cycle_Duration_s
B0006,1. BatteryAgingARC-FY08Q4（恒室温）,1,charge,24,-1990.079
B0006,1. BatteryAgingARC-FY08Q4（恒室温）,2,discharge,24,-1966.407
B0006,1. BatteryAgingARC-FY08Q4（恒室温）,3,charge,24,-1956.016
B0006,1. BatteryAgingARC-FY08Q4（恒室温）,4,discharge,24,-1959.594
B0006,1. BatteryAgingARC-FY08Q4（恒室温）,5,charge,24,-1967.188
B0006,1. BatteryAgingARC-FY08Q4（恒室温）,6,discharge,24,-2001.313
B0006,1. BatteryAgingARC-FY08Q4（恒室温）,7,charge,24,-1969.329
B0006,1. BatteryAgingARC-FY08Q4（恒室温）,8,discharge,24,-1970.625
B0006,1. BatteryAgingARC-FY08Q4（恒室温）,9,charge,24,-1958.875
B0006,1. BatteryAgingARC-FY08Q4（恒室温）,10,discharge,24,-1982.297
B0006,1. BatteryAgingARC-FY08Q4（恒室温）,11,charge,24,-1972.922
B0006,1. BatteryAgingARC-FY08Q4（恒室温）,12,discharge,24,-1997.313
B0006,1. BatteryAgingARC-FY08Q4（恒室温）,13,charge,24,-1964.766
B0006,1. BatteryAgingARC-FY08Q4（恒室温）,14,discharge,24,-1991.985
B0006,1. BatteryAgingARC-FY08Q4（恒室温）,15,charge,24,-1960.875
B0006,1. BatteryAgingARC-FY08Q4（恒室温）,16,discharge,24,-1993.282
B0006,1. BatteryAgingARC-FY08Q4（恒室温）,17,charge,24,-1980.547
B0006,1. BatteryAgingARC-FY08Q4（恒室温）,18,discharge,24,-1992.782
B0006,1. BatteryAgingARC-FY08Q4（恒室温）,19,charge,24,-2001.844
B0006,1. BatteryAgingARC-FY08Q4（恒室温）,20,discharge,24,-1999.391
B0006,1. BatteryAgingARC-FY08Q4（恒室温）,21,charge,24,-2007.704
B0006,1. BatteryAgingARC-FY08Q4（恒室温）,22,discharge,24,-1988.235
B0006,1. BatteryAgingARC-FY08Q4（恒室温）,23,charge,24,-1957.625
B0006,1. BatteryAgingARC-FY08Q4（恒室温）,24,charge,24,-1948.094
B0006,1. BatteryAgingARC-FY08Q4（恒室温）,25,discharge,24,-1980.391
B0006,1. BatteryAgingARC-FY08Q4（恒室温）,26,charge,24,-1988.766
B0006,1. BatteryAgingARC-FY08Q4（恒室温）,27,discharge,24,-1953.329
B0006,1. BatteryAgingARC-FY08Q4（恒室温）,28,charge,24,-1982.579
B0006,1. BatteryAgingARC-FY08Q4（恒室温）,29,discharge,24,-1981.297
B0006,1. BatteryAgingARC-FY08Q4（恒室温）,30,charge,24,-1950.766
B0006,1. BatteryAgingARC-FY08Q4（恒室温）,31,discharge,24,-2006.11
B0006,1. BatteryAgingARC-FY08Q4（恒室温）,32,charge,24,-1995.266
B0006,1. BatteryAgingARC-FY08Q4（恒室温）,33,discharge,24,-1975.688
B0006,1. BatteryAgingARC-FY08Q4（恒室温）,34,charge,24,-1985.86
B0006,1. BatteryAgingARC-FY08Q4（恒室温）,35,discharge,24,-1966.532
B0006,1. BatteryAgingARC-FY08Q4（恒室温）,36,charge,24,-1996.469
