Battery_ID,Dataset_Group,Cycle_Number,Cycle_Type,Ambient_Temperature_C,Cycle_Duration_s
B0028,2. BatteryAgingARC_25_26_27_28_P1,1,impedance,24,-1956.891
B0028,2. BatteryAgingARC_25_26_27_28_P1,2,charge,24,-1973.907
B0028,2. BatteryAgingARC_25_26_27_28_P1,3,impedance,24,-1963.954
B0028,2. BatteryAgingARC_25_26_27_28_P1,4,discharge,24,-1980.922
B0028,2. BatteryAgingARC_25_26_27_28_P1,5,charge,24,-1985.938
B0028,2. BatteryAgingARC_25_26_27_28_P1,6,discharge,24,-1974.422
B0028,2. BatteryAgingARC_25_26_27_28_P1,7,charge,24,-1978.344
B0028,2. BatteryAgingARC_25_26_27_28_P1,8,discharge,24,-1967.532
B0028,2. BatteryAgingARC_25_26_27_28_P1,9,charge,24,-1997.907
B0028,2. BatteryAgingARC_25_26_27_28_P1,10,discharge,24,-1985.454
B0028,2. BatteryAgingARC_25_26_27_28_P1,11,charge,24,-1973.844
B0028,2. BatteryAgingARC_25_26_27_28_P1,12,discharge,24,-1968.329
B0028,2. BatteryAgingARC_25_26_27_28_P1,13,impedance,24,-1961.032
B0028,2. BatteryAgingARC_25_26_27_28_P1,14,charge,24,-1977.454
B0028,2. BatteryAgingARC_25_26_27_28_P1,15,impedance,24,-1999.204
B0028,2. BatteryAgingARC_25_26_27_28_P1,16,discharge,24,-1950.844
B0028,2. BatteryAgingARC_25_26_27_28_P1,17,impedance,24,-1999.235
B0028,2. BatteryAgingARC_25_26_27_28_P1,18,charge,24,-1955.36
B0028,2. BatteryAgingARC_25_26_27_28_P1,19,impedance,24,-1985.719
B0028,2. BatteryAgingARC_25_26_27_28_P1,20,discharge,24,-2001.61
B0028,2. BatteryAgingARC_25_26_27_28_P1,21,charge,24,-1986.188
B0028,2. BatteryAgingARC_25_26_27_28_P1,22,charge,24,-2007.86
B0028,2. BatteryAgingARC_25_26_27_28_P1,23,discharge,24,-1959.313
B0028,2. BatteryAgingARC_25_26_27_28_P1,24,charge,24,-1956.86
B0028,2. BatteryAgingARC_25_26_27_28_P1,25,discharge,24,-1951.86
B0028,2. BatteryAgingARC_25_26_27_28_P1,26,charge,24,-1960.985
B0028,2. BatteryAgingARC_25_26_27_28_P1,27,discharge,24,-1993.782
B0028,2. BatteryAgingARC_25_26_27_28_P1,28,impedance,24,-2004.516
