Battery_ID,Dataset_Group,Cycle_Number,Cycle_Type,Ambient_Temperature_C,Cycle_Duration_s
B0025,3. BatteryAgingARC_25-44,1,impedance,24,-1956.891
B0025,3. BatteryAgingARC_25-44,2,charge,24,-1973.907
B0025,3. BatteryAgingARC_25-44,3,impedance,24,-1963.954
B0025,3. BatteryAgingARC_25-44,4,discharge,24,-1980.922
B0025,3. BatteryAgingARC_25-44,5,charge,24,-1985.938
B0025,3. BatteryAgingARC_25-44,6,discharge,24,-1974.422
B0025,3. BatteryAgingARC_25-44,7,charge,24,-1978.344
B0025,3. BatteryAgingARC_25-44,8,discharge,24,-1967.532
B0025,3. BatteryAgingARC_25-44,9,charge,24,-1997.907
B0025,3. BatteryAgingARC_25-44,10,discharge,24,-1985.454
B0025,3. BatteryAgingARC_25-44,11,charge,24,-1973.844
B0025,3. BatteryAgingARC_25-44,12,discharge,24,-1968.329
B0025,3. BatteryAgingARC_25-44,13,impedance,24,-1961.032
B0025,3. BatteryAgingARC_25-44,14,charge,24,-1977.454
B0025,3. BatteryAgingARC_25-44,15,impedance,24,-1999.204
B0025,3. BatteryAgingARC_25-44,16,discharge,24,-1950.844
B0025,3. BatteryAgingARC_25-44,17,impedance,24,-1999.235
B0025,3. BatteryAgingARC_25-44,18,charge,24,-1955.36
B0025,3. BatteryAgingARC_25-44,19,impedance,24,-1985.719
B0025,3. BatteryAgingARC_25-44,20,discharge,24,-2001.61
B0025,3. BatteryAgingARC_25-44,21,charge,24,-1986.188
B0025,3. BatteryAgingARC_25-44,22,charge,24,-2007.86
B0025,3. BatteryAgingARC_25-44,23,discharge,24,-1959.313
B0025,3. BatteryAgingARC_25-44,24,charge,24,-1956.86
B0025,3. BatteryAgingARC_25-44,25,discharge,24,-1951.86
B0025,3. BatteryAgingARC_25-44,26,charge,24,-1960.985
B0025,3. BatteryAgingARC_25-44,27,discharge,24,-1993.782
B0025,3. BatteryAgingARC_25-44,28,impedance,24,-2004.516
B0025,3. BatteryAgingARC_25-44,29,charge,24,-1960.079
B0025,3. BatteryAgingARC_25-44,30,impedance,24,-1949.297
B0025,3. BatteryAgingARC_25-44,31,discharge,24,-1982.172
B0025,3. BatteryAgingARC_25-44,32,impedance,24,-2008.438
B0025,3. BatteryAgingARC_25-44,33,charge,24,-1964.032
B0025,3. BatteryAgingARC_25-44,34,impedance,24,-1967.329
B0025,3. BatteryAgingARC_25-44,35,discharge,24,-1982.86
B0025,3. BatteryAgingARC_25-44,36,charge,24,-1998.032
B0025,3. BatteryAgingARC_25-44,37,discharge,24,-2008.188
B0025,3. BatteryAgingARC_25-44,38,charge,24,-1978.282
B0025,3. BatteryAgingARC_25-44,39,discharge,24,-1951.016
B0025,3. BatteryAgingARC_25-44,40,charge,24,-1990.86
B0025,3. BatteryAgingARC_25-44,41,discharge,24,-2003.938
B0025,3. BatteryAgingARC_25-44,42,charge,24,-2001.75
B0025,3. BatteryAgingARC_25-44,43,discharge,24,-1964.875
B0025,3. BatteryAgingARC_25-44,44,impedance,24,-1976.641
B0025,3. BatteryAgingARC_25-44,45,charge,24,-1991.5
B0025,3. BatteryAgingARC_25-44,46,impedance,24,-1974.829
B0025,3. BatteryAgingARC_25-44,47,discharge,24,-1974.985
B0025,3. BatteryAgingARC_25-44,48,impedance,24,-1967.235
B0025,3. BatteryAgingARC_25-44,49,charge,24,-1981.954
B0025,3. BatteryAgingARC_25-44,50,impedance,24,-2008.829
B0025,3. BatteryAgingARC_25-44,51,discharge,24,-1963.407
B0025,3. BatteryAgingARC_25-44,52,charge,24,-1988.219
B0025,3. BatteryAgingARC_25-44,53,discharge,24,-1969.547
B0025,3. BatteryAgingARC_25-44,54,charge,24,-2005.516
B0025,3. BatteryAgingARC_25-44,55,discharge,24,-2001.704
B0025,3. BatteryAgingARC_25-44,56,charge,24,-1991.016
B0025,3. BatteryAgingARC_25-44,57,discharge,24,-1957.719
B0025,3. BatteryAgingARC_25-44,58,charge,24,-1964.782
B0025,3. BatteryAgingARC_25-44,59,discharge,24,-1962.375
B0025,3. BatteryAgingARC_25-44,60,impedance,24,-1971.422
B0025,3. BatteryAgingARC_25-44,61,charge,24,-1985.454
B0025,3. BatteryAgingARC_25-44,62,impedance,24,-2003.969
B0025,3. BatteryAgingARC_25-44,63,impedance,24,-1955.688
B0025,3. BatteryAgingARC_25-44,64,charge,24,-1969.516
B0025,3. BatteryAgingARC_25-44,65,impedance,24,-1976.141
B0025,3. BatteryAgingARC_25-44,66,discharge,24,-1990.016
B0025,3. BatteryAgingARC_25-44,67,charge,24,-1971.641
B0025,3. BatteryAgingARC_25-44,68,discharge,24,-2007.86
B0025,3. BatteryAgingARC_25-44,69,charge,24,-1973.094
B0025,3. BatteryAgingARC_25-44,70,discharge,24,-1983.954
B0025,3. BatteryAgingARC_25-44,71,charge,24,-1973.969
B0025,3. BatteryAgingARC_25-44,72,discharge,24,-1971.844
B0025,3. BatteryAgingARC_25-44,73,charge,24,-1980.063
B0025,3. BatteryAgingARC_25-44,74,discharge,24,-1959.797
B0025,3. BatteryAgingARC_25-44,75,impedance,24,-1967.141
B0025,3. BatteryAgingARC_25-44,76,charge,24,-1980.641
B0025,3. BatteryAgingARC_25-44,77,impedance,24,-1986.516
B0025,3. BatteryAgingARC_25-44,78,discharge,24,-1954.922
B0025,3. BatteryAgingARC_25-44,79,impedance,24,-1969.5
B0025,3. BatteryAgingARC_25-44,80,charge,24,-1982.282
B0026,3. BatteryAgingARC_25-44,1,impedance,24,-1956.891
B0026,3. BatteryAgingARC_25-44,2,charge,24,-1973.907
B0026,3. BatteryAgingARC_25-44,3,impedance,24,-1963.954
B0026,3. BatteryAgingARC_25-44,4,discharge,24,-1980.922
B0026,3. BatteryAgingARC_25-44,5,charge,24,-1985.938
B0026,3. BatteryAgingARC_25-44,6,discharge,24,-1974.422
B0026,3. BatteryAgingARC_25-44,7,charge,24,-1978.344
B0026,3. BatteryAgingARC_25-44,8,discharge,24,-1967.532
B0026,3. BatteryAgingARC_25-44,9,charge,24,-1997.907
B0026,3. BatteryAgingARC_25-44,10,discharge,24,-1985.454
B0026,3. BatteryAgingARC_25-44,11,charge,24,-1973.844
B0026,3. BatteryAgingARC_25-44,12,discharge,24,-1968.329
B0026,3. BatteryAgingARC_25-44,13,impedance,24,-1961.032
B0026,3. BatteryAgingARC_25-44,14,charge,24,-1977.454
B0026,3. BatteryAgingARC_25-44,15,impedance,24,-1999.204
B0026,3. BatteryAgingARC_25-44,16,discharge,24,-1950.844
B0026,3. BatteryAgingARC_25-44,17,impedance,24,-1999.235
B0026,3. BatteryAgingARC_25-44,18,charge,24,-1955.36
B0026,3. BatteryAgingARC_25-44,19,impedance,24,-1985.719
B0026,3. BatteryAgingARC_25-44,20,discharge,24,-2001.61
B0026,3. BatteryAgingARC_25-44,21,charge,24,-1986.188
B0026,3. BatteryAgingARC_25-44,22,charge,24,-2007.86
B0026,3. BatteryAgingARC_25-44,23,discharge,24,-1959.313
B0026,3. BatteryAgingARC_25-44,24,charge,24,-1956.86
B0026,3. BatteryAgingARC_25-44,25,discharge,24,-1951.86
B0026,3. BatteryAgingARC_25-44,26,charge,24,-1960.985
B0026,3. BatteryAgingARC_25-44,27,discharge,24,-1993.782
B0026,3. BatteryAgingARC_25-44,28,impedance,24,-2004.516
B0026,3. BatteryAgingARC_25-44,29,charge,24,-1960.079
B0026,3. BatteryAgingARC_25-44,30,impedance,24,-1949.297
B0026,3. BatteryAgingARC_25-44,31,discharge,24,-1982.172
B0026,3. BatteryAgingARC_25-44,32,impedance,24,-2008.438
B0026,3. BatteryAgingARC_25-44,33,charge,24,-1964.032
B0026,3. BatteryAgingARC_25-44,34,impedance,24,-1967.329
B0026,3. BatteryAgingARC_25-44,35,discharge,24,-1982.86
B0026,3. BatteryAgingARC_25-44,36,charge,24,-1998.032
B0026,3. BatteryAgingARC_25-44,37,discharge,24,-2008.188
B0026,3. BatteryAgingARC_25-44,38,charge,24,-1978.282
B0026,3. BatteryAgingARC_25-44,39,discharge,24,-1951.016
B0026,3. BatteryAgingARC_25-44,40,charge,24,-1990.86
B0026,3. BatteryAgingARC_25-44,41,discharge,24,-2003.938
B0026,3. BatteryAgingARC_25-44,42,charge,24,-2001.75
B0026,3. BatteryAgingARC_25-44,43,discharge,24,-1964.875
B0026,3. BatteryAgingARC_25-44,44,impedance,24,-1976.641
B0026,3. BatteryAgingARC_25-44,45,charge,24,-1991.5
B0026,3. BatteryAgingARC_25-44,46,impedance,24,-1974.829
B0026,3. BatteryAgingARC_25-44,47,discharge,24,-1974.985
B0026,3. BatteryAgingARC_25-44,48,impedance,24,-1967.235
B0026,3. BatteryAgingARC_25-44,49,charge,24,-1981.954
B0026,3. BatteryAgingARC_25-44,50,impedance,24,-2008.829
B0026,3. BatteryAgingARC_25-44,51,discharge,24,-1963.407
B0026,3. BatteryAgingARC_25-44,52,charge,24,-1988.219
B0026,3. BatteryAgingARC_25-44,53,discharge,24,-1969.547
B0026,3. BatteryAgingARC_25-44,54,charge,24,-2005.516
B0026,3. BatteryAgingARC_25-44,55,discharge,24,-2001.704
B0026,3. BatteryAgingARC_25-44,56,charge,24,-1991.016
B0026,3. BatteryAgingARC_25-44,57,discharge,24,-1957.719
B0026,3. BatteryAgingARC_25-44,58,charge,24,-1964.782
B0026,3. BatteryAgingARC_25-44,59,discharge,24,-1962.375
B0026,3. BatteryAgingARC_25-44,60,impedance,24,-1971.422
B0026,3. BatteryAgingARC_25-44,61,charge,24,-1985.454
B0026,3. BatteryAgingARC_25-44,62,impedance,24,-2003.969
B0026,3. BatteryAgingARC_25-44,63,impedance,24,-1955.688
B0026,3. BatteryAgingARC_25-44,64,charge,24,-1969.516
B0026,3. BatteryAgingARC_25-44,65,impedance,24,-1976.141
B0026,3. BatteryAgingARC_25-44,66,discharge,24,-1990.016
B0026,3. BatteryAgingARC_25-44,67,charge,24,-1971.641
B0026,3. BatteryAgingARC_25-44,68,discharge,24,-2007.86
B0026,3. BatteryAgingARC_25-44,69,charge,24,-1973.094
B0026,3. BatteryAgingARC_25-44,70,discharge,24,-1983.954
B0026,3. BatteryAgingARC_25-44,71,charge,24,-1973.969
B0026,3. BatteryAgingARC_25-44,72,discharge,24,-1971.844
B0026,3. BatteryAgingARC_25-44,73,charge,24,-1980.063
B0026,3. BatteryAgingARC_25-44,74,discharge,24,-1959.797
B0026,3. BatteryAgingARC_25-44,75,impedance,24,-1967.141
B0026,3. BatteryAgingARC_25-44,76,charge,24,-1980.641
B0026,3. BatteryAgingARC_25-44,77,impedance,24,-1986.516
B0026,3. BatteryAgingARC_25-44,78,discharge,24,-1954.922
B0026,3. BatteryAgingARC_25-44,79,impedance,24,-1969.5
B0026,3. BatteryAgingARC_25-44,80,charge,24,-1982.282
B0027,3. BatteryAgingARC_25-44,1,impedance,24,-1956.891
B0027,3. BatteryAgingARC_25-44,2,charge,24,-1973.907
B0027,3. BatteryAgingARC_25-44,3,impedance,24,-1963.954
B0027,3. BatteryAgingARC_25-44,4,discharge,24,-1980.922
B0027,3. BatteryAgingARC_25-44,5,charge,24,-1985.938
B0027,3. BatteryAgingARC_25-44,6,discharge,24,-1974.422
B0027,3. BatteryAgingARC_25-44,7,charge,24,-1978.344
B0027,3. BatteryAgingARC_25-44,8,discharge,24,-1967.532
B0027,3. BatteryAgingARC_25-44,9,charge,24,-1997.907
B0027,3. BatteryAgingARC_25-44,10,discharge,24,-1985.454
B0027,3. BatteryAgingARC_25-44,11,charge,24,-1973.844
B0027,3. BatteryAgingARC_25-44,12,discharge,24,-1968.329
B0027,3. BatteryAgingARC_25-44,13,impedance,24,-1961.032
B0027,3. BatteryAgingARC_25-44,14,charge,24,-1977.454
B0027,3. BatteryAgingARC_25-44,15,impedance,24,-1999.204
B0027,3. BatteryAgingARC_25-44,16,discharge,24,-1950.844
B0027,3. BatteryAgingARC_25-44,17,impedance,24,-1999.235
B0027,3. BatteryAgingARC_25-44,18,charge,24,-1955.36
B0027,3. BatteryAgingARC_25-44,19,impedance,24,-1985.719
B0027,3. BatteryAgingARC_25-44,20,discharge,24,-2001.61
B0027,3. BatteryAgingARC_25-44,21,charge,24,-1986.188
B0027,3. BatteryAgingARC_25-44,22,charge,24,-2007.86
B0027,3. BatteryAgingARC_25-44,23,discharge,24,-1959.313
B0027,3. BatteryAgingARC_25-44,24,charge,24,-1956.86
B0027,3. BatteryAgingARC_25-44,25,discharge,24,-1951.86
B0027,3. BatteryAgingARC_25-44,26,charge,24,-1960.985
