Battery_ID,Dataset_Group,Cycle_Number,Cycle_Type,Ambient_Temperature_C,Cycle_Duration_s
B0034,3. BatteryAgingARC_25-44,1,discharge,24,-1992.985
B0034,3. BatteryAgingARC_25-44,2,impedance,24,-1996.032
B0034,3. BatteryAgingARC_25-44,3,charge,24,-1950.36
B0034,3. BatteryAgingARC_25-44,4,impedance,24,-2001.329
B0034,3. BatteryAgingARC_25-44,5,discharge,24,-1958.391
B0034,3. BatteryAgingARC_25-44,6,charge,24,-1978.157
B0034,3. BatteryAgingARC_25-44,7,discharge,24,-1969.25
B0034,3. BatteryAgingARC_25-44,8,charge,24,-1983.735
B0034,3. BatteryAgingARC_25-44,9,discharge,24,-1970.016
B0034,3. BatteryAgingARC_25-44,10,charge,24,-1985.829
B0034,3. BatteryAgingARC_25-44,11,discharge,24,-1973.844
B0034,3. BatteryAgingARC_25-44,12,charge,24,-2000.016
B0034,3. BatteryAgingARC_25-44,13,discharge,24,-1989.844
B0034,3. BatteryAgingARC_25-44,14,impedance,24,-1966.672
B0034,3. BatteryAgingARC_25-44,15,charge,24,-1983.235
B0034,3. BatteryAgingARC_25-44,16,impedance,24,-1970.297
B0034,3. BatteryAgingARC_25-44,17,discharge,24,-1986.719
B0034,3. BatteryAgingARC_25-44,18,charge,24,-1971.235
B0034,3. BatteryAgingARC_25-44,19,discharge,24,-1959.016
B0034,3. BatteryAgingARC_25-44,20,charge,24,-2002.579
B0034,3. BatteryAgingARC_25-44,21,discharge,24,-1988.922
B0034,3. BatteryAgingARC_25-44,22,charge,24,-1971.579
B0034,3. BatteryAgingARC_25-44,23,discharge,24,-1959.157
B0034,3. BatteryAgingARC_25-44,24,charge,24,-2007.375
B0034,3. BatteryAgingARC_25-44,25,discharge,24,-1993.954
B0034,3. BatteryAgingARC_25-44,26,impedance,24,-1986.141
B0034,3. BatteryAgingARC_25-44,27,charge,24,-2001.954
B0034,3. BatteryAgingARC_25-44,28,impedance,24,-1987.547
B0034,3. BatteryAgingARC_25-44,29,discharge,24,-2003.204
B0034,3. BatteryAgingARC_25-44,30,charge,24,-1996.688
B0034,3. BatteryAgingARC_25-44,31,discharge,24,-1984.532
B0034,3. BatteryAgingARC_25-44,32,charge,24,-1980.094
B0034,3. BatteryAgingARC_25-44,33,discharge,24,-1965.391
B0034,3. BatteryAgingARC_25-44,34,charge,24,-1966.422
B0034,3. BatteryAgingARC_25-44,35,discharge,24,-1951.782
B0034,3. BatteryAgingARC_25-44,36,charge,24,-1957.25
B0034,3. BatteryAgingARC_25-44,37,discharge,24,-2002.766
B0034,3. BatteryAgingARC_25-44,38,impedance,24,-2004.079
B0034,3. BatteryAgingARC_25-44,39,charge,24,-1959.282
B0034,3. BatteryAgingARC_25-44,40,impedance,24,-2005.516
B0034,3. BatteryAgingARC_25-44,41,discharge,24,-1960.641
B0034,3. BatteryAgingARC_25-44,42,charge,24,-1952.391
B0034,3. BatteryAgingARC_25-44,43,discharge,24,-1995.719
B0034,3. BatteryAgingARC_25-44,44,charge,24,-1978.157
B0034,3. BatteryAgingARC_25-44,45,discharge,24,-1962.938
B0034,3. BatteryAgingARC_25-44,46,charge,24,-1961.204
B0034,3. BatteryAgingARC_25-44,47,discharge,24,-2005.625
B0034,3. BatteryAgingARC_25-44,48,charge,24,-1958.485
B0034,3. BatteryAgingARC_25-44,49,discharge,24,-2004.516
B0034,3. BatteryAgingARC_25-44,50,impedance,24,-1966.204
B0034,3. BatteryAgingARC_25-44,51,charge,24,-1980.907
B0034,3. BatteryAgingARC_25-44,52,impedance,24,-1991.454
B0034,3. BatteryAgingARC_25-44,53,discharge,24,-1974.032
B0034,3. BatteryAgingARC_25-44,54,impedance,24,-1964.704
B0034,3. BatteryAgingARC_25-44,55,charge,24,-1979.375
B0034,3. BatteryAgingARC_25-44,56,impedance,24,-1970.235
B0034,3. BatteryAgingARC_25-44,57,discharge,24,-1984.735
B0034,3. BatteryAgingARC_25-44,58,charge,24,-2007.469
B0034,3. BatteryAgingARC_25-44,59,discharge,24,-1979.547
B0034,3. BatteryAgingARC_25-44,60,charge,24,-1949.782
B0034,3. BatteryAgingARC_25-44,61,discharge,24,-1992.782
B0034,3. BatteryAgingARC_25-44,62,charge,24,-1973.016
