Battery_ID,Dataset_Group,Cycle_Number,Cycle_Type,Ambient_Temperature_C,Cycle_Duration_s
B0048,4. BatteryAgingARC_45_46_47_48,1,discharge,4,-1974.907
B0048,4. BatteryAgingARC_45_46_47_48,2,impedance,24,-1964.032
B0048,4. BatteryAgingARC_45_46_47_48,3,charge,4,-1969.329
B0048,4. BatteryAgingARC_45_46_47_48,4,impedance,24,63531.0
B0048,4. BatteryAgingARC_45_46_47_48,5,discharge,4,-1953.016
B0048,4. BatteryAgingARC_45_46_47_48,6,charge,4,-1966.516
B0048,4. BatteryAgingARC_45_46_47_48,7,discharge,4,-2003.782
B0048,4. BatteryAgingARC_45_46_47_48,8,charge,4,-1956.782
B0048,4. BatteryAgingARC_45_46_47_48,9,discharge,4,-1988.219
B0048,4. BatteryAgingARC_45_46_47_48,10,charge,4,-1988.375
B0048,4. BatteryAgingARC_45_46_47_48,11,discharge,4,-1961.797
B0048,4. BatteryAgingARC_45_46_47_48,12,charge,4,-2006.344
B0048,4. BatteryAgingARC_45_46_47_48,13,discharge,4,-1980.641
B0048,4. BatteryAgingARC_45_46_47_48,14,impedance,24,-2002.938
B0048,4. BatteryAgingARC_45_46_47_48,15,charge,4,-1950.688
B0048,4. BatteryAgingARC_45_46_47_48,16,impedance,24,-1984.5
B0048,4. BatteryAgingARC_45_46_47_48,17,discharge,4,-2001.282
B0048,4. BatteryAgingARC_45_46_47_48,18,impedance,24,-1973.125
B0048,4. BatteryAgingARC_45_46_47_48,19,charge,4,-1980.75
B0048,4. BatteryAgingARC_45_46_47_48,20,impedance,24,-1950.782
B0048,4. BatteryAgingARC_45_46_47_48,21,discharge,4,-1958.329
B0048,4. BatteryAgingARC_45_46_47_48,22,charge,4,-1973.375
B0048,4. BatteryAgingARC_45_46_47_48,23,discharge,4,-2007.641
B0048,4. BatteryAgingARC_45_46_47_48,24,charge,4,-1959.422
B0048,4. BatteryAgingARC_45_46_47_48,25,discharge,4,-1995.375
B0048,4. BatteryAgingARC_45_46_47_48,26,charge,4,-1988.547
B0048,4. BatteryAgingARC_45_46_47_48,27,discharge,4,-1963.547
B0048,4. BatteryAgingARC_45_46_47_48,28,charge,4,-1998.954
B0048,4. BatteryAgingARC_45_46_47_48,29,discharge,4,63565.0
B0048,4. BatteryAgingARC_45_46_47_48,30,impedance,24,-1974.344
B0048,4. BatteryAgingARC_45_46_47_48,31,charge,4,-1981.61
B0048,4. BatteryAgingARC_45_46_47_48,32,impedance,24,-1955.985
B0048,4. BatteryAgingARC_45_46_47_48,33,discharge,4,-2004.282
