Cell_ID,Cycle,Phase,t_mean,t_min,t_max,v_mean,v_min,v_max,q_mean,q_min,q_max,Capacity_Charge_Ah,T_mean,T_min,T_max,Capacity_Discharge_Ah
1,0,Charge,735954.8792722373,735954.8589655256,735954.8995751016,3.8196639273219373,2.7192132,4.1999769,362.1016452428297,-4.882955593532986e-05,724.1208914093187,724.1208914093187,40.0495192045584,39.314987,41.295536,
1,0,Discharge,735954.8380994218,735954.8172255817,735954.858965514,3.7350762212583146,2.6998193,4.1912351,-369.627798413657,-739.1109210621779,0.0,,40.41933992433481,39.901646,41.174809,739.1109210621779
1,100,Charge,735962.0445086501,735962.0244681676,735962.064541033,3.8217150832852194,2.7196143,4.200017,357.35760170090884,-4.878358289930556e-05,714.5350426825697,714.5350426825697,39.99398311893764,39.277512,40.980995,
1,100,Discharge,735962.0038484065,735961.9832234333,735962.024468156,3.7356805096774193,2.6998594,4.1926785,-365.17308595730447,-730.1929494056872,0.0,,40.32711510434782,39.801758,41.124866,730.1929494056872
1,200,Charge,735969.198018712,735969.1781113335,735969.2179247488,3.822390976983435,2.7197745,4.1998968,354.94137845962314,-4.881893242730035e-05,709.8543464961379,709.8543464961379,39.99257669892472,39.265045,41.243099,
1,200,Discharge,735969.1576177628,735969.1371143227,735969.178111322,3.7364243172121894,2.7000198,4.1929593,-362.98137358871566,-725.7467375962049,0.0,,40.327297584650104,39.814266,41.1124,725.7467375962049
1,300,Charge,735977.8521211738,735977.8322947874,735977.8719398933,3.8228929454916836,2.7206407,4.1998005,353.57234136072844,-4.88914320203993e-05,707.0393485194566,707.0393485194566,40.00688269536037,39.290016,40.928558,
1,300,Discharge,735977.8118831549,735977.7914607045,735977.8322947759,3.736473817903683,2.6999636,4.192502,-361.5061763370655,-722.8431973239306,0.0,,40.32204489546742,39.789291,41.124866,722.8431973239306
1,400,Charge,735984.9879427637,735984.9682495026,735985.0076296882,3.8238350960340775,2.7208812,4.1998806,351.18338317082043,-4.881717936197917e-05,702.2342863457235,702.2342863457235,39.98891699559342,39.252537,40.862762,
1,400,Discharge,735984.9479613904,735984.9276720637,735984.968249491,3.7376955802965495,2.7001641,4.1927824,-359.21036095040944,-718.3668958430143,0.0,,40.314725823210715,39.789291,41.124866,718.3668958430143
1,500,Charge,735992.1155363065,735992.0959356428,735992.1351277673,3.824572174704841,2.7208812,4.2000809,349.5219242874228,-4.884369913736979e-05,698.8440013150872,698.8440013150872,40.01196160979929,39.290016,41.085831,
1,500,Discharge,735992.0757421594,735992.0555454298,735992.0959356313,3.7380264149813804,2.6998432,4.1929832,-357.54672081062785,-714.9787006955092,0.0,,40.334303672300194,39.801758,41.124866,714.9787006955092
1,600,Charge,735999.2353212349,735999.2158189482,735999.2548229387,3.825224843785227,2.7218437,4.1999207,347.75508006627,-4.882955254448784e-05,695.4850715278354,695.4850715278354,39.98032709314742,39.265045,40.862762,
1,600,Discharge,735999.1957158886,735999.175611751,735999.2158189366,3.738322718618705,2.6999636,4.1929431,-355.84141955913253,-711.6204053941345,0.0,,40.30517850503597,39.776787,41.087425,711.6204053941345
1,700,Charge,736006.8507505291,736006.8312887249,736006.8702082892,3.8258850745541024,2.7357342,4.1999211,345.8764072456514,-4.109050835503472e-05,691.6932258285015,691.6932258285015,40.056580958085604,39.302483,40.950142,
1,700,Discharge,736006.8113043996,736006.7913159754,736006.8312881392,3.738288945151954,2.7002044,4.1923819,-354.80051000999725,-709.5321170323996,0.0,,40.36040864196815,39.814266,41.174809,709.5321170323996
1,800,Charge,736013.9625914593,736013.9432396343,736013.9819323416,3.8268265181763828,2.7356942,4.2000413,343.91197440160846,-4.108095296223958e-05,687.6300422440017,687.6300422440017,40.067159624514204,39.33992,40.925171,
1,800,Discharge,736013.92335925,736013.9034750162,736013.9432390486,3.7388838780622637,2.7002444,4.1927028,-352.9703556018743,-705.8480111354505,0.0,,40.378438329938895,39.801758,41.174809,705.8480111354505
1,900,Charge,736021.0674795451,736021.0482261016,736021.0867291691,3.8276306110576925,2.7358947,4.1999612,342.1595207221225,-4.108625962999132e-05,684.2488065128581,684.2488065128581,40.05644902433893,39.314987,41.025017,
1,900,Discharge,736021.02843752,736021.0086458827,736021.0482255159,3.7392403858520904,2.700084,4.1927428,-351.3161534435464,-702.5449768529222,0.0,,40.38455092692195,39.8517,41.212246,702.5449768529222
1,1000,Charge,736028.1652463295,736028.146079693,736028.1844036636,3.8285608102626014,2.7356141,4.2000413,340.613127510386,-4.108484225802952e-05,681.0607272448832,681.0607272448832,40.01495668548144,39.265045,40.912663,
1,1000,Discharge,736028.126378051,736028.1066732192,736028.1460791074,3.7395246271285965,2.6999238,4.1925821,-349.75021213148625,-699.4156477527364,0.0,,40.36335875513799,39.839233,41.174809,699.4156477527364
1,1100,Charge,736035.2562110092,736035.23713679,736035.2752805902,3.8293278321807707,2.7352931,4.1998005,338.9639877721492,-4.108484225802952e-05,677.8486336050008,677.8486336050008,40.08509525720353,39.352425,40.975075,
1,1100,Discharge,736035.217524834,736035.1979066295,736035.2371362044,3.739851762518431,2.6998034,4.192502,-348.2056294764755,-696.2835912151658,0.0,,40.43320337776467,39.876675,41.262188,696.2835912151658
1,1200,Charge,736042.3400080737,736042.3210206612,736042.3589888443,3.830241729341865,2.7354937,4.2000012,337.42072185697106,-4.108165825737847e-05,674.7281887527703,674.7281887527703,40.03864881962219,39.277512,40.937637,
1,1200,Discharge,736042.3014912048,736042.2819598053,736042.3210200755,3.7402309427428913,2.6999238,4.192462,-346.6551949649976,-693.2672854322545,0.0,,40.393250269845964,39.8517,41.212246,693.2672854322545
1,1300,Charge,736049.4174568382,736049.3985562335,736049.4363461306,3.8311476430364246,2.7352931,4.1998005,335.8746478466487,-4.108873494466146e-05,671.556081370731,671.556081370731,40.03969419038874,39.252537,40.950142,
1,1300,Discharge,736049.3791095595,736049.3596591798,736049.3985556479,3.7403440400654375,2.7000439,4.1925821,-345.21966991704335,-690.3687943593548,0.0,,40.39081635336109,39.876675,41.187275,690.3687943593548
1,1400,Charge,736056.4884176448,736056.4696037564,736056.5072313272,3.8318657222632226,2.7356141,4.1999211,334.3324362441008,-4.108838568793403e-05,668.6709791990864,668.6709791990864,40.03972485824108,39.265045,40.950142,
1,1400,Discharge,736056.4502363543,736056.4308611187,736056.4696031709,3.7404744912809793,2.6999638,4.1921811,-343.8807041597712,-687.6192406848993,0.0,,40.383829926246634,39.864166,41.19978,687.6192406848993
1,1600,Charge,736071.6089089626,736071.5902573429,736071.6275592151,3.8339204090570718,2.7353272,4.199955,331.493403970874,-4.108520168728299e-05,662.9724287937147,662.9724287937147,0.5204076670006204,0.51920921,0.52182555,
1,1600,Discharge,736071.5710521594,736071.5518449845,736071.5902567572,3.7412893832530125,2.700078,4.1921754,-340.93046387980314,-681.8263154580586,0.0,,0.5208844480873495,0.52003038,0.52218843,681.8263154580586
1,1800,Charge,736088.8091829445,736088.7907107249,736088.8276477314,3.835711237049796,2.7356079,4.1997943,328.2922153845327,-4.108520168728299e-05,656.4621886431951,656.4621886431951,40.10816655590354,39.33992,41.074959,
1,1800,Discharge,736088.7716744625,736088.7526351119,736088.7907101392,3.7415144606502584,2.6999977,4.1914935,-337.97065989302115,-675.8871270316637,0.0,,40.42639107323001,39.876675,41.312096,675.8871270316637
1,1900,Charge,736096.5843369223,736096.5659572943,736096.6027119606,3.83696198586717,2.7360675,4.2000537,326.6727181174989,-4.108236694335937e-05,653.2751603988444,653.2751603988444,40.06495981397544,39.290016,41.000046,
1,1900,Discharge,736096.547007002,736096.5280544568,736096.5659567087,3.741878111050061,2.7002168,4.1912713,-336.3907161652699,-672.743285643124,0.0,,40.36162140628815,39.776787,41.262188,672.743285643124
1,2000,Charge,736104.5837937125,736104.5655008915,736104.6020777059,3.838057771568627,2.7360075,4.1998734,325.13132895679615,-4.108271959092882e-05,650.1157422984008,650.1157422984008,39.97233172517394,39.165195,40.900196,
1,2000,Discharge,736104.5466370444,736104.5277655193,736104.565500306,3.74182866385653,2.7001567,4.191412,-334.9337795500586,-669.7317983178508,0.0,,40.2979442066217,39.714378,41.174809,669.7317983178508
1,2100,Charge,736111.6261409033,736111.6079349079,736111.6443444537,3.8381789760406733,2.7360075,4.1997528,323.5687385343623,-4.108661227756076e-05,647.1105116933119,647.1105116933119,40.03728062662853,39.215103,40.975075,
1,2100,Discharge,736111.5891349046,736111.570332845,736111.6079343222,3.742031670153846,2.7000365,4.1919732,-333.7271226637927,-667.4184829442038,0.0,,40.36416039661538,39.789291,41.212246,667.4184829442038
1,2200,Charge,736119.7081546031,736119.6900353916,736119.7262703611,3.8396081666347377,2.7361572,4.1999426,322.05323998401207,-4.108130560980902e-05,644.0549444561768,644.0549444561768,40.06441716091954,39.277512,41.000046,
1,2200,Discharge,736119.6713361894,736119.6526267022,736119.6900348059,3.742237545485467,2.700186,4.1909199,-332.0671268985415,-663.9526202195469,0.0,,40.378259337662335,39.801758,41.249683,663.9526202195469
1,2300,Charge,736126.7420284322,736126.7239960503,736126.7600500502,3.8398495834777027,2.7361972,4.2000628,320.4857514713956,-4.108696492513021e-05,640.7948747304991,640.7948747304991,40.09430532050048,39.302483,41.037483,
1,2300,Discharge,736126.7053657337,736126.6867314986,736126.7239954646,3.742374365259236,2.700146,4.1914811,-330.75449022978114,-661.4396086354981,0.0,,40.42450364638311,39.826733,41.299629,661.4396086354981
1,2400,Charge,736134.6934211594,736134.6754697711,736134.7113711642,3.8412064006445377,2.7362452,4.1999502,319.07668302196595,-4.108271959092882e-05,638.1391374235501,638.1391374235501,40.130066288752815,39.302483,41.087425,
1,2400,Discharge,736134.6569313076,736134.6383838572,736134.6754691855,3.742677382189645,2.6999531,4.1907272,-329.195309975928,-658.2324497447104,0.0,,40.45575250062383,39.8517,41.362038,658.2324497447104
1,2500,Charge,736141.7185805218,736141.7007043874,736141.7364527696,3.8411953491585757,2.7364054,4.1999907,317.71613318388216,-4.108979966905381e-05,635.3790871886936,635.3790871886936,40.14874498996763,39.352425,41.137371,
1,2500,Discharge,736141.6822194175,736141.6637298585,736141.7007038017,3.742594369680851,2.7001135,4.1912084,-328.1915732078609,-656.3019662937012,0.0,,40.48525785951189,39.914112,41.337067,656.3019662937012
1,2600,Charge,736151.8857896759,736151.8680003245,736151.903577956,3.8433655382113825,2.7367306,4.1999946,316.1988757315243,-4.108555094401041e-05,632.3887851445143,632.3887851445143,40.1842992504065,39.377399,41.174809,
1,2600,Discharge,736151.8496140728,736151.8312228712,736151.8679997388,3.7433234485372755,2.7001178,4.1903305,-326.4335509948707,-652.7810452742547,0.0,,40.51860900062913,39.939083,41.411942,652.7810452742547
1,2700,Charge,736158.9019574297,736158.8842317597,736158.9196746909,3.842747973531332,2.7365701,4.1999545,315.0461474579113,-4.108271959092882e-05,629.9572173218418,629.9572173218418,40.14660482898172,39.33992,41.087425,
1,2700,Discharge,736158.8658903068,736158.8475396378,736158.884231174,3.7426688089848676,2.6999974,4.1911726,-325.7197507893548,-651.274269703515,0.0,,40.477341894073135,39.889141,41.312096,651.274269703515
1,2800,Charge,736165.9202436471,736165.902593211,736165.9378888411,3.843359376302851,2.7367306,4.1999145,313.7106213918109,-4.108165825737847e-05,627.3439847566834,627.3439847566834,40.16893909242871,39.377399,41.137371,
1,2800,Discharge,736165.884319068,736165.8660378467,736165.9025926255,3.7428102753481007,2.6998773,4.1908917,-324.48857916246357,-648.8501025188361,0.0,,40.51885063259493,39.926579,41.374504,648.8501025188361
1,2900,Charge,736177.8415372258,736177.8239793568,736177.8590914188,3.846021641219111,2.7375326,4.2001953,312.08236584484024,-4.108059692382813e-05,624.1095617381898,624.1095617381898,40.11547255222405,39.314987,41.087425,
1,2900,Discharge,736177.8058087988,736177.787637503,736177.8239787711,3.743819211461318,2.6999574,4.1902499,-322.51742832061433,-645.0218397585212,0.0,,40.43651746259153,39.826733,41.3246,645.0218397585212
1,3000,Charge,736184.8439484647,736184.8264369131,736184.8614571088,3.844764192566898,2.7369711,4.1997943,311.2422822759126,-4.108520168728299e-05,622.448908879052,622.448908879052,40.22889601255368,39.452274,41.224712,
1,3000,Discharge,736184.8082943339,736184.7901462098,736184.8264363274,3.7435152985655082,2.6999574,4.1908517,-322.1334555993292,-644.1689847636143,0.0,,40.57025249569653,39.964054,41.424446,644.1689847636143
1,3100,Charge,736191.8497195014,736191.8322773982,736191.8671575544,3.845269707860697,2.7370512,4.1999145,310.01728349468505,-4.108449300130208e-05,619.9778349196439,619.9778349196439,40.17080623814262,39.377399,41.187275,
1,3100,Discharge,736191.8141918182,736191.796101568,736191.8322768126,3.74304625001599,2.6999574,4.1905308,-321.08409287600927,-642.0891597582703,0.0,,40.50840361752478,39.901646,41.411942,642.0891597582703
1,3200,Charge,736200.8315543941,736200.8141874981,736200.848915919,3.8475438042638244,2.7374926,4.1997542,308.69464333993886,-4.108095296223958e-05,617.3031788485108,617.3031788485108,40.16859179780146,39.33992,41.162304,
1,3200,Discharge,736200.7961959961,736200.7781983133,736200.8141869124,3.743688392928319,2.6999974,4.1899695,-319.4407329942415,-638.7729233128966,0.0,,40.50111671777564,39.876675,41.374504,638.7729233128966
1,3300,Charge,736207.8212491332,736207.8039343433,736207.8385529862,3.8464698567323756,2.7379737,4.1998744,307.76246626817186,-4.108590359157987e-05,615.3476618618469,615.3476618618469,40.12707675275643,39.327454,41.1124,
