Country,Country_Code,Year,Value,Indicator_Code,Indicator_Name
Argentina,ARG,2024,638365455340.04,NY.GDP.MKTP.CD,GDP_Current_USD
Argentina,ARG,2023,649461687959.174,NY.GDP.MKTP.CD,GDP_Current_USD
Argentina,ARG,2022,633993756301.08,NY.GDP.MKTP.CD,GDP_Current_USD
Argentina,ARG,2021,486564085480.036,NY.GDP.MKTP.CD,GDP_Current_USD
Argentina,ARG,2020,385740508436.965,NY.GDP.MKTP.CD,GDP_Current_USD
Argentina,ARG,2019,447754683615.225,NY.GDP.MKTP.CD,GDP_Current_USD
Argentina,ARG,2018,524819892360.176,NY.GDP.MKTP.CD,GDP_Current_USD
Argentina,ARG,2017,643628393281.364,NY.GDP.MKTP.CD,GDP_Current_USD
Argentina,ARG,2016,557532320662.955,NY.GDP.MKTP.CD,GDP_Current_USD
Argentina,ARG,2015,594749285413.212,NY.GDP.MKTP.CD,GDP_Current_USD
Argentina,ARG,2014,526319673731.638,NY.GDP.MKTP.CD,GDP_Current_USD
Argentina,ARG,2013,552025140252.246,NY.GDP.MKTP.CD,GDP_Current_USD
Argentina,ARG,2012,545982375701.128,NY.GDP.MKTP.CD,GDP_Current_USD
Argentina,ARG,2011,530158122010.442,NY.GDP.MKTP.CD,GDP_Current_USD
Argentina,ARG,2010,423627422092.49,NY.GDP.MKTP.CD,GDP_Current_USD
Argentina,ARG,2009,332976484577.619,NY.GDP.MKTP.CD,GDP_Current_USD
Argentina,ARG,2008,361558037110.419,NY.GDP.MKTP.CD,GDP_Current_USD
Argentina,ARG,2007,287530508430.568,NY.GDP.MKTP.CD,GDP_Current_USD
Argentina,ARG,2006,232557260817.308,NY.GDP.MKTP.CD,GDP_Current_USD
Argentina,ARG,2005,198737095012.282,NY.GDP.MKTP.CD,GDP_Current_USD
Argentina,ARG,2004,164657930452.787,NY.GDP.MKTP.CD,GDP_Current_USD
Argentina,ARG,2003,127586973492.177,NY.GDP.MKTP.CD,GDP_Current_USD
Argentina,ARG,2002,97724004251.8602,NY.GDP.MKTP.CD,GDP_Current_USD
Argentina,ARG,2001,268696750000.0,NY.GDP.MKTP.CD,GDP_Current_USD
Argentina,ARG,2000,284203750000.0,NY.GDP.MKTP.CD,GDP_Current_USD
Australia,AUS,2024,1757022451652.83,NY.GDP.MKTP.CD,GDP_Current_USD
Australia,AUS,2023,1734451264655.6,NY.GDP.MKTP.CD,GDP_Current_USD
Australia,AUS,2022,1695627535475.8,NY.GDP.MKTP.CD,GDP_Current_USD
Australia,AUS,2021,1560617493202.69,NY.GDP.MKTP.CD,GDP_Current_USD
Australia,AUS,2020,1333336461648.09,NY.GDP.MKTP.CD,GDP_Current_USD
Australia,AUS,2019,1398349602956.35,NY.GDP.MKTP.CD,GDP_Current_USD
Australia,AUS,2018,1433144978761.67,NY.GDP.MKTP.CD,GDP_Current_USD
Australia,AUS,2017,1330890554614.09,NY.GDP.MKTP.CD,GDP_Current_USD
Australia,AUS,2016,1211588128417.61,NY.GDP.MKTP.CD,GDP_Current_USD
Australia,AUS,2015,1356805839935.9,NY.GDP.MKTP.CD,GDP_Current_USD
Australia,AUS,2014,1474677007565.64,NY.GDP.MKTP.CD,GDP_Current_USD
Australia,AUS,2013,1583737461925.39,NY.GDP.MKTP.CD,GDP_Current_USD
Australia,AUS,2012,1552728401401.58,NY.GDP.MKTP.CD,GDP_Current_USD
Australia,AUS,2011,1402939868653.4,NY.GDP.MKTP.CD,GDP_Current_USD
Australia,AUS,2010,1152566632022.13,NY.GDP.MKTP.CD,GDP_Current_USD
Australia,AUS,2009,931761689770.843,NY.GDP.MKTP.CD,GDP_Current_USD
Australia,AUS,2008,1058448244063.77,NY.GDP.MKTP.CD,GDP_Current_USD
Australia,AUS,2007,856603595823.192,NY.GDP.MKTP.CD,GDP_Current_USD
Australia,AUS,2006,749708370332.989,NY.GDP.MKTP.CD,GDP_Current_USD
Australia,AUS,2005,696811489612.816,NY.GDP.MKTP.CD,GDP_Current_USD
Australia,AUS,2004,615643050220.515,NY.GDP.MKTP.CD,GDP_Current_USD
Australia,AUS,2003,468517181129.878,NY.GDP.MKTP.CD,GDP_Current_USD
Australia,AUS,2002,396436967262.563,NY.GDP.MKTP.CD,GDP_Current_USD
Australia,AUS,2001,380360222861.197,NY.GDP.MKTP.CD,GDP_Current_USD
Australia,AUS,2000,416901962163.479,NY.GDP.MKTP.CD,GDP_Current_USD
Brazil,BRA,2024,2185821648943.86,NY.GDP.MKTP.CD,GDP_Current_USD
Brazil,BRA,2023,2191131869706.02,NY.GDP.MKTP.CD,GDP_Current_USD
Brazil,BRA,2022,1951923832083.87,NY.GDP.MKTP.CD,GDP_Current_USD
Brazil,BRA,2021,1670647464062.96,NY.GDP.MKTP.CD,GDP_Current_USD
Brazil,BRA,2020,1476107292151.95,NY.GDP.MKTP.CD,GDP_Current_USD
Brazil,BRA,2019,1873288158838.63,NY.GDP.MKTP.CD,GDP_Current_USD
