Country,Country_Code,Year,Value,Indicator_Code,Indicator_Name
Africa Eastern and Southern,AFE,2024,,EG.ELC.COAL.ZS,Electricity_from_Coal_Pct
Africa Eastern and Southern,AFE,2023,,EG.ELC.COAL.ZS,Electricity_from_Coal_Pct
Africa Eastern and Southern,AFE,2022,53.4529603278001,EG.ELC.COAL.ZS,Electricity_from_Coal_Pct
Africa Eastern and Southern,AFE,2021,54.663797315006,EG.ELC.COAL.ZS,Electricity_from_Coal_Pct
Africa Eastern and Southern,AFE,2020,56.7217625634378,EG.ELC.COAL.ZS,Electricity_from_Coal_Pct
Africa Eastern and Southern,AFE,2019,58.600950247604,EG.ELC.COAL.ZS,Electricity_from_Coal_Pct
Africa Eastern and Southern,AFE,2018,60.4857723512065,EG.ELC.COAL.ZS,Electricity_from_Coal_Pct
Africa Eastern and Southern,AFE,2017,61.9084201951037,EG.ELC.COAL.ZS,Electricity_from_Coal_Pct
Africa Eastern and Southern,AFE,2016,62.9383657748087,EG.ELC.COAL.ZS,Electricity_from_Coal_Pct
Africa Eastern and Southern,AFE,2015,63.2809249234447,EG.ELC.COAL.ZS,Electricity_from_Coal_Pct
Africa Eastern and Southern,AFE,2014,64.8537272385107,EG.ELC.COAL.ZS,Electricity_from_Coal_Pct
Africa Eastern and Southern,AFE,2013,67.0329820144896,EG.ELC.COAL.ZS,Electricity_from_Coal_Pct
Africa Eastern and Southern,AFE,2012,68.9941111138173,EG.ELC.COAL.ZS,Electricity_from_Coal_Pct
Africa Eastern and Southern,AFE,2011,70.1040143592549,EG.ELC.COAL.ZS,Electricity_from_Coal_Pct
Africa Eastern and Southern,AFE,2010,71.0067411765811,EG.ELC.COAL.ZS,Electricity_from_Coal_Pct
Africa Western and Central,AFW,2024,,EG.ELC.COAL.ZS,Electricity_from_Coal_Pct
Africa Western and Central,AFW,2023,,EG.ELC.COAL.ZS,Electricity_from_Coal_Pct
Africa Western and Central,AFW,2022,0.731325586910126,EG.ELC.COAL.ZS,Electricity_from_Coal_Pct
Africa Western and Central,AFW,2021,0.534897740563031,EG.ELC.COAL.ZS,Electricity_from_Coal_Pct
Africa Western and Central,AFW,2020,0.34131190544685,EG.ELC.COAL.ZS,Electricity_from_Coal_Pct
Africa Western and Central,AFW,2019,0.978681443845597,EG.ELC.COAL.ZS,Electricity_from_Coal_Pct
Africa Western and Central,AFW,2018,0.720139053458111,EG.ELC.COAL.ZS,Electricity_from_Coal_Pct
Africa Western and Central,AFW,2017,0.574840534261214,EG.ELC.COAL.ZS,Electricity_from_Coal_Pct
Africa Western and Central,AFW,2016,0.586734259491254,EG.ELC.COAL.ZS,Electricity_from_Coal_Pct
Africa Western and Central,AFW,2015,0.452158320282319,EG.ELC.COAL.ZS,Electricity_from_Coal_Pct
Africa Western and Central,AFW,2014,0.310951767667978,EG.ELC.COAL.ZS,Electricity_from_Coal_Pct
Africa Western and Central,AFW,2013,0.309915578208575,EG.ELC.COAL.ZS,Electricity_from_Coal_Pct
Africa Western and Central,AFW,2012,0.361778629081191,EG.ELC.COAL.ZS,Electricity_from_Coal_Pct
Africa Western and Central,AFW,2011,0.393049406772842,EG.ELC.COAL.ZS,Electricity_from_Coal_Pct
Africa Western and Central,AFW,2010,0.329025006063344,EG.ELC.COAL.ZS,Electricity_from_Coal_Pct
Arab World,ARB,2024,,EG.ELC.COAL.ZS,Electricity_from_Coal_Pct
Arab World,ARB,2023,,EG.ELC.COAL.ZS,Electricity_from_Coal_Pct
Arab World,ARB,2022,2.11130324402391,EG.ELC.COAL.ZS,Electricity_from_Coal_Pct
Arab World,ARB,2021,2.31484547599373,EG.ELC.COAL.ZS,Electricity_from_Coal_Pct
