Country,Country_Code,Year,Value,Indicator_Code,Indicator_Name
Australia,AUS,2024,8190032382.0,TX.VAL.TECH.CD,High_Tech_Exports_USD
Australia,AUS,2023,7767880136.0,TX.VAL.TECH.CD,High_Tech_Exports_USD
Australia,AUS,2022,7827261971.0,TX.VAL.TECH.CD,High_Tech_Exports_USD
Australia,AUS,2021,6310404299.0,TX.VAL.TECH.CD,High_Tech_Exports_USD
Australia,AUS,2020,5590752219.0,TX.VAL.TECH.CD,High_Tech_Exports_USD
Australia,AUS,2019,6336480016.0,TX.VAL.TECH.CD,High_Tech_Exports_USD
Australia,AUS,2018,5241784852.0,TX.VAL.TECH.CD,High_Tech_Exports_USD
Australia,AUS,2017,4902492267.0,TX.VAL.TECH.CD,High_Tech_Exports_USD
Australia,AUS,2016,5379738452.0,TX.VAL.TECH.CD,High_Tech_Exports_USD
Australia,AUS,2015,5091394845.0,TX.VAL.TECH.CD,High_Tech_Exports_USD
Australia,AUS,2014,5459155781.0,TX.VAL.TECH.CD,High_Tech_Exports_USD
Australia,AUS,2013,5342736393.0,TX.VAL.TECH.CD,High_Tech_Exports_USD
Australia,AUS,2012,5468098058.0,TX.VAL.TECH.CD,High_Tech_Exports_USD
Australia,AUS,2011,5601419629.0,TX.VAL.TECH.CD,High_Tech_Exports_USD
Australia,AUS,2010,4556153586.0,TX.VAL.TECH.CD,High_Tech_Exports_USD
Canada,CAN,2024,36001612663.0,TX.VAL.TECH.CD,High_Tech_Exports_USD
Canada,CAN,2023,41530542798.0,TX.VAL.TECH.CD,High_Tech_Exports_USD
Canada,CAN,2022,36895712941.0,TX.VAL.TECH.CD,High_Tech_Exports_USD
Canada,CAN,2021,35218428012.0,TX.VAL.TECH.CD,High_Tech_Exports_USD
Canada,CAN,2020,30705829277.0,TX.VAL.TECH.CD,High_Tech_Exports_USD
Canada,CAN,2019,36788635481.0,TX.VAL.TECH.CD,High_Tech_Exports_USD
Canada,CAN,2018,30480481649.0,TX.VAL.TECH.CD,High_Tech_Exports_USD
Canada,CAN,2017,26938349605.0,TX.VAL.TECH.CD,High_Tech_Exports_USD
Canada,CAN,2016,26203266317.0,TX.VAL.TECH.CD,High_Tech_Exports_USD
Canada,CAN,2015,28242770992.0,TX.VAL.TECH.CD,High_Tech_Exports_USD
Canada,CAN,2014,28787810893.0,TX.VAL.TECH.CD,High_Tech_Exports_USD
Canada,CAN,2013,32182263706.0,TX.VAL.TECH.CD,High_Tech_Exports_USD
Canada,CAN,2012,33113402476.0,TX.VAL.TECH.CD,High_Tech_Exports_USD
Canada,CAN,2011,27501347864.0,TX.VAL.TECH.CD,High_Tech_Exports_USD
Canada,CAN,2010,26567981070.0,TX.VAL.TECH.CD,High_Tech_Exports_USD
Chile,CHL,2024,1076634941.0,TX.VAL.TECH.CD,High_Tech_Exports_USD
Chile,CHL,2023,1841775193.0,TX.VAL.TECH.CD,High_Tech_Exports_USD
Chile,CHL,2022,1400540500.0,TX.VAL.TECH.CD,High_Tech_Exports_USD
Chile,CHL,2021,1264185464.0,TX.VAL.TECH.CD,High_Tech_Exports_USD
Chile,CHL,2020,1368060499.0,TX.VAL.TECH.CD,High_Tech_Exports_USD
Chile,CHL,2019,672148298.0,TX.VAL.TECH.CD,High_Tech_Exports_USD
Chile,CHL,2018,667789266.0,TX.VAL.TECH.CD,High_Tech_Exports_USD
Chile,CHL,2017,634869020.0,TX.VAL.TECH.CD,High_Tech_Exports_USD
Chile,CHL,2016,720871030.0,TX.VAL.TECH.CD,High_Tech_Exports_USD
Chile,CHL,2015,580229395.0,TX.VAL.TECH.CD,High_Tech_Exports_USD
Chile,CHL,2014,731680359.0,TX.VAL.TECH.CD,High_Tech_Exports_USD
Chile,CHL,2013,696431125.0,TX.VAL.TECH.CD,High_Tech_Exports_USD
Chile,CHL,2012,578366368.0,TX.VAL.TECH.CD,High_Tech_Exports_USD
Chile,CHL,2011,554621392.0,TX.VAL.TECH.CD,High_Tech_Exports_USD
Chile,CHL,2010,541804285.0,TX.VAL.TECH.CD,High_Tech_Exports_USD
China,CHN,2024,856764726389.0,TX.VAL.TECH.CD,High_Tech_Exports_USD
China,CHN,2023,825045389470.0,TX.VAL.TECH.CD,High_Tech_Exports_USD
China,CHN,2022,924393316669.0,TX.VAL.TECH.CD,High_Tech_Exports_USD
China,CHN,2021,936394581135.0,TX.VAL.TECH.CD,High_Tech_Exports_USD
China,CHN,2020,757483821706.0,TX.VAL.TECH.CD,High_Tech_Exports_USD
China,CHN,2019,715336038300.0,TX.VAL.TECH.CD,High_Tech_Exports_USD
China,CHN,2018,731389331452.0,TX.VAL.TECH.CD,High_Tech_Exports_USD
China,CHN,2017,654254700212.0,TX.VAL.TECH.CD,High_Tech_Exports_USD
China,CHN,2016,594754428555.0,TX.VAL.TECH.CD,High_Tech_Exports_USD
China,CHN,2015,652412308349.0,TX.VAL.TECH.CD,High_Tech_Exports_USD
China,CHN,2014,654030643704.0,TX.VAL.TECH.CD,High_Tech_Exports_USD
China,CHN,2013,656130321776.0,TX.VAL.TECH.CD,High_Tech_Exports_USD
China,CHN,2012,594110243099.0,TX.VAL.TECH.CD,High_Tech_Exports_USD
China,CHN,2011,540460754934.0,TX.VAL.TECH.CD,High_Tech_Exports_USD
China,CHN,2010,474737980237.0,TX.VAL.TECH.CD,High_Tech_Exports_USD
"Congo, Dem. Rep.",COD,2024,,TX.VAL.TECH.CD,High_Tech_Exports_USD
"Congo, Dem. Rep.",COD,2023,9864324.0,TX.VAL.TECH.CD,High_Tech_Exports_USD
"Congo, Dem. Rep.",COD,2022,17597529.0,TX.VAL.TECH.CD,High_Tech_Exports_USD
"Congo, Dem. Rep.",COD,2021,4658514.0,TX.VAL.TECH.CD,High_Tech_Exports_USD
"Congo, Dem. Rep.",COD,2020,17461774.0,TX.VAL.TECH.CD,High_Tech_Exports_USD
"Congo, Dem. Rep.",COD,2019,32092118.0,TX.VAL.TECH.CD,High_Tech_Exports_USD
"Congo, Dem. Rep.",COD,2018,26163468.0,TX.VAL.TECH.CD,High_Tech_Exports_USD
"Congo, Dem. Rep.",COD,2017,9340030.0,TX.VAL.TECH.CD,High_Tech_Exports_USD
"Congo, Dem. Rep.",COD,2016,5559878.0,TX.VAL.TECH.CD,High_Tech_Exports_USD
"Congo, Dem. Rep.",COD,2015,63192320.0,TX.VAL.TECH.CD,High_Tech_Exports_USD
"Congo, Dem. Rep.",COD,2014,,TX.VAL.TECH.CD,High_Tech_Exports_USD
"Congo, Dem. Rep.",COD,2013,,TX.VAL.TECH.CD,High_Tech_Exports_USD
"Congo, Dem. Rep.",COD,2012,,TX.VAL.TECH.CD,High_Tech_Exports_USD
"Congo, Dem. Rep.",COD,2011,,TX.VAL.TECH.CD,High_Tech_Exports_USD
"Congo, Dem. Rep.",COD,2010,,TX.VAL.TECH.CD,High_Tech_Exports_USD
Germany,DEU,2024,246637611895.0,TX.VAL.TECH.CD,High_Tech_Exports_USD
Germany,DEU,2023,260043024452.0,TX.VAL.TECH.CD,High_Tech_Exports_USD
Germany,DEU,2022,245975238590.0,TX.VAL.TECH.CD,High_Tech_Exports_USD
Germany,DEU,2021,211942359477.0,TX.VAL.TECH.CD,High_Tech_Exports_USD
Germany,DEU,2020,182393711293.0,TX.VAL.TECH.CD,High_Tech_Exports_USD
Germany,DEU,2019,208177564289.0,TX.VAL.TECH.CD,High_Tech_Exports_USD
Germany,DEU,2018,209762237943.0,TX.VAL.TECH.CD,High_Tech_Exports_USD
Germany,DEU,2017,195727088512.0,TX.VAL.TECH.CD,High_Tech_Exports_USD
Germany,DEU,2016,205114885619.0,TX.VAL.TECH.CD,High_Tech_Exports_USD
Germany,DEU,2015,199465124309.0,TX.VAL.TECH.CD,High_Tech_Exports_USD
Germany,DEU,2014,215660926664.0,TX.VAL.TECH.CD,High_Tech_Exports_USD
Germany,DEU,2013,209304933980.0,TX.VAL.TECH.CD,High_Tech_Exports_USD
Germany,DEU,2012,202541990943.0,TX.VAL.TECH.CD,High_Tech_Exports_USD
Germany,DEU,2011,202328061352.0,TX.VAL.TECH.CD,High_Tech_Exports_USD
Germany,DEU,2010,179620897366.0,TX.VAL.TECH.CD,High_Tech_Exports_USD
Indonesia,IDN,2024,10407239550.0,TX.VAL.TECH.CD,High_Tech_Exports_USD
Indonesia,IDN,2023,10509333468.0,TX.VAL.TECH.CD,High_Tech_Exports_USD
