variable,unit,description,source,preprocessing
phone_test_id,,手机功耗测试编号（AndroWatts aggregated.csv 的 ID 重命名）,AndroWatts,由 aggregated.csv 的 ID 重命名
battery_state_id,,电池状态ID（由数据集/电芯/老化档位组成）,Mendeley(派生),
battery_dataset,,电池数据集编号（来自 Mendeley：Dataset#3 或 Dataset#5）,Mendeley(派生),
battery_cell,,电芯编号（Cell01/Cell02/Cell03）,Mendeley(派生),
battery_state_label,,老化档位（new/slight/moderate/aged/old/eol）,Mendeley(派生),
battery_sample,,该档位对应的样本序号（从Excel行名Sample #提取）,Mendeley(派生),
Q_full_Ah,Ah,该电池状态下满充容量（取最高电压列对应容量）,Mendeley(派生),
SOH,1,容量健康度=Q_full/Q_full(新电池),Mendeley(派生),SOH=Q_full_Ah/Q_full_Ah(新电池同cell)
Q_eff_C,C,有效电荷量=Q_full_Ah×3600,Mendeley(派生),Q_eff_C=Q_full_Ah×3600
soc0,1,初始SOC=BATTERY__PERCENT/100,派生(AndroWatts),soc0=BATTERY__PERCENT/100
temp_c,°C,平均SOC温度：temp_c=AVG_SOC_TEMP/1000（原字段为毫摄氏度）,派生(AndroWatts),temp_c=AVG_SOC_TEMP/1000
I_obs_A,A,观测放电电流：I_obs_A=BATTERY_DISCHARGE_RATE_UAS×1e-6（由字段名推断尺度，作为电流量级使用）,派生(AndroWatts),I_obs_A=BATTERY_DISCHARGE_RATE_UAS×1e-6
P_total_uW,µW,各组件平均功率合计：sum(*_ENERGY_UW),派生(AndroWatts),sum(所有 *_ENERGY_UW 列)
duration_s_est,s,估计测试时长（秒）：duration_h_est×3600,派生(AndroWatts),duration_h_est=E_total/P_total；duration_s_est=duration_h_est×3600
dSOC_dt_est_per_s,1/s,常流近似下SOC导数：dSOC/dt≈-I_obs_A/Q_eff_C,派生(组合),基于常流近似从 I_obs_A 与 Q_eff_C 推导
t_empty_h_est,h,常流近似下到0电时间（小时）,派生(组合),基于常流近似从 I_obs_A 与 Q_eff_C 推导
ocv_c0,V,OCV(SOC)多项式系数 c0：V≈c0+c1·SOC+…+c5·SOC^5（五次拟合）,Mendeley(派生),在代表样本上拟合 V=poly(SOC) 得到系数
ocv_c1,V,OCV(SOC)多项式系数 c1：V≈c0+c1·SOC+…+c5·SOC^5（五次拟合）,Mendeley(派生),在代表样本上拟合 V=poly(SOC) 得到系数
ocv_c2,V,OCV(SOC)多项式系数 c2：V≈c0+c1·SOC+…+c5·SOC^5（五次拟合）,Mendeley(派生),在代表样本上拟合 V=poly(SOC) 得到系数
ocv_c3,V,OCV(SOC)多项式系数 c3：V≈c0+c1·SOC+…+c5·SOC^5（五次拟合）,Mendeley(派生),在代表样本上拟合 V=poly(SOC) 得到系数
ocv_c4,V,OCV(SOC)多项式系数 c4：V≈c0+c1·SOC+…+c5·SOC^5（五次拟合）,Mendeley(派生),在代表样本上拟合 V=poly(SOC) 得到系数
ocv_c5,V,OCV(SOC)多项式系数 c5：V≈c0+c1·SOC+…+c5·SOC^5（五次拟合）,Mendeley(派生),在代表样本上拟合 V=poly(SOC) 得到系数
RougeMesuré,(0-255?),显示颜色通道测量值（红/绿/蓝，作为显示刺激参数）,AndroWatts,
