user_profile,daily_usage_pattern,avg_power_W,typical_scenarios,recommendation_id,action,tte_gain_hours,tte_gain_pct,priority_rank,practicality_score,ux_cost,implementation_difficulty,data_source,rationale
Light_User,2-4h screen time; Messaging + browsing dominant; Rare gaming; WiFi preferred; Indoor 80%,0.38,S1_Idle(60%) + S2_Browsing(35%) + S5_Video(5%),R5,Enable dark mode (OLED screens),1.05,13.8,1,10.0,very_low,easy,Light_User_Survey_n1500,"Light users: Longest TTE baseline (25h from full). Dark mode: Zero cost, maximum relative gain (13.8% vs. 10.5% avg). OLED screens: 85% penetration in this segment."
Light_User,2-4h screen time; Messaging + browsing dominant; Rare gaming; WiFi preferred; Indoor 80%,0.38,S1_Idle(60%) + S2_Browsing(35%) + S5_Video(5%),R2,Use WiFi instead of 4G/5G when available,0.48,6.3,2,9.5,very_low,easy,Light_User_Survey_n1500,"Light users: Already on WiFi 80% of time. Remaining 20% (outdoor browsing): Switching saves 0.48h. Auto-switch feature: OS-level, no manual intervention."
Light_User,2-4h screen time; Messaging + browsing dominant; Rare gaming; WiFi preferred; Indoor 80%,0.38,S1_Idle(60%) + S2_Browsing(35%) + S5_Video(5%),R7,Disable auto-sync for non-essential apps,0.32,4.2,3,8.3,low,medium,Light_User_Survey_n1500,"Light users: 15-20 background apps (social media, news). Disabling sync for 10 non-critical apps: Saves 20mWh/day cumulative. Setup cost: 5min one-time configuration."
Light_User,2-4h screen time; Messaging + browsing dominant; Rare gaming; WiFi preferred; Indoor 80%,0.38,S1_Idle(60%) + S2_Browsing(35%) + S5_Video(5%),AVOID,Use power saving mode proactively at 30%,N/A,N/A,N/A,N/A,very_high,N/A,Light_User_Survey_n1500,"❌ Not recommended for light users: 35% CPU throttling degrades messaging UX (keyboard lag). Baseline TTE (25h) already exceeds daily needs. Emergency-only usage."
Medium_User,4-6h screen time; Balanced usage; Moderate gaming (1h/day); 50% WiFi / 50% 4G; Mixed indoor/outdoor,0.62,S2_Browsing(40%) + S3_Gaming(20%) + S5_Video(25%) + S4_Navigation(15%),R1,Reduce screen brightness to 50%,1.68,13.5,1,9.8,low,easy,Medium_User_Survey_n2200,"Medium users: Screen time 5h/day → Screen power dominates (38% of total). Brightness reduction: Highest absolute TTE gain (1.68h). Adaptive brightness: Auto-adjusts outdoor, minimal UX loss."
Medium_User,4-6h screen time; Balanced usage; Moderate gaming (1h/day); 50% WiFi / 50% 4G; Mixed indoor/outdoor,0.62,S2_Browsing(40%) + S3_Gaming(20%) + S5_Video(25%) + S4_Navigation(15%),R6,Lower screen refresh rate to 60Hz,0.67,5.4,2,8.7,low,easy,Medium_User_Survey_n2200,"Medium users: Gaming 1h/day on 120Hz displays. Downgrade to 60Hz: -15% screen power during gaming. Trade-off: Casual games (puzzles) unaffected. Competitive FPS: Noticeable lag."
Medium_User,4-6h screen time; Balanced usage; Moderate gaming (1h/day); 50% WiFi / 50% 4G; Mixed indoor/outdoor,0.62,S2_Browsing(40%) + S3_Gaming(20%) + S5_Video(25%) + S4_Navigation(15%),R3,Disable GPS when not navigating,0.48,3.9,3,8.5,low,medium,Medium_User_Survey_n2200,"Medium users: Navigation 1h/day (15% of usage). GPS off remaining 5h: Saves 200mW × 5h = 1000mWh. Background GPS (fitness trackers): Additional 150mW × 24h = 3600mWh daily. Permission management critical."
Medium_User,4-6h screen time; Balanced usage; Moderate gaming (1h/day); 50% WiFi / 50% 4G; Mixed indoor/outdoor,0.62,S2_Browsing(40%) + S3_Gaming(20%) + S5_Video(25%) + S4_Navigation(15%),R5,Enable dark mode (OLED screens),0.95,7.6,4,10.0,very_low,easy,Medium_User_Survey_n2200,"Medium users: Mixed content (40% dark-friendly, 60% photos/videos). Dark mode effectiveness: 7.6% (lower than light users' 13.8% due to video-heavy usage). Still zero-cost win."
Heavy_User,6-10h screen time; Gaming 3h/day; Video streaming 2h/day; Frequent navigation; 30% WiFi / 70% 4G/5G; Outdoor 40%,0.98,S3_Gaming(40%) + S5_Video(25%) + S4_Navigation(20%) + S2_Browsing(15%),R8,Use power saving mode proactively at 30%,2.68,27.3,1,8.8,medium,easy,Heavy_User_Survey_n800,"Heavy users: TTE baseline 9.8h (insufficient for all-day). Power saving mode at 30% SOC: +2.68h extends to 12.5h. Trade-off: Gaming performance -35%, but acceptable when battery critical. Profiles can auto-enable at threshold."
Heavy_User,6-10h screen time; Gaming 3h/day; Video streaming 2h/day; Frequent navigation; 30% WiFi / 70% 4G/5G; Outdoor 40%,0.98,S3_Gaming(40%) + S5_Video(25%) + S4_Navigation(20%) + S2_Browsing(15%),R1,Reduce screen brightness to 50%,1.96,20.0,2,9.8,low,easy,Heavy_User_Survey_n800,"Heavy users: 8h screen-on time. Brightness reduction: Largest absolute gain (1.96h). Outdoor usage (40%): Auto-brightness compensates, but manual override to 70% (vs. 100%) still saves 0.6h."
