图表类型,作用/功能,优点,缺点,适用场景/触发关键词,输入数据要求,出现次数,论文来源示例,模型类别关联
树状图,展示层次聚类结构或决策分支关系,层次结构清晰;聚类距离可视;便于识别分组,数据量大时拥挤;距离度量影响结果,层次聚类/dendrogram/决策树/分类结构/系统分解,距离矩阵/聚类标签/分支节点,11,2200289/2209466/2209812/2212245/2300661/2309229/2316994/2405424/2407093/2424371,决策评估类/机器学习类
地图,地理空间上展示数据分布或传播过程,空间关系直观;地理背景增强真实感;传播路径可追踪,需地理数据;投影影响;边界精度要求高,地理分布/传播模拟/空间扩散/区域分析/蔓延过程,坐标/属性值/时间戳/边界数据,9,2209466/2210307/2216547/2300336/2322687/2424371/2504218/2511565,数值仿真类
误差分析图,展示数值方法误差收敛性和精度,精度评估直观;方法对比清晰;网格无关性验证,需真解或高精度解对比;误差定义需统一,数值验证/方法对比/网格收敛/误差估计/精度分析,网格尺寸/误差值/收敛阶数,6,2210307/2216547/2300661/2400996/2504218/2511565,验证分析类
敏感性分析图,展示参数变化对模型结果的影响程度,关键参数识别;鲁棒性评估;增强可信度,参数多时图表复杂;交互作用难展示,模型验证/参数重要性/不确定性分析/鲁棒性检验,参数范围/响应变量/变化幅度,4,2001334/2300336/2322687/2511565,验证分析类
稳定性图,展示动力系统平衡点或数值方法的稳定性,系统长期行为预测;稳定区域可视;设计指导,非线性系统分析复杂;需特征值计算,平衡点分析/相图/特征值分布/稳定域/Lyapunov分析,平衡点坐标/特征值/稳定区域边界,4,2001334/2322687/2405424/2407093,微分方程类
网格划分图,展示有限元/有限差分的计算网格结构,网格质量可视;离散化验证;几何适应性展示,复杂三维网格难展示;需专业软件,有限元分析/CFD/结构分析/网格质量/离散化,节点坐标/单元连接/单元类型/边界标记,3,2303950/2424371/2511565,数值仿真类
散点图,展示两变量之间的关系分布和相关性,相关性直观;异常值识别;分布形态可见,点过多时重叠;仅展示二维关系,相关性分析/回归拟合/异常检测/数据探索,变量X/变量Y/分组标签,2,2001334/2511565,统计分析类
浓度分布图,展示物质浓度在空间域的分布状态,扩散过程可视;浓度梯度直观;时空演化展示,需数值模拟结果;颜色映射影响判断,扩散模拟/传质过程/污染物分布/化学反应/浓度场,空间坐标/浓度值/时间步/边界条件,2,2316994/2322687,物理模型类
残差图,展示模型预测值与实际值的偏差分布,模型诊断直观;假设检验支撑;系统误差识别,残差模式需专业判断;标准化方式影响,模型诊断/残差分析/预测验证/误差分布/拟合质量,预测值/实际值/残差序列/标准化残差,1,2001334,验证分析类
收敛曲线,展示迭代算法的收敛过程和速度,收敛速度直观;终止条件验证;算法效率对比,需足够迭代次数;波动可能误导,数值方法/优化算法/迭代求解/收敛性验证/算法对比,迭代次数/目标函数值/误差/收敛率,1,2001334,优化算法类
温度场图,展示温度在空间域的分布状态,热分布直观;热点识别;设计指导;传热验证,需热分析结果;颜色映射影响判断;边界条件敏感,传热问题/热设计/温度分布/热传导/CFD热分析,空间坐标/温度值/热流密度/边界温度,1,2001334,物理模型类
柱状图,对比不同类别或时间点的数值大小,类别对比清晰;数值差异直观;趋势展示,类别过多时拥挤;仅适合离散对比,数量对比/类别分析/时间点对比/分组统计,类别名称/数值/分组标签,1,详见具体论文,统计分析类
相图(Phase Portrait),展示动力系统的轨迹和平衡点,系统行为全局可视;稳定性直观;解轨迹完整,高维系统无法直接绘制;需微分方程求解,常微分方程/动力系统/平衡点/轨迹/Lotka-Volterra,时间/状态变量/方向场,推荐,适用于ODE/Lotka-Volterra(29次),微分方程类
向量场图,展示向量在空间中的方向和大小分布,流动方向直观;速度大小可见;物理意义明确,高密度时拥挤;需均匀采样,流体力学/速度场/力场/梯度场/风场,坐标/向量分量/magnitude,推荐,适用于流体力学/PDE,物理模型类
流线图(Streamline),展示流体流动的路径轨迹,流动路径连续;流体行为直观;无交叉特性,仅稳态适用;计算密集,CFD/流体动力学/流场可视化/传热,起始点/速度场/积分参数,推荐,适用于流体力学/CFD,物理模型类
等值线图(Contour),展示二维标量场的等值分布,等值关系清晰;分布趋势直观;易识别极值,需插值;等值线间隔选择影响,温度场/浓度场/压力分布/势能面,坐标网格/标量值/等值间隔,推荐,适用于PDE/有限元(26次),数值仿真类
三维曲面图,展示三维空间中的函数或数据分布,立体感强;全局特征可见;峰谷直观,角度选择影响;遮挡问题,优化曲面/响应曲面/三维场分布/地形,X/Y坐标/Z值/颜色映射,推荐,适用于优化/响应曲面,优化算法类
热力图(Heatmap),以颜色矩阵展示二维数据强度,密度分布直观;相关性矩阵适用;异常值突出,颜色映射选择影响判断;需标准化,相关性矩阵/空间密度/时间-空间分布/参数扫描,行标签/列标签/数值矩阵,推荐,适用于参数分析/相关性,统计分析类
元胞自动机演化图,展示元胞自动机随时间的状态演化,演化规律直观;空间模式可见;时间动态展示,大规模时存储压力;颜色编码需设计,元胞自动机/CA模拟/空间传播/模式演化/Conway,网格状态/时间步/转移规则,推荐,元胞自动机(22次),数值仿真类
Agent分布图,展示多Agent系统中个体的空间分布,个体行为可见;群体模式识别;动态演化展示,大量Agent时拥挤;需动画展示,Agent-Based/ABM/多智能体/群体行为/涌现,Agent坐标/状态/类型,推荐,Agent-Based(10次),数值仿真类
离散事件时序图(Gantt),展示离散事件的发生时间和持续时间,事件顺序清晰;资源占用可见;调度可视化,事件过多时拥挤;仅适用离散事件,离散事件仿真/调度/资源分配/排队/流程,事件ID/开始时间/结束时间/资源,推荐,离散事件仿真(17次),数值仿真类
队列长度曲线,展示排队系统中队列长度随时间变化,系统拥塞直观;性能指标可见;稳态识别,需足够模拟时间;随机波动大,排队论/服务系统/队列分析/DES,时间/队列长度/服务率,推荐,离散事件仿真(17次),数值仿真类
Pareto前沿图,展示多目标优化的Pareto最优解集,权衡关系直观;决策支持;非劣解可视,高维目标难展示;需大量计算,多目标优化/NSGA-II/权衡分析/非劣解,目标1值/目标2值/解ID,推荐,优化算法类(114次),优化算法类
优化迭代曲线,展示优化算法目标函数随迭代的变化,收敛趋势直观;算法效率对比;终止判断,局部最优可能误导;需多次运行,遗传算法/模拟退火/粒子群/优化过程/GA/SA/PSO,迭代次数/最优值/平均值,推荐,遗传算法/模拟退火/粒子群(47次),优化算法类
遗传算法种群分布图,展示遗传算法种群在解空间的分布,搜索覆盖度可见;多样性评估;进化过程,高维解空间无法直接展示;需降维,遗传算法/GA/种群/进化/多样性,个体编码/适应度/代数,推荐,遗传算法(22次),优化算法类
模拟退火温度曲线,展示模拟退火温度和接受概率随迭代变化,冷却策略可视;接受行为理解;调参指导,需设计冷却方案;参数敏感,模拟退火/SA/温度调度/冷却策略,迭代次数/温度/接受率/目标值,推荐,模拟退火(22次),优化算法类
蚁群算法信息素分布图,展示蚁群算法中信息素在路径上的分布,路径偏好可见;信息素演化;解构建过程,大规模问题复杂;需动态展示,蚁群算法/ACO/信息素/路径/TSP,节点/边/信息素浓度,推荐,蚁群算法(7次),优化算法类
线性规划可行域图,展示线性规划的可行域和最优解,几何直观;约束关系清晰;最优解位置,仅适用2-3维;高维需其他方法,线性规划/LP/可行域/约束/顶点,约束方程/目标函数/顶点坐标,推荐,线性规划(21次),优化算法类
动态规划状态转移图,展示动态规划的状态转移结构,决策过程清晰;最优子结构可见;路径追踪,状态空间大时复杂;需合理设计,动态规划/DP/状态转移/递归/最优策略,状态定义/转移关系/决策,推荐,动态规划(17次),优化算法类
网络拓扑图,展示图/网络的节点和边结构,连接关系直观;中心节点识别;网络特性,大规模网络布局困难;需布局算法,图论/网络分析/社交网络/最小生成树/路径,节点列表/边列表/权重,推荐,图论/最小生成树(9次),图论网络类
最短路径可视化,展示图中起点到终点的最短路径,路径直观;距离标注;决策支持,需预计算路径;大规模时复杂,Dijkstra/最短路径/路由/导航/图搜索,节点坐标/边权重/路径,推荐,最短路径算法,图论网络类
最小生成树图,展示连通图的最小生成树结构,树结构清晰;最小连接可视;网络设计,仅适用连通图;权重需定义,Prim/Kruskal/MST/网络设计/连通,节点/边/权重/树边标识,推荐,最小生成树(8次),图论网络类
SIR/SEIR曲线图,展示传染病模型各仓室人数随时间变化,疫情趋势直观;峰值识别;政策效果评估,参数敏感;简化假设多,传染病模型/SIR/SEIR/流行病/疫情,时间/S/I/R/E人数/参数,推荐,SIR/SEIR模型(20次),微分方程类
Lotka-Volterra相图,展示捕食者-猎物模型的周期解和相轨迹,周期性直观;平衡点可见;系统动力学,需长时间模拟;参数敏感,Lotka-Volterra/捕食者-猎物/生态/种群,时间/捕食者数量/猎物数量,推荐,Lotka-Volterra(9次),微分方程类
ODE解曲线(时域),展示常微分方程解随时间的变化,解行为直观;暂态和稳态可见;参数影响评估,仅展示时域;相空间信息缺失,常微分方程/ODE/时间演化/初值问题,时间/状态变量/参数,推荐,常微分方程(16次),微分方程类
PDE解云图,展示偏微分方程解在空间域的分布,空间分布直观;边界效应可见;时间演化展示,需离散化;计算量大,偏微分方程/PDE/热传导/扩散/波动,空间坐标/解值/时间步,推荐,偏微分方程(5次),微分方程类
有限元应力云图,展示有限元分析的应力分布,应力集中识别;设计指导;验证计算,需专业后处理;颜色映射影响,有限元/FEA/应力分析/结构分析/力学,节点坐标/应力张量/单元,推荐,有限元分析(21次),数值仿真类
有限元位移图,展示有限元分析的位移场,变形直观;位移大小可见;设计验证,需放大系数;大变形需非线性,有限元/位移场/变形/结构响应,节点坐标/位移向量/放大系数,推荐,有限元分析(21次),数值仿真类
网格无关性验证图,展示不同网格密度下的解收敛性,网格选择依据;结果可信度;计算效率权衡,需多次计算;收敛标准需定义,网格收敛/网格无关/有限元验证/离散误差,网格尺寸/解值/误差,推荐,有限元分析(21次),验证分析类
时间步长敏感性图,展示不同时间步长对瞬态结果的影响,时间步选择依据;稳定性验证;精度权衡,需多次计算;CFL条件,时间步长/瞬态分析/稳定性/CFL,时间步/解值/误差,推荐,数值方法通用,验证分析类
龙格库塔误差分析图,展示龙格库塔方法的局部和全局误差,精度阶数验证;步长选择;方法对比,需精确解对比;局部vs全局误差,龙格-库塔/RK/ODE求解/误差阶数,步长/误差/阶数,推荐,龙格-库塔法(1次),验证分析类
神经网络结构图,展示神经网络的层结构和连接,架构直观;设计理解;参数规模估计,复杂网络难展示;需简化,神经网络/NN/深度学习/网络架构/MLP,层数/节点数/连接,推荐,神经网络/深度学习(19次),机器学习类
神经网络训练曲线,展示训练和验证损失随epoch变化,过拟合检测;早停决策;收敛判断,需足够epoch;随机性影响,神经网络训练/loss曲线/过拟合/早停,epoch/train loss/val loss,推荐,神经网络/深度学习(19次),机器学习类
特征重要性图,展示机器学习模型的特征重要性排序,可解释性;特征选择;模型理解,不同方法结果不同;仅相对重要性,随机森林/XGBoost/特征选择/SHAP,特征名称/重要性得分,推荐,随机森林(20次),机器学习类
