模型名称,类别,描述,适用场景,优点,缺点,关键参数,出现次数,结合策略,创新方向
模拟退火,元启发式优化,模拟金属退火过程的全局优化算法,组合优化/参数标定/调度问题/路径规划,全局搜索能力;跳出局部最优;实现简单,收敛慢;参数敏感;不保证最优,初始温度;降温速率;终止温度;迭代次数,22,混合策略:与遗传算法结合(memetic算法);与元胞自动机结合优化空间规则;用于标定有限元参数,自适应降温策略;多目标模拟退火;并行退火;基于机器学习的温度调度
元胞自动机,复杂系统仿真,基于局部规则的离散时空演化系统,火灾蔓延/城市扩张/交通流/疫情扩散/生态演化,并行计算;复杂行为从简单规则涌现;直观,规则设计主观;参数标定困难;边界处理,邻域定义(Moore/von Neumann);状态转移规则;边界条件,22,与Agent-Based结合(异质性代理);与随机森林结合(规则学习);与神经网络耦合(参数自学习);嵌入SIR模型,概率化转移规则;动态邻域;多层元胞;GPU加速;深度学习提取规则;非均匀网格
遗传算法,元启发式优化,模拟生物进化的全局优化算法,复杂优化/参数标定/路径规划/特征选择,全局搜索;并行处理;处理非线性,不保证最优;参数敏感;计算量大,种群大小;交叉概率;变异概率;选择策略;代数,22,与神经网络结合(神经进化);与模拟退火混合(memetic);多目标遗传(NSGA-II);与粒子群协同优化,协方差矩阵自适应(CMA-ES);分布估计算法;差分进化变体;超启发式遗传;文化基因算法
线性规划,数学优化,线性约束下优化线性目标函数,资源分配/生产计划/运输问题/网络流,最优解保证;计算高效(多项式时间);成熟软件,仅适用线性关系;连续变量;对参数敏感,目标函数系数;约束矩阵A/b;决策变量边界,21,与整数规划结合(混合整数规划);与动态规划分阶段求解;与随机规划处理不确定性;嵌入网络流模型,鲁棒优化;随机线性规划;多阶段规划;列生成;分解算法;灵敏度扩展分析
有限元分析,数值求解方法,将连续域离散为有限单元求解PDE,结构分析/传热传质/流体力学/电磁场,处理复杂几何;成熟商业软件;工程标准方法,网格质量影响精度;计算量大;学习曲线陡,网格尺寸/类型;单元类型;边界条件;材料属性,21,与优化算法结合(形状优化);与随机森林预测材料参数;多物理场耦合;与元胞自动机验证微观行为,自适应网格细化;无网格方法;扩展有限元(XFEM);机器学习加速求解;降阶模型
整数规划,数学优化,决策变量为整数的优化问题,设施选址/调度排程/路径规划/资源分配,处理离散决策;逻辑约束建模,NP-hard;计算量大;最优性gap,目标函数;约束条件;变量整数性;分支定界参数,21,与线性规划放松结合(LP-relaxation);与启发式算法混合(matheuristic);与动态规划分解,列生成加速;约束规划;逻辑切割;分支切割定价(BCP);机器学习分支选择
SIR/SEIR模型,传染病建模,仓室模型描述易感-暴露-感染-恢复人群动态,传染病传播/信息扩散/谣言传播/产品推广,结构简单;参数可解释;经典验证,均匀混合假设;忽略空间结构;参数估计难,传染率β;恢复率γ;潜伏期;基本再生数R0,20,与元胞自动机结合(空间扩散);与Agent-Based结合(异质接触网络);与机器学习参数识别;多层网络扩展,年龄结构SIR;时变参数模型;随机SEIR;空间异质性;接种策略优化;贝叶斯推断
随机森林,集成学习,多决策树Bagging集成的分类/回归方法,分类/回归/特征重要性/异常检测,抗过拟合;处理高维;特征选择;并行,可解释性降低;内存占用大,树数量n_estimators;最大深度;最小样本分割;特征数,20,与XGBoost/LightGBM集成(stacking);与深度学习联合(deep forest);与元胞自动机结合(规则提取);为有限元预测参数,极端随机森林;随机旋转森林;条件推断森林;量化回归森林;因果森林
离散事件仿真,系统仿真,基于事件驱动的系统动态仿真方法,排队系统/生产调度/物流/服务系统,处理随机性;灵活建模;动态过程可视,模型验证难;计算时间长;随机性需多次运行,事件类型;时间推进机制;实体属性;统计收集,17,与Agent-Based耦合(复杂行为);与优化算法结合(资源调度);与机器学习预测属性;嵌入动态规划,并行仿真;分布式仿真;自适应算法;数字孪生仿真;仿真优化(SimOpt)
动态规划,数学优化,通过子问题递推求解最优决策的方法,序贯决策/资源分配/路径规划/库存管理,最优性保证;递归结构清晰,维度灾难;状态离散化损失精度,状态空间定义;阶段划分;转移方程;边界条件,17,与线性规划分阶段求解;与启发式算法混合;与深度学习(DQN);随机动态规划,近似动态规划(ADP);双层动态规划;分布鲁棒DP;神经动态规划;双向搜索
常微分方程,微分方程建模,描述变量随单一自变量(通常为时间)变化的方程,人口动态/化学反应/传染病传播/机械振动/电路,物理意义明确;数学严谨;可能有解析解,复杂系统难以解析求解;对初值敏感,初始条件;系统参数;时间范围;求解方法,16,与神经网络结合(Physics-Informed NN);与有限元转化为PDE;与优化算法参数识别;嵌入随机动态系统,延迟ODE;随机ODE;分数阶ODE;自适应步长;高阶龙格-库塔;符号计算
神经网络,机器学习,受生物神经网络启发的计算模型,模式识别/函数近似/分类/回归/预测,强非线性拟合;自动特征学习;通用近似器,黑箱模型;需大量数据;过拟合风险;调参困难,层数;每层神经元数;学习率;激活函数;优化器,15,与物理模型结合(PINN);与遗传算法结合(神经进化);与元胞自动机结合(规则学习);为有限元代理模型,注意力机制;Transformer;图神经网络;可解释AI;知识蒸馏;迁移学习;神经符号计算
