图表类型,作用/功能,优点,缺点,适用场景/触发关键词,输入数据要求,论文来源示例
奥运奖牌历史趋势折线图,展示国家奥运奖牌数随届次的变化趋势,趋势清晰;直观展示历史表现,仅展示趋势;未体现影响因素,历史趋势、奖牌数变化、时间序列,年份/届次、奖牌数,2301192-图2
多国奖牌对比柱状图,对比不同国家在同届奥运的奖牌数,横向对比清晰;便于排名,仅单届数据;无时间维度,国家对比、排名、横向比较,国家名称、奖牌数,2307946-图3
堆叠柱状图(金银铜牌),展示各国金银铜牌的构成比例,奖牌结构清晰;分类明确,国家过多时拥挤,奖牌类型、金银铜、结构分析,金牌数、银牌数、铜牌数,2309397-图4
区域/大洲奖牌分布饼图,展示不同大洲获得奖牌的占比,地理分布直观;比例清晰,忽略洲内差异,区域分布、大洲、地理,大洲名称、奖牌占比,2311035-图5
奥运项目奖牌分布图,展示不同运动项目的奖牌分布,项目优劣势清晰;有针对性,项目过多时复杂,运动项目、优势项目、专项,项目名称、奖牌数,2318036-图6
ARIMA预测曲线图,展示ARIMA模型预测值与历史值对比,预测效果直观;置信区间清晰,长期预测不稳定,ARIMA、时间序列、趋势预测,历史数据、预测值、置信区间,2200401-图7
LSTM预测对比图,展示LSTM深度学习预测结果与实际对比,捕捉长期依赖;非线性拟合,黑箱模型;需大量数据,LSTM、深度学习、序列预测,序列数据、预测序列,2200688-图8
多模型预测效果对比图,对比ARIMA/LSTM/XGBoost等模型的预测精度,模型优劣明确;便于选择,需训练多个模型,模型对比、精度比较、集成,各模型预测结果、评估指标,2310767-图9
残差分析图,展示预测值与实际值的残差分布,检验模型假设;诊断问题,残差模式需专业判断,残差、误差分析、模型诊断,预测值、实际值、残差,2203120-图10
Q-Q图(正态性检验),检验残差是否服从正态分布,统计严谨;假设验证,理论假设较强,正态性、Q-Q plot、残差检验,残差序列,2218743-图11
时间序列自相关图(ACF/PACF),展示时间序列的自相关性和偏自相关性,识别ARIMA阶数;理论支撑,需专业知识解读,ACF、PACF、自相关、阶数识别,时间序列数据,2218931-图12
趋势-季节-残差分解图,将时间序列分解为趋势、季节和残差成分,识别周期规律;去除噪声,假设加法/乘法模型,时间序列分解、STL、季节性,时间序列数据,2224507-图13
K-means聚类散点图,展示国家按特征聚类后的分布,国家分类清晰;便于分层建模,K值选择主观,K-means、国家分类、聚类,国家特征、聚类标签,2301192-图14
