图表类型,作用/功能,优点,缺点,适用场景/触发关键词,输入数据要求,论文来源示例
AHP权重分布饼图,展示各指标权重占比,直观呈现重要性排序;易于理解,需主观判断矩阵;可能存在主观偏差,权重计算、指标重要性、AHP、层次分析,判断矩阵、权重值,2209336-图3
AHP层次结构图,展示目标层-准则层-方案层的层次关系,逻辑清晰;结构分明,仅展示结构;未体现数值关系,层次分析、AHP、指标体系、评价框架,层次结构定义,2203489-图2
一致性检验结果表,验证AHP判断矩阵一致性,数学严谨;可信度高,CR>0.1需重新调整判断,一致性检验、CR、CI、AHP验证,判断矩阵、λmax、CI、RI、CR,2407414-表3
TOPSIS排序结果条形图,展示各方案与理想解的贴近度排序,直观对比优劣;排序清晰,仅展示相对排序;未体现绝对差距,TOPSIS、方案排序、综合评价、贴近度,各方案贴近度C值,2401102-图5
TOPSIS正负理想解对比图,对比各指标的正负理想解与实际值,直观展示差距;便于分析,指标过多时图表拥挤,正理想解、负理想解、指标对比,标准化矩阵、正负理想解,2400860-图4
熵权法权重计算流程图,展示熵权法确定权重的完整流程,方法客观;可复现,流程较多;理解门槛高,熵权法、EWM、客观赋权、信息熵,原始数据矩阵,2209336-图4
熵权法vs AHP权重对比图,对比主观权重与客观权重差异,揭示主客观差异;验证合理性,需两种方法同时计算,权重对比、AHP-EWM、综合赋权,AHP权重、EWM权重,2407414-图6
综合权重雷达图,展示各指标综合权重分布,多维度直观展示;美观,指标过多时难以辨识,雷达图、权重分布、多维评价,各指标权重值,2410578-图3
GE矩阵战略定位图,展示方案在业务强度-行业吸引力矩阵中的位置,战略定位清晰;决策导向,需主观判断象限边界,GE矩阵、战略分析、九宫格,业务强度得分、吸引力得分,2202838-图7
GE矩阵转换点分析图,展示不同管理策略的转换点,精准定位策略切换条件;决策实用,转换点计算复杂,转换点、策略切换、GE、transition point,策略得分、切换条件,2203489-图8
灰色关联度热力图,展示因素与目标变量的关联程度,全面展示关联性;便于筛选,灰色关联对异常值敏感,灰色关联、关联度、因素分析,因素序列、参考序列,2305598-图5
灰色预测曲线图,展示GM(1,1)模型预测结果与实际对比,预测趋势清晰;验证效果,适用小样本;长期预测不稳定,灰色预测、GM(1.1)、趋势预测,原始序列、预测序列,2307336-图9
DEA效率前沿面图,展示决策单元相对效率及前沿面,直观识别效率标杆;科学评价,仅评价相对效率;不适合绝对评价,DEA、数据包络、效率分析、CCR、BCC,投入产出数据,2401102-图8
DEA效率得分排序图,展示各决策单元效率得分排序,排序直观;便于对比,效率值=1时无法进一步区分,效率排序、DEA得分、相对效率,DEA效率值,2400860-图9
模糊综合评价隶属度图,展示各指标的模糊隶属度分布,处理模糊性;适合定性评价,隶属函数选择主观,模糊评价、隶属度、模糊集,隶属度矩阵,2305598-图6
模糊评价等级分布图,展示综合评价结果的等级分布,等级划分清晰;易于决策,等级边界主观设定,模糊等级、评价等级、综合评判,评价得分、等级标准,2307336-图10
风险评估矩阵图,展示风险的可能性-影响程度矩阵,风险优先级明确;决策清晰,定性为主;量化不足,风险矩阵、风险等级、risk assessment,风险可能性、影响程度,2407414-图2
风险指数时间序列图,展示风险指数随时间的变化趋势,动态监控风险;趋势清晰,历史数据依赖性强,风险趋势、时序风险、动态监测,时间序列风险值,2410578-图7
破产概率曲线图,展示保险公司破产概率随条件变化的趋势,量化风险边界;决策支撑,理论假设较强,破产理论、ruin theory、POR,参数设置、破产概率,2400860-图10
成本效益分析图,对比不同方案的成本与效益,决策直观;经济性明确,需准确估算成本效益,成本效益、cost-benefit、经济分析,成本数据、效益数据,2401102-图11
碳汇量时间演变图,展示森林碳汇量随时间的变化,长期趋势清晰;验证管理效果,需长期数据;预测不确定性大,碳汇、carbon sequestration、时间演变,年度碳汇量,2209336-图5
碳循环流程示意图,展示森林碳循环的各阶段流程,机理清晰;教育性强,简化实际复杂性,碳循环、carbon cycle、流程图,碳循环阶段定义,2202666-图1
Logistic增长曲线图,展示生态系统容量约束下的增长曲线,符合生态规律;S型特征明显,参数估计影响大,Logistic、S型增长、承载力,时间序列、生长数据,2203489-图4
森林价值评估指标体系图,展示森林多维价值的指标层次结构,全面覆盖价值维度;结构清晰,指标选取主观性,价值评估、指标体系、TEV,指标定义、层次结构,2209336-图2
多目标规划帕累托前沿图,展示多目标优化的帕累托最优解集,权衡取舍清晰;科学决策,计算复杂;维度限制,多目标规划、帕累托前沿、权衡,目标函数值,2202838-图9
目标规划结果对比图,对比不同目标权重下的优化结果,敏感性分析;决策参考,权重设定影响大,目标规划、Goal Programming、权重敏感,不同权重优化结果,2203489-图10
Monte Carlo模拟分布图,展示蒙特卡洛模拟的结果分布,量化不确定性;统计可靠,计算量大;需合理假设,蒙特卡洛、Monte Carlo、概率分布,模拟结果分布,2401102-图12
情景分析对比图,对比不同情景假设下的结果差异,决策鲁棒性;风险预判,情景设定主观,情景分析、scenario analysis、敏感性,各情景结果,2407414-图11
敏感性分析龙卷风图,展示各参数对结果的敏感性排序,快速识别关键参数;直观高效,仅展示单参数影响,敏感性、龙卷风图、参数影响,参数变化幅度、结果变化,2410578-图12
权重敏感性分析图,展示权重变化对评价结果的影响,验证权重合理性;稳健性检验,需设定变化范围,权重敏感性、AHP敏感性,权重变化、结果变化,2400860-图13
双轴对比折线图,同时展示两个相关指标的变化趋势,关联分析;对比清晰,需注意尺度差异,双轴图、趋势对比、关联分析,两组时间序列数据,2305598-图8
堆叠面积图,展示各组成部分随时间的累积变化,结构变化清晰;趋势明显,组成过多时难以辨识,堆叠图、结构变化、时间趋势,分类时间序列数据,2209336-图7
桑基图,展示流量或能量在各环节的流动分布,流向清晰;美观大方,复杂系统难以全面展示,桑基图、流量分布、能量流,流量数据、节点定义,2202838-图3
树状图(决策树),展示决策分支和概率结果,决策路径清晰;便于分析,分支过多时复杂,决策树、概率树、决策分析,决策节点、概率、收益,2401102-图6
