图表类型,作用/功能,优点,缺点,适用场景/触发关键词,输入数据要求,论文来源示例
得分差值趋势图,展示单场比赛中两名球员随时间的得分差距变化，直观反映比赛局势波动,清晰呈现得分趋势与发球方切换的关联；可视化效果强；动态展示比赛进程,仅体现得分差值；未考虑得分质量、球员状态等深层因素,比赛分析、得分趋势、局势变化、比分差距、动态对比,比赛点号、球员1得分、球员2得分、发球方切换标记,2401298-图2
概率差值图,量化单场比赛中球员实时表现差距，排除发球优势干扰,精准反映球员真实竞技状态差异；支持动态性能评估；消除发球优势影响,依赖固定窗口长度；窗口选择可能影响结果,表现评估、实力对比、发球影响分析、动态概率,点号、球员发球得分次数、发球次数,2401298-图3
窗口参数对比图,对比不同时间窗口长度对球员表现评估的影响,帮助确定最优窗口参数；提升模型鲁棒性；参数敏感性分析,仅展示单场比赛结果；缺乏多场比赛验证,参数选择、窗口优化、敏感性分析、模型调优,不同窗口长度（L）、时间步长（λ）、球员实时表现数据,2401298-图4
AUC-时间曲线图,综合多窗口长度评估球员实时表现，降低噪声干扰,平衡短期波动与长期趋势；评估结果更稳定；多尺度综合分析,计算过程复杂；需整合多窗口数据,模型评估、综合性能、多尺度分析、AUC、ROC,各窗口长度下的球员表现数据、比赛时间序列,2401298-图5
假设检验结果图,验证多场比赛中动量是否随机，对比不同统计检验效果,多比赛交叉验证；结果可信度高；统计显著性明确,仅展示P值分布；未呈现具体统计量细节,假设检验、随机性验证、显著性检验、Ljung-Box、Runs检验,多场比赛的得分序列、检验统计量（Q值、Z值）、P值,2401298-图6
变量关系图,梳理比赛中影响因素的可观测变量与潜变量关系,全面覆盖技术、生理、心理因素；逻辑结构清晰；变量关系明确,潜变量难以直接量化验证,变量分析、因素识别、潜变量、因果关系、影响因素,技术指标、心理状态假设、生理因素定义,2401298-图7
特征相关性热力图,分析关键特征间的相关性，辅助特征工程,直观展示变量关联强度；便于特征筛选；相关性一目了然,仅呈现线性相关性；忽略非线性关联,特征选择、相关性分析、多重共线性、热力图、correlation,特征量化数据（如非受迫性失误数、制胜分等）,2401298-图8
贝叶斯网络结构图,构建预测模型的核心网络结构，整合关键影响因素,聚焦核心变量；结构简洁易懂；概率推理支持,未考虑变量间的动态交互关系,贝叶斯网络、概率模型、因果推断、网络结构,筛选后的关键特征、残差效应定义,2401298-图9
双时间贝叶斯网络图,融合长短期记忆的预测模型，区分长短期残差效应,同时捕捉即时波动与长期趋势；预测精度高；时序建模,模型复杂度高；训练需大量数据,时间序列、长短期记忆、LSTM、时序预测,长短期时间窗口数据、潜变量、可观测特征,2401298-图10
去噪残差曲线图,展示去噪后的残差效应真实趋势,突出核心趋势变化；便于趋势分析；噪声去除,去噪过程可能丢失部分关键瞬时波动,去噪、残差分析、趋势提取、平滑处理,原始残差效应数据、平滑滤波参数,2401298-图11
